Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RK5FK,Ashfield Community Hospital,NHS TRUST SITE,NG177AB,RK5,53.100956,-1.246664,E02005826
RY8DE,Babington Hospital,NHS TRUST SITE,DE561WH,RY8,53.018944,-1.485847,E02004038
RHQNN,Bassetlaw Hospital,NHS TRUST SITE,S810BD,RHQ,53.316574,-1.110284,E02006903
RP1V4,Berrywood Hospital,NHS TRUST SITE,NN56UD,RP1,52.246773,-0.9592,E02007072
RY8NT,Bolsover Hospital,NHS TRUST SITE,S446DH,RY8,53.231547,-1.282515,E02004049
A3M3L,Brackley Comm Hospital,NHS TRUST SITE,NN136QZ,RP1,52.038067,-1.137701,E02005689
RP1M2,Brackley Cottage Hospital,NHS TRUST SITE,NN137DA,RP1,52.030921,-1.143131,E02005690
RFSAC,Buxton Hospital,NHS TRUST SITE,SK179NJ,RFS,53.248141,-1.908288,E02004103
RWJ11,Cavendish Hospital,NHS TRUST SITE,SK176TE,RWJ,53.262442,-1.921255,E02004102
RHQCH,Chesterfield & North Derbyshire Royal Hospital,NHS TRUST SITE,S445BL,RHQ,53.236214,-1.400051,E02004066
A4Y2M,Clay Cross Hospital,NHS TRUST SITE,S459NZ,RY8,53.167933,-1.407227,E02004116
RWELC,Coalville Community Hospital,NHS TRUST SITE,LE674DE,RWE,52.722883,-1.349847,E02005405
M4E0N,Community Hospitals Lchs,NHS TRUST SITE,LN57JH,RY5,53.226467,-0.52415,E02005447
RP1N8,Corby Community Hospital,NHS TRUST SITE,NN172UN,RP1,52.491306,-0.710755,E02005615
RP1J6,Danetre Hospital,NHS TRUST SITE,NN114DY,RP1,52.25204,-1.160866,E02005625
RXM18,Dovedale Day Hospital,NHS TRUST SITE,DE12XX,RXM,52.914045,-1.466787,E02002813
A3C9C,Fielding Palmer Hospital,NHS TRUST SITE,LE174DZ,RWE,52.457853,-1.1978,E02005376
RWEAE,Glenfield Hospital,NHS TRUST SITE,LE39QP,RWE,52.654362,-1.180018,E02002830
RWDLP,Grantham & District Hospital,NHS TRUST SITE,NG318DG,RWD,52.921087,-0.640714,E02005478
RY844,Heanor Memorial Hospital 2,NHS TRUST SITE,DE757EA,RY8,53.010069,-1.34764,E02004041
RHANM,Highbury Hospital,NHS TRUST SITE,NG69DR,RHA,52.993059,-1.191851,E02002871
RLT50,Hinckley & District Hospital,NHS TRUST SITE,LE101AG,RLT,52.539751,-1.368258,E02005386
S7L7S,Hinckley And Bosworth Community Hospital,NHS TRUST SITE,LE103FR,RWE,52.561022,-1.370037,E02005385
RWDLK,Holbeach Hospital,NHS TRUST SITE,PE128AQ,RWD,52.81689,0.002513,E02005466
RY584,Horncastle War Memorial Hospital,NHS TRUST SITE,LN95DX,RY5,53.21022,-0.114361,E02005434
RY8RH,Ilkeston Community Hospital,NHS TRUST SITE,DE78LN,RY8,52.988092,-1.320818,E02006828
RNQ52,Isebrook Hospital,NHS TRUST SITE,NN81LP,RNQ,52.29767,-0.683359,E02005695
RWDAS,John Coupland Hospital,NHS TRUST SITE,DN212TJ,RWD,53.411846,-0.784791,E02005495
RWDLD,Johnson Hospital,NHS TRUST SITE,PE113DT,RWD,52.801469,-0.15089,E02005469
RNQ51,Kettering General Hospital,NHS TRUST SITE,NN168UZ,RNQ,52.402783,-0.741293,E02005645
K4C9B,Kings Mill Hospital,NHS TRUST SITE,NG33AA,RHA,52.973168,-1.123992,E02002883
RX1BC,Kings Mill Hospital Site,NHS TRUST SITE,NG174JL,RX1,53.134573,-1.233579,E02005822
RXM14,Kingsway Hospital,NHS TRUST SITE,DE223LZ,RXM,52.91807,-1.512351,E02002812
RWE03,Leicester General Hospital Urology Department,NHS TRUST SITE,LE54PW,RWE,52.629926,-1.081764,E02002845
RWDDA,Lincoln County Hospital,NHS TRUST SITE,LN25QY,RWD,53.233575,-0.519635,E02005444
C9K7A,Lincoln Hospital,NHS TRUST SITE,LN21QU,RX1,53.238106,-0.533101,E02005444
RHANN,Lings Bar Hospital,NHS TRUST SITE,NG26PR,RHA,52.922565,-1.099816,E02005911
RXMF4,London Road Community Hospital,NHS TRUST SITE,DE12QY,RXM,52.914332,-1.468643,E02002813
RWELL,Loughborough Hospital,NHS TRUST SITE,LE115JY,RWE,52.773291,-1.225946,E02005347
RJL49,Louth County Hospital,NHS TRUST SITE,LN110EU,RJL,53.37101,-0.008582,E02005426
