msoa,org_code,org_name,postcode,latitude,longitude,first_snapshot_date,last_snapshot_date
E02004505,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,SS117XX,51.633013,0.543374,2020-06-30,2024-06-30
E02003282,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,SS00RY,51.553838,0.688617,2020-06-30,2024-06-30
E02003270,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,LU40DZ,51.894152,-0.474405,2020-06-30,2024-06-30
E02005560,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",PE304ET,52.75663,0.446694,2020-06-30,2024-06-30
E02007057,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,CO45JL,51.910164,0.899182,2020-06-30,2024-06-30
E02003731,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,CB20AY,52.173522,0.136046,2020-06-30,2024-06-30
E02003251,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,PE39GZ,52.583921,-0.279386,2020-06-30,2024-06-30
E02005548,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR316LA,52.561672,1.71798,2020-06-30,2024-06-30
E02006281,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,IP332QZ,52.231662,0.709176,2020-06-30,2024-06-30
E02003731,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,CB20QQ,52.173741,0.139114,2020-06-30,2024-06-30
E02005598,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR47UY,52.617567,1.221195,2020-06-30,2024-06-30
E02005596,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,NR12DH,52.615176,1.307646,2020-06-30,2024-06-30
E02004547,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,CM201QX,51.771529,0.085457,2020-06-30,2024-06-30
E02003785,RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,CB215EF,52.184505,0.188329,2020-06-30,2024-06-30
E02004977,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,WD180HB,51.648921,-0.404187,2020-06-30,2024-06-30
E02004945,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,SG14AB,51.924611,-0.212726,2020-06-30,2024-06-30
E02004990,RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,AL108YE,51.766985,-0.216688,2020-06-30,2024-06-30
E02005589,RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,NR23TU,52.633947,1.262489,2020-06-30,2024-06-30
