Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RATAP,Barking Hospital,NHS TRUST SITE,IG119LX,RAT,51.538564,0.098727,E02000012
RQY05,Barnes Hospital,NHS TRUST SITE,SW148SU,RQY,51.467092,-0.256518,E02000786
RAL26,Barnet Hospital,NHS TRUST SITE,EN53DJ,RAL,51.650726,-0.214152,E02000027
T5J5E,Barts Hospital At Home,NHS TRUST SITE,E11FR,R1H,51.518702,-0.060138,E02000880
E9G8N,Barts Vaccine Centre Hospital,NHS TRUST SITE,E20HL,R1H,51.526438,-0.053739,E02000874
RJ252,Blackheath Hospital,NHS TRUST SITE,SE39UD,RJ2,51.463474,0.006265,E02000661
RPGCR,Bridgeways Day Hospital,NHS TRUST SITE,BR28JA,RPG,51.387666,0.042616,E02000152
RHQCR,Bupa Cromwell Hospital,NHS TRUST SITE,SW50TU,RHQ,51.495107,-0.191361,E02000589
RKL48,Cassel Hospital,NHS TRUST SITE,TW107JF,RKL,51.432912,-0.3081,E02000795
R1K02,Central Middlesex Hospital,NHS TRUST SITE,NW107NS,R1K,51.530936,-0.269161,E02000119
RYJ81,Charing Cross Hospital,NHS TRUST SITE,W68RF,RYJ,51.487045,-0.219935,E02000387
RRP02,Chase Farm Hospital,NHS TRUST SITE,EN28JL,RRP,51.666528,-0.104009,E02000286
RQM06,Chelsea & Westminster Hospital,NHS TRUST SITE,SW109NH,RQM,51.484308,-0.181644,E02000596
RPA85,Chelsfield Park Hospital,NHS TRUST SITE,BR67RG,RPA,51.358468,0.130847,E02000163
R1HK2,Chingford Hospital,NHS TRUST SITE,E46UN,R1H,51.620089,-0.00105,E02000898
R1K68,Clayponds Hospital,NHS TRUST SITE,W54RN,R1K,51.495087,-0.298884,E02000276
O5V4D,Clementine Churchill Hospital,NHS TRUST SITE,HA13RX,RQM,51.564966,-0.332709,E02000461
RGDTL,Cygnet Hospital Beckton,NHS TRUST SITE,E66ZB,RGD,51.513472,0.0649,E02000746
L4S0G,Cygnet Hospital Harrow,NHS TRUST SITE,HA13JL,RXX,51.567091,-0.337984,E02000461
R1KCH,Ealing Hospital Child Health,NHS TRUST SITE,W55TL,R1K,51.511661,-0.312555,E02000269
RWKAX,East Ham Memorial Hospital,NHS TRUST SITE,E78QR,RWK,51.539588,0.04536,E02000723
RXH44,Eastman Dental Hospital,NHS TRUST SITE,WC1X8LD,RXH,51.525832,-0.117036,E02007115
RRP01,Edgware Hospital,NHS TRUST SITE,HA80AD,RRP,51.606478,-0.271248,E02000047
RN7ED,Erith & District Hospital,NHS TRUST SITE,DA83EE,RN7,51.477113,0.166643,E02000069
RRP27,Finchley Memorial Hospital,NHS TRUST SITE,N120JE,RRP,51.60546,-0.176595,E02000050
RWKCA,"First Ave, Day Hospital",NHS TRUST SITE,E138AP,RWK,51.526383,0.021701,E02000739
RATGM,Goodmayes Hospital,NHS TRUST SITE,IG38XJ,RAT,51.577993,0.110488,E02000772
RATGD,Grays Court Community Hospital,NHS TRUST SITE,RM109SR,RAT,51.538977,0.157336,E02000015
RP401,Great Ormond Street Hospital Central London Site,NHS TRUST SITE,WC1N3JH,RP4,51.52221,-0.119924,E02000192
A7D0H,Gstt @ Cleveland Clinic London Hospital,NHS TRUST SITE,SW1X7HY,RJ1,51.499263,-0.14892,E02000978
X2X7Z,Gstt @ Eltham Community Hospital,NHS TRUST SITE,SE95DQ,RJ1,51.449946,0.053714,E02000340
Y7V9O,Gstt @ West Valley Hospital,NHS TRUST SITE,CR02RD,RJ1,51.379541,-0.101436,E02000213
RKL35,Gunnersbury Day Hospital,NHS TRUST SITE,W30DF,RKL,51.521352,-0.265589,E02000252
RJ100,Guys And St. Thomas Hospitals,NHS TRUST SITE,SE19RT,RJ1,51.503331,-0.086771,E02000812
RYJ85,Gynaecology And Fertility Queen Charlottes Hospital,NHS TRUST SITE,W120HS,RYJ,51.51742,-0.234721,E02000372
RAL80,Hadley Wood Hospital,NHS TRUST SITE,EN55TS,RAL,51.654137,-0.198828,E02000024
A6E0E,Harefield Hospital,NHS TRUST SITE,UB96JH,RJ1,51.606732,-0.482747,E02000496
RQY06,Henderson Hospital,NHS TRUST SITE,SM25LT,RQY,51.349828,-0.198763,E02006836
RF4HG,Highgate Private Hospital,NHS TRUST SITE,N64DJ,RF4,51.577167,-0.155888,E02000426
RV3AN,Hillingdon Hospital,NHS TRUST SITE,UB83NN,RV3,51.526077,-0.461175,E02000510
RQXM1,Homerton University Hospital,NHS TRUST SITE,E96SR,RQX,51.550634,-0.046099,E02000363
RRVRH,Hospital For Tropical Diseases,NHS TRUST SITE,WC1E6JD,RRV,51.523158,-0.13541,E02000191
V1Z2W,Hospital Of St. John And St. Elizabeth,NHS TRUST SITE,NW89NH,RYX,51.533473,-0.175461,E02000960
Z4O9E,King Edward V11 Hospital,NHS TRUST SITE,W1G6AA,RQM,51.520778,-0.150325,E02000970
RP413,King George Hospital,NHS TRUST SITE,IG38XG,RP4,51.571265,0.111547,E02000772
RJZ01,Kings College Hospital,NHS TRUST SITE,SE59RS,RJZ,51.468077,-0.093916,E02000631
RRV88,London Independent Hospital,NHS TRUST SITE,E14NL,RRV,51.520402,-0.046744,E02000879
RPGAG,Memorial Hospital,NHS TRUST SITE,SE183RG,RPG,51.468576,0.064111,E02000332
RWK28,Mile End Hospital,NHS TRUST SITE,E14DG,RWK,51.525048,-0.042206,E02000873
RP608,Moorfields Eye Centre At Croydon University Hospital,NHS TRUST SITE,CR77YE,RP6,51.389128,-0.108758,E02000208
RP610,Moorfields Eye Centre At Ealing Hospital,NHS TRUST SITE,UB13HW,RP6,51.507606,-0.345495,E02000266
RP606,Moorfields Eye Centre At Northwick Park Hospital,NHS TRUST SITE,HA13UJ,RP6,51.575407,-0.322037,E02000100
RP604,Moorfields Eye Centre At St. Georges Hospital,NHS TRUST SITE,SW170QT,RP6,51.426682,-0.175694,E02000956
RP601,Moorfields Eye Hospital,NHS TRUST SITE,EC1V2PD,RP6,51.527246,-0.089889,E02000576
RATDP,Morland Road Day Hospital,NHS TRUST SITE,RM109HU,RAT,51.535187,0.152111,E02000021
RWG01,Mount Vernon Hospital,NHS TRUST SITE,HA62RN,RWG,51.614923,-0.445823,E02000494
