Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RTFDL,Ashington Hospital,NHS TRUST SITE,NE630RZ,RTF,55.181521,-1.56912,E02005735
RX3AT,Auckland Park Hospital,NHS TRUST SITE,DL146AE,RX3,54.654838,-1.680756,E02004353
RX458,Bensham Hospital,NHS TRUST SITE,NE84YL,RX4,54.944957,-1.614973,E02001688
RTRBA,Bishop Auckland General Hospital,NHS TRUST SITE,DL146AD,RTR,54.655848,-1.678547,E02004353
RTF13,Blyth Community Hospital,NHS TRUST SITE,NE241DX,RTF,55.127873,-1.514936,E02005710
RTR27,Carter Bequest Primary Care Hospital,NHS TRUST SITE,TS55NH,RTR,54.554625,-1.249261,E02002504
RX464,Cherry Knowle Hospital,NHS TRUST SITE,SR20NB,RX4,54.863934,-1.36932,E02001818
RTF2D,Cobalt Hospital,NHS TRUST SITE,NE270BY,RTF,55.024056,-1.510464,E02001748
RXPDA,Darlington Memorial Hospital,NHS TRUST SITE,DL36HX,RXP,54.530374,-1.563733,E02007058
A3K2A,Dental Hospital,NHS TRUST SITE,NE24AZ,RTD,54.981501,-1.622718,E02007099
RX460,Dryden Road Day Hospital,NHS TRUST SITE,NE95BY,RX4,54.947852,-1.596133,E02006842
RR7ER,Dunston Hill Hospital,NHS TRUST SITE,NE119QT,RR7,54.946392,-1.659468,E02001694
RXPDC,Durham Community Hospital,NHS TRUST SITE,DH15AJ,RXP,54.790739,-1.592412,E02004309
RX3LR,East Cleveland Hospital,NHS TRUST SITE,TS122FF,RX3,54.565266,-0.936357,E02002524
RX4K3,Grange Park Clinic Monkmouth Hospital Sunderland Locality,NHS TRUST SITE,SR51NB,RX4,54.924547,-1.386785,E02001795
RTFDU,Haltwhistle War Memorial Hospital,NHS TRUST SITE,NE499AJ,RTF,54.970106,-2.462935,E02005728
RX471,Hexham General Hospital,NHS TRUST SITE,NE461QJ,RX4,54.970372,-2.095702,E02005730
RXP63,Hundens Lane Day Hospital,NHS TRUST SITE,DL11JE,RXP,54.524867,-1.537572,E02002567
RX3CL,Lanchester Road Hospital,NHS TRUST SITE,DH15RD,RX3,54.800429,-1.612241,E02004310
RX450,Monkton Hall Hospital,NHS TRUST SITE,NE325NN,RX4,54.966623,-1.501276,E02001782
RX474,Morpeth Cottage Hospital,NHS TRUST SITE,NE612BT,RX4,55.158354,-1.691879,E02005724
RXP35,New Richardson Hospital,NHS TRUST SITE,DL128HT,RXP,54.545708,-1.916153,E02007022
RX4E6,Newcastle General Hospital,NHS TRUST SITE,NE46BE,RX4,54.976238,-1.644546,E02001729
RTD13,Newcastle Hospitals @ Cramlington,NHS TRUST SITE,NE236UT,RTD,55.085202,-1.590145,E02005715
W1J5B,Newcastle Hospitals @ Metro Centre,NHS TRUST SITE,NE119YR,RTD,54.956483,-1.668908,E02001690
RTDHN,Nhs Nightingale Hospital North East,NHS TRUST SITE,NE360BB,RTD,54.929108,-1.480686,E02001797
RX4A6,North Tyneside General Hospital,NHS TRUST SITE,NE298NH,RX4,55.025241,-1.46734,E02001750
G7Y0P,"Northgate Hospital, Cntw Foundation Trust",NHS TRUST SITE,NE613BP,RTF,55.184911,-1.711886,E02005722
RTF86,Northumbria Specialist Emergency Care Hospital,NHS TRUST SITE,NE236NZ,RTF,55.074089,-1.569492,E02005718
