Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RW5AV,Accrington Victoria Hospital,NHS TRUST SITE,BB56AS,RW5,53.759584,-2.366921,E02005215
RBS06,Alderhey Childrens Hospital At Manor Farm Primary Care Resource Centre,NHS TRUST SITE,L360UB,RBS,53.404553,-2.831049,E02001341
RBS01,Alderhey Childrens Hospital At The Halewood Centre,NHS TRUST SITE,L269UH,RBS,53.359024,-2.82558,E02001346
RBS05,Alderhey Childrens Hospital At Tower Hill Primary Care Resource Centre,NHS TRUST SITE,L331XT,RBS,53.495201,-2.88656,E02001327
RBS04,Alderhey Childrens Hospital At Whiston Primary Care Resource Centre,NHS TRUST SITE,L353SX,RBS,53.415642,-2.800887,E02001339
RJN38,Alexandra Hospital,NHS TRUST SITE,SK82PX,RJN,53.397264,-2.215828,E02001208
RGDAH,Alpha Hospital Bury,NHS TRUST SITE,BL82BS,RGD,53.587136,-2.316737,E02001027
RWW07,Altrincham General Hospital,NHS TRUST SITE,WA141PE,RWW,53.38652,-2.352998,E02001283
RT2CM,Altrincham Hospital,NHS TRUST SITE,WA142RE,RT2,53.385121,-2.351829,E02001283
RET30,Arrow Park Hospital,NHS TRUST SITE,CH495PE,RET,53.36964,-3.096815,E02001491
Q1K4X,Aset Hospital,NHS TRUST SITE,L357LS,RM3,53.425421,-2.779612,E02001335
RW404,Ashworth Hospital,NHS TRUST SITE,L311HW,RW4,53.518669,-2.915374,E02001446
RTVA8,Avenue Day Hospital,NHS TRUST SITE,WN71HS,RTV,53.504428,-2.512253,E02001317
RT2C3,Bealey Community Hospital,NHS TRUST SITE,M262QD,RT2,53.565754,-2.309285,E02001033
RMC78,Beardwood Hospital,NHS TRUST SITE,BB27AE,RMC,53.755038,-2.513177,E02002624
RMC37,Beaumont Hospital,NHS TRUST SITE,BL64LA,RMC,53.581505,-2.499304,E02001003
RT264,Birchill Hospital,NHS TRUST SITE,OL129QB,RT2,53.640264,-2.121386,E02001135
RXL08,Bispham Hospital Rehabilitation Unit,NHS TRUST SITE,FY20FN,RXL,53.858223,-3.021462,E02002634
RXN08,Blackpool Victoria Hospital,NHS TRUST SITE,FY38NR,RXN,53.820675,-3.016275,E02002641
RXA19,Bowmere Hospital,NHS TRUST SITE,CH21BQ,RXA,53.211544,-2.898825,E02003797
RNNCP,Brampton Hospital,NHS TRUST SITE,CA81TX,RNN,54.939842,-2.726293,E02003988
RRF64,Bridgewater Hospital,NHS TRUST SITE,M155AT,RRF,53.45974,-2.245483,E02001063
RBN59,Broadgreen Hospital,NHS TRUST SITE,L143LB,RBN,53.411151,-2.897989,E02001372
RXN05,Burnley General Hospital,NHS TRUST SITE,BB102PQ,RXN,53.810424,-2.227879,E02005177
E5J1C,Calderstones Hospital,NHS TRUST SITE,BB79PE,RW5,53.829706,-2.423673,E02005276
RWJ89,Cheadle Royal Hospital,NHS TRUST SITE,SK83DG,RWJ,53.374935,-2.221487,E02001222
RW5HD,Chorley & South Ribble District General Hospital,NHS TRUST SITE,PR71PP,RW5,53.665775,-2.636599,E02005194
RBL20,Clatterbridge Hospital,NHS TRUST SITE,CH634JY,RBL,53.332283,-3.025848,E02001504
RXL06,Clifton Hospital,NHS TRUST SITE,FY81PB,RXL,53.744359,-3.007247,E02005210
RXL73,Clitheroe Hospital,NHS TRUST SITE,BB74JX,RXL,53.885283,-2.366014,E02005271
RW41E,Clock View Hospital,NHS TRUST SITE,L91EP,RW4,53.451064,-2.969018,E02001352
RNNCB,Cockermouth Hospital,NHS TRUST SITE,CA139HT,RNN,54.667192,-3.358501,E02003971
RJN63,Congleton War Memorial Hospital,NHS TRUST SITE,CW123AR,RJN,53.158025,-2.202675,E02003818
RJR05,Countess Of Chester Hospital,NHS TRUST SITE,CH21UL,RJR,53.2088,-2.897884,E02003797
RJR60,Ellesmere Port Hospital,NHS TRUST SITE,CH656SG,RJR,53.267777,-2.91104,E02003848
RXL71,Euxton Hall Hospital,NHS TRUST SITE,PR76DY,RXL,53.660948,-2.676313,E02005193
R0A3M,Eye Hospital Outpatients,NHS TRUST SITE,M139WH,R0A,53.462317,-2.228915,E02001062
RT265,Fairfield General Hospital,NHS TRUST SITE,BL97TD,RT2,53.600439,-2.25562,E02001025
RRF68,Fairfield Hospital,NHS TRUST SITE,WA117RS,RRF,53.484549,-2.750074,E02001406
RXL64,Fleetwood Hospital,NHS TRUST SITE,FY76BE,RXL,53.926196,-3.009339,E02005319
RNNFH,Furness General Hospital,NHS TRUST SITE,LA144LF,RNN,54.136395,-3.207899,E02003979
C4H9H,Greater Lancashire Hospitals,NHS TRUST SITE,PR25BW,RXN,53.786429,-2.647808,E02005259
RJR0D,Grosvenor Nuffield Hospital,NHS TRUST SITE,CH47QP,RJR,53.176342,-2.895261,E02003807
RTV14,Halton General Hospital,NHS TRUST SITE,WA72DA,RTV,53.323266,-2.694681,E02002588
RWW99,Halton Hospital Captain Sir Tom Moore Building,NHS TRUST SITE,WA72HH,RWW,53.321857,-2.695394,E02002588
RW40A,Hartley Hospital,NHS TRUST SITE,PR86PL,RW4,53.640182,-2.983572,E02001436
RWW46,Highfield Hospital,NHS TRUST SITE,WA87DJ,RWW,53.374051,-2.735534,E02002578
RTV34,Hollins Park Hospital Older Persons,NHS TRUST SITE,WA28WA,RTV,53.429516,-2.606862,E02002592
RJN68,Knutsford & District Community Hospital,NHS TRUST SITE,WA160BT,RJN,53.302017,-2.378603,E02003863
E5O6X,Leigh Moss Hospital,NHS TRUST SITE,L145NX,RW4,53.416405,-2.892653,E02001372
RXAD6,Leighton Hospital,NHS TRUST SITE,CW12LZ,RXA,53.097848,-2.445088,E02003830
RBQHQ,Liverpool Heart And Chest Hospital Nhs Trust Hq,NHS TRUST SITE,L143PE,RBQ,53.411151,-2.897989,E02001372
