Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RDY22,Alderney Hospital,NHS TRUST SITE,BH124NB,RDY,50.749698,-1.940973,E02003195
RA952,Ashburton And Buckfastleigh Hospital,NHS TRUST SITE,TQ137AP,RA9,50.519348,-3.74854,E02004217
RH857,Axminster Hospital,NHS TRUST SITE,EX135DU,RH8,50.783892,-2.996268,E02004133
RVJ86,Barrow Hospital,NHS TRUST SITE,BS483SF,RVJ,51.418261,-2.668055,E02003075
RVJJ7,Bath Mineral Hospital,NHS TRUST SITE,BA11RN,RVJ,51.382341,-2.362111,E02002991
RTQ81,Berkeley Hospital,NHS TRUST SITE,GL139AD,RTQ,51.692006,-2.4585,E02004662
A2A4G,Bideford Hospital,NHS TRUST SITE,EX393AG,RH8,51.017812,-4.212783,E02004222
RBD20,Blandford Community Hospital,NHS TRUST SITE,DT117DD,RBD,50.86307,-2.167984,E02004261
RBD0A,Bmi The Winterbourne Hospital,NHS TRUST SITE,DT12DR,RBD,50.701017,-2.441867,E02004278
RJ866,Bodmin Hospital,NHS TRUST SITE,PL312QT,RJ8,50.468805,-4.741983,E02003942
RJ815,Bolitho Hospital,NHS TRUST SITE,TR184NY,RJ8,50.111395,-5.548568,E02003951
RDY01,Boscombe Community Hospital,NHS TRUST SITE,BH14JQ,RDY,50.729266,-1.841473,E02003190
RNZ55,Bournemouth Nuffield Hospital,NHS TRUST SITE,BH11RW,RNZ,50.730406,-1.870932,E02003188
RBZ2A,Bovey Tracey Hospital,NHS TRUST SITE,TQ139HJ,RBZ,50.597992,-3.676332,E02004204
A5T3C,Bridgwater Hospital,NHS TRUST SITE,TA64GU,RH5,51.140557,-2.974132,E02006070
Q8I1N,Bridport Community Hospital,NHS TRUST SITE,DT65DR,R0D,50.741594,-2.769929,E02004275
RA708,Bristol Eye Hospital,NHS TRUST SITE,BS12LX,RA7,51.458436,-2.594546,E02006951
RA703,Bristol Homeopathic Hospital,NHS TRUST SITE,BS66JU,RA7,51.46212,-2.603777,E02006951
RA723,Bristol Royal Hospital For Children,NHS TRUST SITE,BS28BJ,RA7,51.457748,-2.597329,E02006951
A5V9E,Brixham Hospital,NHS TRUST SITE,TQ59HW,RA9,50.389444,-3.513823,E02003171
RBZ85,Budleigh Salterton Hospital,NHS TRUST SITE,EX96HF,RBZ,50.631592,-3.320519,E02004145
RVJ24,Burden Neurological Hospital,NHS TRUST SITE,BS161LE,RVJ,51.496597,-2.528419,E02007067
A5T6J,Burnham On Sea Hospital,NHS TRUST SITE,TA81ED,RH5,51.238794,-2.993884,E02006064
RA4C6,Butleigh Hospital,NHS TRUST SITE,BA68TF,RA4,51.093489,-2.685068,E02006059
RVNEQ,Callington Road Hospital,NHS TRUST SITE,BS45BJ,RVN,51.431265,-2.557555,E02003054
RJ817,Camborne Redruth Community Hospital,NHS TRUST SITE,TR153ER,RJ8,50.229381,-5.244376,E02003922
RH587,Chantry House Day Hospital,NHS TRUST SITE,BA111EY,RH5,51.228624,-2.327506,E02006050
RH5F2,Chard Hospital,NHS TRUST SITE,TA201NF,RH5,50.874996,-2.952373,E02006097
