Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RWP01,Alexandra Hospital,NHS TRUST SITE,B987UB,RWP,52.279774,-1.912127,E02006729
RTH39,Birmingham Childrens Hospital,NHS TRUST SITE,B46NW,RTH,52.484244,-1.893383,E02001876
RRK06,Birmingham City Hospital,NHS TRUST SITE,B187QH,RRK,52.488627,-1.932507,E02001879
RYW21,Birmingham Dental Hospital,NHS TRUST SITE,B46NN,RYW,52.485639,-1.89525,E02001876
RQ370,Birmingham Womens Hospital,NHS TRUST SITE,B152TG,RQ3,52.45323,-1.942905,E02001913
RBK80,Bloxwich Hospital,NHS TRUST SITE,WS32JJ,RBK,52.613749,-2.004845,E02002117
RBK85,Bmi The Priory Hospital,NHS TRUST SITE,B57UG,RBK,52.456429,-1.911423,E02001905
RREHI,Bradwell Hospital,NHS TRUST SITE,ST57NL,RRE,53.041578,-2.242055,E02006163
RJC56,Bramcote Hospital,NHS TRUST SITE,CV116QL,RJC,52.499997,-1.415554,E02006485
RXWMB,Bridgnorth Hospital,NHS TRUST SITE,WV164EU,RXW,52.537897,-2.421502,E02006012
RLQ03,Bromyard Community Hospital,NHS TRUST SITE,HR74QN,RLQ,52.186335,-2.506908,E02002909
RYG96,Brooklands Hospital,NHS TRUST SITE,B377HL,RYG,52.4712,-1.744102,E02002089
A1G1T,Burton Hospital,NHS TRUST SITE,DE130RB,RTG,52.817775,-1.656384,E02006137
RRE14,Cannock Chase Hospital,NHS TRUST SITE,WS115XY,RRE,52.693241,-2.030614,E02006128
RLY14,Cheadle Hospital,NHS TRUST SITE,ST101NT,RLY,52.986038,-1.990766,E02006214
RYW02,Community Unit 29 At Heartlands Hospital,NHS TRUST SITE,B95SS,RYW,52.480218,-1.829966,E02001892
RNA04,Corbett Hospital,NHS TRUST SITE,DY84JB,RNA,52.465406,-2.146398,E02002030
S6D0D,Cygnet Hospital Wolverhampton,NHS TRUST SITE,WV111UH,RW4,52.59799,-2.088916,E02002163
RRKE2,Dental Hospital,NHS TRUST SITE,B57EG,RRK,52.449991,-1.914476,E02001905
J4J6C,Dolan Park Hospital,NHS TRUST SITE,B601LY,RLQ,52.333442,-2.002685,E02006709
RBK36,Dorothy Pattison Hospital,NHS TRUST SITE,WS29XH,RBK,52.582148,-2.002431,E02002140
