Code,Name,Primary Role Name,Postcode,Is Operated By - Code,latitude,longitude,msoa
RR856,Airedale General Hospital,NHS TRUST SITE,BD206TE,RR8,53.896081,-1.956366,E02006945
RV917,Alfred Bean Hospital,NHS TRUST SITE,YO255JR,RV9,54.012164,-0.423232,E02006891
RHQBN,Barnsley District General Hospital,NHS TRUST SITE,S752EP,RHQ,53.559132,-1.499493,E02001520
RFRAA,Barnsley Hospitals,NHS TRUST SITE,S752PS,RFR,53.559855,-1.500617,E02001520
RCF23,Bingley Hospital,NHS TRUST SITE,BD164HD,RCF,53.850045,-1.826722,E02002197
RCB16,Bootham Park Hospital,NHS TRUST SITE,YO307BY,RCB,53.968072,-1.0856,E02002784
D8Z8K,Bradford Teaching Hospitals Nhs Foundation Trust,NHS TRUST SITE,BD96RJ,RAE,53.80598,-1.794697,E02002219
RV928,Bridlington & District Hospital,NHS TRUST SITE,YO164QP,RV9,54.086552,-0.215754,E02002686
RX3XP,Brompton House Day Hospital,NHS TRUST SITE,DL61EA,RX3,54.344748,-1.432193,E02007042
Q4Z4C,Calderdale Royal Hospital,NHS TRUST SITE,HX30PW,RAE,53.704821,-1.857509,E02002264
RR862,Castle Hill Hospital,NHS TRUST SITE,HU165JQ,RR8,53.776733,-0.444985,E02002705
RCF30,Castleberg Hospital,NHS TRUST SITE,BD240BN,RCF,54.069558,-2.292211,E02005744
RXG18,Castleford & Normanton District Hospital,NHS TRUST SITE,WF105LT,RXG,53.719003,-1.37096,E02002441
RR819,Chapel Allerton Hospital,NHS TRUST SITE,LS74SA,RR8,53.822636,-1.52981,E02002371
RHQCC,Charles Clifford Dental Hospital,NHS TRUST SITE,S102SZ,RHQ,53.379795,-1.49378,E02001640
Y9F2N,Cheswold Park Hospital,NHS TRUST SITE,DN58AR,RXG,53.52786,-1.149294,E02001559
RHQAA,Claremont Hospital,NHS TRUST SITE,S105UB,RHQ,53.375454,-1.536039,E02001643
RV989,Coltman Street Day Hospital,NHS TRUST SITE,HU32SG,RV9,53.741335,-0.362015,E02002681
RCF26,Coronation Hospital,NHS TRUST SITE,LS298TG,RCF,53.923204,-1.813674,E02002183
RX3NX,Cross Lane Hospital The Lodge,NHS TRUST SITE,YO126DN,RX3,54.296061,-0.424989,E02005799
RGDCY,Cygnet Hospital Bierley,NHS TRUST SITE,BD46AD,RGD,53.768503,-1.732116,E02002239
RGDCW,Cygnet Hospital Wyke,NHS TRUST SITE,BD128LR,RGD,53.728504,-1.774582,E02002243
RXF10,Dewsbury & District Hospital,NHS TRUST SITE,WF134HS,RXF,53.702252,-1.651877,E02002286
RR857,Diana Princess Of Wales Hospital,NHS TRUST SITE,DN332BA,RR8,53.544882,-0.096233,E02002741
RFRDR,Doncaster & Bassetlaw Hospitals,NHS TRUST SITE,DN25LT,RFR,53.530805,-1.108942,E02001556
RFRDG,Doncaster Gate Hospital,NHS TRUST SITE,S651DA,RFR,53.429997,-1.352431,E02001594
RTR09,Duchess Of Kent Hospital,NHS TRUST SITE,DL94DF,RTR,54.374236,-1.707919,E02005785
RCB63,Duchy Nuffield Hospital,NHS TRUST SITE,HG20HF,RCB,53.98757,-1.547812,E02005779
RAE4H,Eccleshill Community Hospital,NHS TRUST SITE,BD100JE,RAE,53.823092,-1.712131,E02002209
RXG10,Fieldhead Hospital,NHS TRUST SITE,WF13SP,RXG,53.69734,-1.494054,E02002443
RX3KI,Foss Park Hospital,NHS TRUST SITE,YO318TA,RX3,53.976566,-1.077403,E02002781
