msoa,org_code,org_name,postcode,latitude,longitude,first_snapshot_date,last_snapshot_date
E02002219,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,BD96RJ,53.80598,-1.794697,2020-06-30,2024-06-30
E02002780,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,YO318HE,53.968952,-1.084285,2020-06-30,2024-06-30
E02005773,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,HG27SX,53.993807,-1.517573,2020-06-30,2024-06-30
E02006945,RCF,AIREDALE NHS FOUNDATION TRUST,BD206TD,53.898015,-1.962695,2020-06-30,2024-06-30
E02001640,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,S102TH,53.380599,-1.490629,2020-06-30,2024-06-30
E02001520,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,S752EP,53.559132,-1.499493,2020-06-30,2024-06-30
E02001600,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,S602UD,53.413972,-1.34288,2020-06-30,2024-06-30
E02002371,RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,LS73JX,53.821038,-1.534962,2020-06-30,2024-06-30
E02001630,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,S57AU,53.409821,-1.455965,2020-06-30,2024-06-30
E02002741,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,DN332BA,53.544882,-0.096233,2020-06-30,2024-06-30
E02001556,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,DN25LT,53.530805,-1.108942,2020-06-30,2024-06-30
E02002393,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,LS97TF,53.806869,-1.520359,2020-06-30,2024-06-30
E02002705,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,HU106FE,53.771067,-0.447309,2020-06-30,2024-06-30
E02002675,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,HU32JZ,53.744113,-0.358146,2020-06-30,2024-06-30
E02002303,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,HD33EA,53.655474,-1.816338,2020-06-30,2024-06-30
E02001566,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,DN48QN,53.494823,-1.145978,2020-06-30,2024-06-30
E02002454,RXF,MID YORKSHIRE TEACHING NHS TRUST,WF14DG,53.692418,-1.488555,2020-06-30,2024-06-30
E02002443,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,WF13SP,53.69734,-1.494054,2020-06-30,2024-06-30
E02002422,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,LS110DL,53.762746,-1.575641,2020-06-30,2024-06-30
E02002202,TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,BD183LD,53.839675,-1.788605,2020-06-30,2024-06-30
E02001632,TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,S47QQ,53.398186,-1.443225,2020-06-30,2024-06-30
