msoa,org_code,org_name,postcode,latitude,longitude,first_snapshot_date,last_snapshot_date
E02001062,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,M139WL,53.462436,-2.227711,2020-06-30,2024-06-30
E02001801,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,SR47TP,54.902214,-1.410327,2020-06-30,2024-06-30
E02003208,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,BH152JB,50.721987,-1.973117,2020-12-31,2024-06-30
E02006741,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,WR51JR,52.192339,-2.178135,2020-06-30,2024-06-30
E02003575,R1C,SOLENT NHS TRUST,SO198BR,50.901628,-1.329869,2020-06-30,2024-06-30
E02003588,R1F,ISLE OF WIGHT NHS TRUST,PO305TG,50.710832,-1.301363,2020-06-30,2024-06-30
E02000880,R1H,BARTS HEALTH NHS TRUST,E12ES,51.517167,-0.05605,2020-06-30,2024-06-30
E02000100,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,HA13UJ,51.575407,-0.322037,2020-06-30,2024-06-30
E02004505,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,SS117XX,51.633013,0.543374,2020-06-30,2024-06-30
E02006355,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,GU27XX,51.241016,-0.607463,2020-06-30,2024-06-30
E02006088,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,BA214AT,50.944843,-2.634712,2020-06-30,2023-03-31
E02003036,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,BS13NU,51.459478,-2.593019,2020-06-30,2024-06-30
E02003156,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,TQ27AA,50.482316,-3.553804,2020-06-30,2024-06-30
E02002219,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,BD96RJ,53.80598,-1.794697,2020-06-30,2024-06-30
E02003282,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,SS00RY,51.553838,0.688617,2020-06-30,2024-06-30
E02000173,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,NW32QG,51.553224,-0.165324,2020-06-30,2024-06-30
E02000433,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,HA74LP,51.632566,-0.310435,2020-06-30,2024-06-30
E02006793,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,N181QX,51.613094,-0.07375,2020-06-30,2024-06-30
E02000510,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,UB83NN,51.526077,-0.461175,2020-06-30,2024-06-30
E02000491,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,RM138GQ,51.518578,0.171162,2020-06-30,2024-06-30
E02000600,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,KT27QB,51.414826,-0.282601,2020-06-30,2024-06-30
E02007006,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,DT12JY,50.71294,-2.446936,2020-06-30,2024-06-30
E02002135,RBK,WALSALL HEALTHCARE NHS TRUST,WS29PS,52.58233,-1.998924,2020-06-30,2024-06-30
E02001491,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,CH495PE,53.36964,-3.096815,2020-06-30,2024-06-30
E02001335,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,L355DR,53.420469,-2.784954,2020-06-30,2024-06-30
E02001372,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,L143PE,53.411151,-2.897989,2020-06-30,2024-06-30
E02001372,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,L122AP,53.421263,-2.897795,2020-06-30,2024-06-30
E02007030,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,CW14QJ,53.117685,-2.475863,2020-06-30,2024-06-30
E02001082,RBV,THE CHRISTIE NHS FOUNDATION TRUST,M204BX,53.429767,-2.230125,2020-06-30,2024-06-30
E02004181,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,EX314JB,51.092169,-4.050431,2020-06-30,2022-06-30
E02003270,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,LU40DZ,51.894152,-0.474405,2020-06-30,2024-06-30
E02002780,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,YO318HE,53.968952,-1.084285,2020-06-30,2024-06-30
E02005773,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,HG27SX,53.993807,-1.517573,2020-06-30,2024-06-30
E02006945,RCF,AIREDALE NHS FOUNDATION TRUST,BD206TD,53.898015,-1.962695,2020-06-30,2024-06-30
E02001640,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,S102TH,53.380599,-1.490629,2020-06-30,2024-06-30
E02005560,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",PE304ET,52.75663,0.446694,2020-06-30,2024-06-30
E02002992,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,BA13NG,51.391665,-2.391218,2020-06-30,2024-06-30
E02003208,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,BH152JB,50.721987,-1.973117,2020-06-30,2020-09-30
E02003476,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,MK65LD,52.026384,-0.73576,2020-06-30,2024-06-30
E02007057,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,CO45JL,51.910164,0.899182,2020-06-30,2024-06-30
E02006425,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,GU167UJ,51.319666,-0.742029,2020-06-30,2024-06-30
E02003197,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,BH170RB,50.740073,-1.978038,2020-06-30,2024-06-30
E02003182,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,BH77DW,50.747482,-1.82052,2020-06-30,2020-09-30
E02003909,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,TR13LJ,50.266686,-5.091464,2020-06-30,2024-06-30
E02001377,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,L78XP,53.409506,-2.964809,2020-06-30,2024-06-30
E02001504,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,CH634JY,53.332283,-3.025848,2020-06-30,2024-06-30
E02001377,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,L87SS,53.398461,-2.960077,2020-06-30,2024-06-30
E02001351,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,L97LJ,53.466395,-2.931,2020-06-30,2024-06-30
E02000480,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RM70AG,51.568647,0.179031,2020-06-30,2024-06-30
E02001520,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,S752EP,53.559132,-1.499493,2020-06-30,2024-06-30
E02001600,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,S602UD,53.413972,-1.34288,2020-06-30,2024-06-30
E02004066,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,S445BL,53.236214,-1.400051,2020-06-30,2024-06-30
E02002371,RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,LS73JX,53.821038,-1.534962,2020-06-30,2024-06-30
E02003731,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,CB20AY,52.173522,0.136046,2020-06-30,2024-06-30
E02003251,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,PE39GZ,52.583921,-0.279386,2020-06-30,2024-06-30
E02005548,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NR316LA,52.561672,1.71798,2020-06-30,2024-06-30
E02006281,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,IP332QZ,52.231662,0.709176,2020-06-30,2024-06-30
E02003731,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,CB20QQ,52.173741,0.139114,2020-06-30,2024-06-30
E02006109,RH5,SOMERSET NHS FOUNDATION TRUST,TA15DA,51.011569,-3.121702,2020-06-30,2024-06-30
E02004161,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,EX25DW,50.716703,-3.50668,2020-06-30,2024-06-30
E02002877,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,NG36AA,52.979272,-1.12643,2020-06-30,2024-06-30
E02003558,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,SO166YD,50.933019,-1.435104,2020-06-30,2024-06-30
E02001630,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,S57AU,53.409821,-1.455965,2020-06-30,2024-06-30
E02003525,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,PO63LY,50.850297,-1.069932,2020-06-30,2024-06-30
E02003402,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,RG15AN,51.451022,-0.95933,2020-06-30,2024-06-30
E02006801,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,SE17EH,51.497959,-0.118905,2020-06-30,2024-06-30
E02007009,RJ2,LEWISHAM AND GREENWICH NHS TRUST,SE136LH,51.453022,-0.017916,2020-06-30,2024-06-30
E02000208,RJ6,CROYDON HEALTH SERVICES NHS TRUST,CR77YE,51.389128,-0.108758,2020-06-30,2024-06-30
E02000956,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,SW170QT,51.426682,-0.175694,2020-06-30,2024-06-30
E02003942,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,PL312QN,50.471755,-4.740857,2020-06-30,2024-06-30
E02006529,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,CV345BW,52.289965,-1.583203,2020-06-30,2024-06-30
E02002968,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ST46QG,53.003262,-2.211798,2020-06-30,2024-06-30
E02002741,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,DN332BA,53.544882,-0.096233,2020-06-30,2024-06-30
E02003869,RJN,EAST CHESHIRE NHS TRUST,SK103BL,53.262321,-2.141074,2020-06-30,2024-06-30
E02003797,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,CH21UL,53.2088,-2.897884,2020-06-30,2024-06-30
E02000631,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,SE59RS,51.468077,-0.093916,2020-06-30,2024-06-30
E02005822,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,NG174JL,53.134573,-1.233579,2020-06-30,2024-06-30
E02003126,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,PL68DH,50.41672,-4.113684,2020-06-30,2024-06-30
E02001976,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,CV22DX,52.421211,-1.438403,2020-06-30,2024-06-30
E02000557,RKE,WHITTINGTON HEALTH NHS TRUST,N195NF,51.566482,-0.139066,2020-06-30,2024-06-30
E02000266,RKL,WEST LONDON NHS TRUST,UB24SD,51.506315,-0.358547,2020-06-30,2024-06-30
E02006023,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,SY107AG,52.884212,-3.032685,2020-06-30,2024-06-30
E02002163,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,WV100QP,52.599722,-2.095555,2020-06-30,2024-06-30
E02002916,RLQ,WYE VALLEY NHS TRUST,HR12ER,52.057013,-2.705709,2020-06-30,2024-06-30
E02006482,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,CV107DJ,52.51258,-1.478439,2020-06-30,2024-06-30
