area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00078837,7,30,19,19,15,9,4,14,29,20,25,32,20,28,23,18,15,9
E00078838,19,23,27,13,15,15,24,15,27,38,24,33,20,15,27,16,11,6
E00078839,22,37,34,13,10,10,20,28,31,27,19,24,24,26,17,21,7,5
E00078840,8,7,13,4,4,10,6,8,11,13,22,11,21,8,11,13,8,10
E00078841,13,14,22,8,9,2,11,14,14,29,19,21,14,20,18,10,12,14
E00078842,19,40,29,24,16,18,19,25,24,42,42,41,19,25,29,20,7,9
E00078843,20,30,41,23,15,21,18,40,32,30,45,35,16,21,29,16,7,1
E00078844,11,29,31,22,13,12,13,16,23,28,29,41,18,19,16,16,12,10
E00078845,1,7,10,14,3,3,3,9,7,11,11,14,12,14,11,4,4,4
E00078846,15,16,20,13,4,11,8,15,23,29,12,21,20,18,20,13,9,6
E00078847,7,11,26,24,21,4,2,7,13,33,35,34,23,17,23,10,17,8
E00078848,22,33,49,31,24,26,36,42,33,22,16,14,13,13,10,7,4,3
E00078849,10,1,1,5,15,7,3,5,7,10,24,10,9,15,14,14,11,7
E00078850,24,39,36,24,19,17,31,32,43,21,18,28,15,15,17,9,9,2
E00078851,26,32,28,12,18,22,32,29,16,20,25,14,15,20,9,15,7,3
E00078852,14,29,28,18,19,23,28,19,14,24,14,13,17,20,14,8,8,4
E00078853,23,33,32,19,12,30,38,29,20,20,15,10,18,8,17,8,4,5
E00078854,13,25,24,22,16,19,17,29,18,17,19,18,14,16,6,7,4,4
E00078855,12,16,26,16,15,14,17,19,18,17,20,11,6,5,5,2,0,1
E00078856,25,45,49,29,15,23,24,42,28,29,20,18,18,16,12,6,6,5
E00078857,4,9,14,13,8,7,7,9,8,21,16,14,15,29,37,13,6,3
E00078858,25,48,49,35,30,23,40,38,36,19,32,15,24,10,10,4,6,0
E00078859,15,16,23,20,7,10,14,15,20,9,10,7,20,14,19,13,2,7
E00078860,10,11,15,10,6,16,21,10,19,12,29,9,11,20,26,7,7,1
E00078861,14,26,13,14,12,17,13,20,25,15,21,18,21,22,23,8,5,8
E00078862,14,23,33,17,17,21,18,40,23,29,20,15,16,15,16,9,4,2
E00078863,21,24,20,20,11,21,21,19,8,16,21,12,7,16,16,8,7,3
E00078864,12,19,22,13,19,24,16,14,19,24,20,11,7,13,10,8,3,1
E00078865,14,31,35,20,22,19,26,30,27,21,20,23,15,18,7,10,2,2
E00078866,11,17,14,13,9,21,21,31,18,13,15,13,21,24,16,14,4,2
E00078867,26,30,42,25,16,14,23,37,22,33,25,23,17,16,14,6,11,7
E00078868,10,14,16,11,15,16,18,14,16,29,19,24,39,44,27,28,18,19
E00078869,28,37,53,40,16,23,31,38,43,24,15,14,8,6,22,14,4,9
E00078870,30,36,35,30,22,26,29,28,34,22,16,10,18,16,8,8,4,3
E00078871,20,20,32,17,16,27,21,35,25,19,12,14,12,9,11,3,3,7
E00078872,22,18,34,27,21,16,25,43,28,31,22,27,17,16,26,18,12,6
E00078873,42,37,29,32,32,60,65,41,37,26,30,18,15,10,11,6,8,3
E00078874,20,13,10,10,31,48,58,32,22,18,21,16,5,9,11,4,6,3
E00078875,46,42,29,16,20,37,43,61,24,33,35,30,25,10,18,10,12,7
E00078876,18,18,20,18,14,19,31,19,17,25,27,18,22,27,21,9,6,5
E00078877,20,26,39,22,24,30,42,19,27,24,29,34,16,10,17,6,3,6
E00078878,24,25,30,10,20,27,35,21,17,21,23,20,10,11,12,8,6,6
E00078879,14,21,22,18,19,18,27,16,25,12,20,18,21,21,16,6,5,8
E00078880,13,12,19,15,13,13,11,14,19,30,21,25,35,29,25,23,12,11
