area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00041363,6,3,4,11,9,23,10,7,9,11,12,10,14,16,19,11,10,2
E00041364,50,57,55,18,32,37,30,37,16,16,13,14,17,11,12,4,4,0
E00041366,12,10,7,6,21,26,24,16,16,6,12,10,12,5,10,7,2,0
E00041367,10,15,8,8,11,11,17,19,15,13,15,22,23,15,10,7,10,2
E00041368,29,16,24,13,18,18,30,19,28,12,15,21,22,15,12,8,4,4
E00041369,26,31,31,25,27,30,23,29,28,20,22,20,23,15,18,5,4,3
E00041371,11,14,19,26,21,17,16,24,19,20,19,22,24,13,21,18,20,27
E00041372,27,30,26,19,22,15,14,15,23,9,12,8,11,8,6,3,2,3
E00041377,0,0,1,0,6,3,8,8,11,17,20,25,25,19,22,13,9,6
E00041378,7,9,3,12,15,36,25,18,5,17,26,22,19,12,10,5,8,2
E00041381,8,9,8,12,12,19,15,12,17,17,15,16,18,13,17,10,4,1
E00041382,2,0,2,2,5,10,17,10,7,7,11,10,9,10,5,7,2,3
E00041383,14,14,14,13,10,21,14,23,17,14,25,21,21,10,13,14,6,4
E00041384,20,14,13,8,51,64,52,26,19,18,31,28,15,6,12,9,7,5
E00041385,8,3,4,11,11,24,15,12,8,15,16,13,8,13,16,9,13,13
E00041386,28,25,10,7,25,104,111,58,35,11,13,10,9,7,3,4,0,0
E00041388,16,27,26,18,25,24,28,20,25,22,31,27,17,15,11,1,3,3
E00041389,9,11,12,9,12,16,23,12,15,11,9,13,12,12,11,4,1,2
E00041390,14,24,25,17,29,29,19,25,21,20,31,14,18,13,20,17,14,35
E00041393,29,21,15,4,21,33,30,27,24,16,10,19,15,12,7,2,4,3
E00041394,17,22,29,18,18,25,39,35,28,23,34,21,23,17,16,8,2,2
E00041395,19,38,29,165,18,10,20,27,21,16,15,21,23,12,20,5,6,9
E00041397,12,12,14,14,15,21,18,19,14,18,20,13,16,23,20,13,9,6
E00041399,4,5,4,8,23,27,16,20,11,19,15,21,7,11,13,12,10,2
E00041400,17,9,9,11,26,33,20,17,12,20,14,17,13,22,16,13,10,20
E00041401,23,21,14,14,31,37,41,24,15,14,6,8,9,11,7,1,2,2
E00041402,43,35,24,22,32,30,22,22,13,18,29,16,16,18,14,6,5,5
E00041404,12,12,19,12,24,17,13,13,12,19,31,39,32,20,20,8,3,2
E00041405,4,1,3,3,4,6,3,6,7,20,11,19,20,13,7,6,9,4
E00041406,17,8,16,12,27,24,35,25,18,20,11,19,11,7,5,2,1,0
E00041407,34,30,21,12,21,36,39,20,22,11,8,20,9,11,13,3,2,3
E00041408,24,16,11,10,29,18,21,10,20,12,18,23,14,4,2,3,3,4
E00041409,27,27,26,17,13,16,23,29,26,22,18,12,15,13,11,6,4,4
E00041410,0,1,0,7,16,11,19,20,10,10,23,26,26,24,16,6,2,5
E00041411,0,1,4,7,7,4,1,6,5,8,8,16,12,9,14,9,4,6
E00041413,7,9,15,4,15,15,10,12,13,13,13,11,14,14,7,4,6,5
E00041414,32,28,23,7,12,12,26,16,10,5,6,7,9,4,3,1,4,3
E00041415,11,6,6,6,16,30,19,21,20,9,12,17,24,8,8,5,7,0
E00041416,18,19,12,23,17,20,21,16,13,29,19,31,17,16,13,13,11,5
E00041417,7,14,13,14,10,9,12,11,14,12,24,14,21,17,35,23,13,9
E00041418,20,14,15,12,9,12,18,17,7,9,19,19,18,15,18,15,18,6
E00041419,3,15,13,12,7,20,13,9,11,17,19,27,13,18,22,21,23,19
E00041420,17,30,30,19,20,26,23,19,22,21,27,19,11,9,7,3,2,0
E00041421,3,6,11,6,25,29,14,19,13,10,24,26,23,18,32,24,32,20
E00041422,11,10,11,10,9,17,12,13,9,16,13,14,15,17,12,14,8,13
E00041423,25,20,21,23,25,25,17,24,14,12,27,20,14,11,8,2,3,1
E00041424,17,16,27,18,28,19,18,25,22,17,25,23,14,11,26,7,4,6
E00041425,12,9,10,10,10,8,18,9,9,10,26,14,23,16,19,12,16,10
E00041426,8,14,10,9,19,16,15,22,12,17,30,39,19,14,6,11,3,4
E00041427,7,11,18,16,16,13,12,7,22,27,39,29,20,12,21,15,14,28
E00041429,6,15,11,10,9,5,9,12,12,13,10,26,24,14,27,20,15,23
E00041430,16,12,13,10,18,27,37,24,18,26,28,24,22,27,21,9,20,21
E00041431,16,13,9,8,20,24,14,26,6,14,16,18,17,12,7,8,2,0
E00041432,8,17,14,11,12,14,22,15,26,9,12,22,17,23,16,8,11,13
E00041433,13,11,7,10,20,21,19,18,13,7,11,19,13,14,4,7,5,2
E00041434,6,15,11,14,16,13,13,11,13,21,20,22,18,16,17,10,8,10
E00041435,14,16,10,8,15,12,22,29,18,14,22,30,29,11,24,20,30,35
E00041436,17,12,9,14,14,26,21,19,9,7,33,22,16,16,16,10,3,2
E00041437,9,14,13,17,10,7,15,15,12,10,24,24,17,21,15,16,9,2
E00041438,12,17,14,13,4,15,17,14,25,24,19,32,16,28,15,27,9,5
E00041439,15,20,22,15,11,11,12,20,18,11,19,17,9,11,17,15,12,12
E00041440,10,18,14,15,12,14,16,21,17,18,22,25,33,20,28,24,8,5
E00041441,10,17,20,18,19,11,10,19,18,30,16,19,24,26,18,15,9,8
E00041442,8,10,15,13,9,10,11,12,13,14,23,21,24,25,25,18,7,13
E00041443,8,12,10,14,11,11,9,8,13,19,28,26,20,16,21,27,12,7
E00041444,15,25,22,20,21,15,19,21,18,30,25,27,18,24,6,9,9,2
E00041445,3,2,11,12,18,22,2,7,11,12,20,25,17,16,18,29,22,10
E00041446,6,17,11,6,13,27,18,14,12,7,30,13,19,18,20,10,8,8
E00041447,12,22,24,16,21,22,26,26,22,22,16,15,12,7,9,2,1,3
E00041448,15,13,9,4,8,25,19,13,6,15,12,11,11,4,6,0,3,2
E00041449,15,13,15,16,5,5,11,15,17,16,11,15,15,20,20,15,11,7
E00041450,12,17,24,16,15,8,17,20,17,20,14,22,25,6,12,7,8,4
E00041451,19,17,34,29,17,12,16,21,19,19,31,17,18,8,13,13,10,4
E00041452,13,10,11,22,17,26,16,19,13,35,31,35,14,15,11,2,0,0
E00041453,45,44,21,9,23,57,82,53,39,17,20,8,13,15,9,10,3,0
E00041454,28,34,23,23,19,29,23,29,19,21,19,14,20,6,1,4,5,1
E00041455,14,13,20,22,17,25,18,28,14,18,25,22,18,14,20,6,8,7
E00041456,8,13,18,12,10,11,15,10,7,14,9,14,15,22,24,15,14,11
E00041457,10,21,12,11,11,19,15,11,12,10,16,24,19,21,10,9,5,0
E00041458,17,17,28,14,15,10,17,7,23,26,28,12,15,19,30,8,12,8
E00041459,11,19,7,10,7,8,10,18,17,15,22,18,21,28,19,17,13,16
E00041460,15,21,30,20,19,24,22,28,25,42,21,46,35,24,25,12,9,4
E00041461,23,21,42,22,20,34,35,27,34,31,26,19,8,15,10,6,4,6
E00041462,27,24,21,19,14,16,11,26,14,16,10,11,20,12,7,5,3,6
E00041463,14,11,20,13,23,23,21,13,23,18,18,19,12,6,5,6,2,0
E00041464,20,17,25,12,18,26,20,40,23,21,32,17,12,9,6,7,3,2
E00041465,11,15,17,20,11,8,15,16,16,27,20,12,11,9,13,17,7,9
E00041466,19,22,17,17,20,18,20,23,23,16,29,21,23,18,15,13,11,9
E00041467,21,13,13,9,14,15,32,16,8,18,22,22,23,26,9,7,12,14
