area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00024141,27,30,36,28,14,10,24,32,26,25,24,25,12,13,8,12,9,10
E00024142,18,12,21,18,9,13,21,19,17,24,19,11,16,13,12,11,12,4
E00024143,20,17,28,24,31,29,21,20,24,19,33,17,15,11,16,9,7,5
E00024144,11,17,18,13,11,9,16,16,26,17,22,21,18,14,17,6,6,5
E00024145,20,23,29,25,15,14,28,20,20,26,34,26,27,11,14,9,16,12
E00024146,14,22,25,10,7,7,8,11,20,24,16,22,18,17,31,25,14,5
E00024147,7,12,16,9,14,15,14,11,20,12,26,36,16,27,31,21,12,7
E00024148,16,29,37,25,17,24,20,26,19,23,46,21,25,11,11,2,4,2
E00024150,10,15,16,15,6,6,8,18,15,18,14,20,20,16,20,9,5,5
E00024151,14,19,25,26,16,15,14,29,22,22,32,22,15,12,12,5,0,0
E00024152,41,39,26,22,14,27,23,35,18,13,14,14,15,8,11,8,1,2
E00024153,20,26,31,23,22,21,24,24,17,22,25,19,12,7,9,8,7,3
E00024154,16,23,21,14,19,18,15,28,19,27,25,22,18,8,15,9,20,39
E00024155,15,24,19,24,24,18,20,14,23,23,27,19,14,11,7,10,3,5
E00024156,16,29,35,26,12,17,24,20,30,22,47,29,15,21,9,11,5,4
E00024157,27,35,37,43,24,22,29,30,29,34,23,10,10,13,6,2,10,12
E00024158,22,40,30,32,12,20,22,41,14,25,20,19,12,10,9,4,6,2
E00024159,6,4,10,12,11,4,8,7,6,11,15,19,23,24,27,24,22,20
E00024160,34,24,14,21,17,28,29,25,20,18,23,17,18,8,5,10,9,4
E00024161,24,20,21,21,20,25,28,26,28,26,23,20,24,7,11,11,1,5
E00024162,23,24,15,16,14,15,22,21,20,22,28,30,17,9,13,10,6,4
E00024163,18,18,21,26,12,18,17,37,17,16,19,9,12,9,10,7,10,2
E00024164,24,21,23,23,24,25,29,28,30,32,25,43,28,10,10,4,3,7
E00024165,7,12,10,3,4,7,16,9,10,6,4,13,10,12,14,8,24,12
E00024166,23,18,22,15,22,13,19,17,27,31,18,24,18,15,18,17,18,19
E00024167,14,15,19,14,18,11,13,16,14,17,20,32,23,23,23,20,16,16
E00024168,17,18,10,6,14,22,14,11,19,25,20,20,14,14,18,10,17,11
E00024169,18,13,5,7,19,16,11,19,9,7,18,15,16,6,8,8,1,25
E00024170,17,9,15,24,16,17,13,19,15,11,11,26,14,15,17,16,8,14
E00024171,20,18,22,27,20,19,21,31,22,34,28,28,18,27,25,21,13,16
E00024172,20,13,19,20,17,25,28,15,33,17,23,16,21,13,8,4,3,1
E00024173,14,9,9,9,14,13,18,8,22,20,11,17,17,10,8,8,6,21
E00024175,30,28,23,15,18,25,25,21,25,17,19,18,23,3,17,8,9,7
E00024176,10,24,19,24,20,7,7,13,25,27,36,26,18,17,17,9,4,9
E00024177,21,24,34,33,17,17,24,21,18,36,44,40,29,14,8,3,1,0
E00024178,20,26,20,25,13,14,20,25,17,22,39,34,20,20,17,8,8,0
E00024179,10,17,16,18,17,14,13,15,26,30,28,25,26,26,28,15,8,10
E00024180,16,12,19,18,12,16,26,24,17,29,26,17,27,10,7,13,3,2
E00024181,7,9,11,17,22,9,6,8,12,10,25,24,20,18,36,21,8,5
E00024182,13,8,13,14,6,13,13,10,11,9,25,13,17,22,30,18,6,13
