area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00045077,12,23,27,24,16,13,13,26,20,28,24,34,22,17,16,6,1,1
E00045078,18,21,29,20,18,18,22,28,20,26,28,41,31,18,12,9,9,4
E00045079,19,21,14,14,24,23,25,23,34,20,15,12,10,9,16,5,15,8
E00045080,22,26,23,26,19,22,26,25,30,33,28,18,20,23,11,14,11,8
E00045081,10,10,13,9,11,11,13,15,15,11,8,14,13,17,11,17,23,29
E00045082,41,26,25,45,50,42,30,29,25,27,29,19,16,8,6,8,7,5
E00045083,29,21,15,22,15,31,29,34,23,13,24,17,25,12,11,16,14,5
E00045084,15,25,25,26,24,22,31,27,30,24,23,24,11,13,10,8,6,2
E00045085,12,8,12,23,25,16,27,26,19,25,25,17,6,10,24,7,8,5
E00045086,35,27,30,31,24,31,27,36,36,27,26,31,30,14,10,10,6,5
E00045087,10,8,10,10,13,24,16,10,15,27,18,16,21,11,17,11,6,4
E00045088,13,15,17,27,15,28,20,10,12,13,26,38,21,13,17,14,5,9
E00045090,22,18,17,19,24,31,42,28,16,33,27,21,16,15,17,4,6,6
E00045091,19,17,18,14,20,24,25,26,15,20,16,20,26,14,12,27,35,55
E00045092,25,20,19,10,17,31,44,29,29,36,41,25,25,15,9,7,10,8
E00045093,14,11,9,9,30,38,29,21,11,17,21,26,10,20,10,9,2,3
E00045094,30,33,36,25,27,31,41,32,35,25,24,24,19,13,11,9,4,2
E00045095,24,33,24,13,14,27,29,20,18,25,9,29,14,9,12,10,4,0
E00045096,8,10,15,7,8,16,21,10,9,9,19,16,19,17,23,16,6,9
E00045097,20,24,20,13,17,27,37,28,13,24,22,21,16,12,11,10,3,3
E00045098,21,20,19,17,15,11,33,19,14,15,17,20,15,11,5,12,7,2
E00045099,22,27,30,29,10,18,16,29,17,19,15,16,2,6,8,9,3,3
E00045100,25,35,23,36,22,25,17,21,30,22,28,26,18,18,16,7,6,7
E00045101,33,38,62,39,32,20,26,45,26,20,22,15,9,5,10,7,4,4
E00045102,27,36,40,50,41,19,26,32,24,38,16,28,18,24,15,12,9,4
E00045103,17,25,36,42,23,13,21,20,27,30,10,19,23,16,13,16,8,7
E00045104,39,45,44,17,32,29,34,29,31,31,25,13,16,10,5,3,0,5
