area,<4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85>
E00037085,2,7,4,8,12,3,3,9,8,8,25,24,26,33,26,22,14,10
E00037086,5,12,13,13,5,6,0,11,15,22,31,21,21,23,37,37,17,9
E00037087,15,12,12,18,14,20,17,20,19,25,42,36,41,33,28,15,9,10
E00037088,27,36,36,28,17,27,31,32,23,18,26,23,24,7,17,5,3,3
E00037089,14,26,26,17,9,21,19,14,9,18,15,25,15,22,32,24,8,8
E00037090,12,14,17,13,18,12,11,16,19,30,20,22,23,13,20,14,6,2
E00037091,3,13,8,8,8,14,13,13,8,8,15,21,17,15,17,27,9,15
E00037092,11,7,10,16,4,15,17,9,9,10,37,23,16,28,20,17,12,11
E00037093,20,15,12,8,20,36,25,19,26,13,16,25,18,13,4,7,6,21
E00037094,20,24,23,17,18,29,38,35,31,32,37,40,21,17,18,6,6,9
E00037096,2,9,6,5,8,7,8,8,10,7,16,26,26,23,37,40,19,8
E00037097,10,10,12,10,9,11,16,12,13,11,32,16,18,15,4,6,12,7
E00037098,11,13,9,7,15,24,21,16,20,19,7,14,18,16,12,6,3,4
E00037099,35,41,37,28,24,28,61,46,38,20,27,27,16,12,15,2,3,1
E00037100,6,13,6,11,15,25,18,16,16,7,14,15,17,11,17,8,4,4
E00037101,22,27,21,5,15,23,33,15,12,19,35,44,14,17,10,15,6,2
E00037102,31,36,34,17,15,39,39,34,32,25,28,36,19,17,12,18,8,13
E00037103,23,17,11,17,13,18,13,22,19,18,20,20,15,22,8,6,15,7
E00037104,10,13,13,17,9,13,10,16,14,19,26,31,21,11,11,12,11,11
E00037105,29,34,31,33,22,25,21,23,21,17,19,28,19,15,12,9,7,5
E00037106,41,55,56,35,24,43,58,44,31,29,24,15,9,5,7,5,3,2
E00037107,11,10,11,7,18,13,18,13,20,23,26,25,28,19,16,15,15,9
E00037108,12,16,13,17,11,21,21,17,20,21,21,22,28,17,38,19,16,16
E00037109,13,18,24,17,22,17,17,17,14,32,27,35,20,20,17,14,4,1
E00037110,36,56,36,24,19,32,46,47,32,30,13,27,35,9,17,10,5,4
E00037111,7,11,7,16,7,23,13,10,11,13,19,22,21,13,23,31,8,5
E00037112,25,25,25,22,19,12,22,25,11,17,24,19,13,20,15,12,2,1
E00037113,16,25,17,26,12,19,11,27,14,14,23,15,14,17,25,23,15,9
E00037114,22,22,21,27,27,26,30,23,32,32,34,19,10,17,11,1,1,2
E00037115,14,18,17,11,15,8,16,12,18,19,21,18,24,28,24,13,14,10
E00037116,21,16,19,22,11,17,13,15,16,14,19,31,20,26,13,12,6,7
E00037117,9,14,20,9,9,19,20,16,6,16,23,30,21,19,14,8,8,7
E00037118,15,16,19,20,19,16,20,21,15,17,25,25,15,15,21,12,6,10
E00037119,15,16,17,17,23,20,20,22,10,18,25,29,19,15,9,13,7,6
E00037120,20,19,12,15,14,22,21,24,28,15,25,18,11,20,10,7,4,2
E00037121,15,18,18,11,5,15,13,15,12,14,19,24,15,9,12,4,2,3
E00037122,15,20,22,8,17,18,24,24,19,10,22,23,20,9,4,7,0,4
E00037123,34,38,25,18,16,25,25,24,14,24,20,17,8,13,10,3,0,3
E00037124,22,23,25,22,15,18,15,27,13,18,28,17,11,7,13,3,6,5
E00037125,18,17,17,14,9,18,19,11,20,12,25,25,18,26,12,11,6,1
E00037126,35,33,30,17,19,31,44,27,14,21,30,27,26,8,12,5,9,8
E00037127,30,35,34,21,20,26,39,24,18,16,21,16,11,11,11,4,3,5
E00037128,23,40,33,33,28,31,25,18,16,22,16,16,20,10,11,15,7,14
E00037129,30,27,22,21,19,29,18,28,12,20,15,20,14,8,11,4,0,2
E00037130,19,12,15,11,20,17,16,12,10,15,17,21,12,10,13,4,7,2
E00037131,25,23,19,16,16,20,26,20,12,16,18,19,16,17,12,8,8,4
E00037132,7,17,6,5,9,28,8,17,13,7,15,27,12,15,28,18,11,4
E00037133,18,20,34,25,12,21,20,23,20,24,17,25,17,20,13,9,6,4
E00037134,23,26,21,25,18,22,25,23,22,25,26,31,24,17,11,7,5,0
E00037135,8,12,14,18,15,9,7,22,16,16,16,24,19,18,20,22,5,9
