msoa,all_ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E02001509,3587,24,30,40,44,36,30,34,35,40,45,46,35,45,45,35,36,55,41,40,35,31,31,35,35,41,50,40,59,58,40,40,40,35,61,45,46,50,50,41,51,52,40,50,35,25,34,45,44,40,40,45,62,59,50,55,50,40,54,59,51,45,44,45,45,49,55,50,45,45,30,30,48,40,30,48,33,35,30,25,20,25,21,15,20,10,26,15,21,5,18,39
E02001510,3017,25,30,35,30,30,25,35,30,40,35,30,40,30,25,35,30,40,30,30,30,30,30,40,45,30,40,40,35,35,40,44,30,40,40,50,45,35,40,30,30,58,30,35,40,25,20,35,40,40,55,45,45,59,45,40,59,55,45,40,35,35,45,40,45,35,30,40,35,35,29,35,25,34,35,35,30,29,20,20,25,20,20,15,20,10,10,0,10,5,0,20
E02001511,3107,26,25,20,35,15,35,30,30,30,30,25,35,25,35,40,31,30,31,30,26,15,32,25,35,32,35,30,45,49,40,40,36,40,46,35,41,35,35,36,37,40,36,35,25,25,35,35,30,35,40,45,46,45,44,50,43,45,40,50,46,52,40,59,46,40,45,44,68,48,46,30,38,34,35,38,20,34,40,35,20,28,21,26,20,20,15,6,18,6,12,30
E02001512,4485,47,50,40,49,40,40,45,40,40,45,40,50,55,55,57,47,45,50,30,25,25,25,40,35,57,65,55,50,69,60,73,72,50,71,65,47,60,60,46,51,68,51,55,35,50,40,55,58,60,51,76,51,65,69,65,82,55,65,60,69,67,63,60,45,55,55,46,30,44,49,48,49,66,45,62,35,40,43,50,42,28,32,36,25,31,30,24,20,12,25,82
E02001513,3886,31,30,40,25,40,45,40,35,30,55,50,35,35,40,40,40,45,35,35,30,35,25,35,45,42,45,45,45,55,45,55,51,50,35,45,40,40,49,40,40,35,46,35,40,25,49,45,49,55,70,60,51,65,65,75,65,70,65,66,50,53,50,45,51,55,45,40,50,49,49,45,49,56,50,62,40,46,45,40,48,25,26,27,20,15,20,15,15,16,0,40
E02001514,3993,47,63,41,49,63,49,45,68,54,51,46,51,40,45,57,37,35,32,41,38,46,43,40,46,59,49,51,64,62,84,68,74,64,63,60,58,61,59,41,36,46,58,56,40,40,34,44,35,39,61,83,52,40,50,45,62,50,59,77,61,53,50,54,41,55,30,46,45,29,33,30,29,28,35,33,25,25,30,20,22,24,16,8,15,20,10,21,12,6,5,31
E02001515,4999,57,66,61,68,66,89,73,66,74,76,72,50,62,60,60,69,60,48,61,53,30,60,50,60,59,50,65,83,71,78,80,73,70,90,75,72,71,75,56,64,61,66,50,55,40,54,55,59,64,65,65,66,74,65,60,66,60,70,75,73,54,40,44,56,64,55,41,55,54,52,68,38,45,45,46,43,35,25,26,11,24,18,20,20,15,32,17,18,10,21,41
E02001516,3193,58,35,36,30,45,35,40,41,40,51,52,50,46,40,35,46,35,30,35,26,25,32,45,40,43,39,40,54,69,50,50,46,45,50,40,35,35,49,41,52,25,25,45,40,45,30,39,35,35,51,57,52,35,45,49,44,40,49,35,46,44,40,40,31,25,25,25,24,30,24,25,30,30,19,25,20,25,20,19,10,13,17,15,15,15,10,10,17,10,7,25
E02001517,4056,28,40,40,25,35,40,39,40,45,40,51,45,35,35,30,42,30,47,30,36,25,31,45,55,37,45,20,35,54,40,55,35,50,50,55,40,56,50,45,35,46,35,50,40,51,44,54,45,59,50,81,60,45,70,54,45,75,64,55,55,67,60,64,73,71,60,50,60,38,60,54,45,50,70,56,44,52,40,45,35,30,33,26,29,25,37,26,11,21,7,28
E02001518,5127,63,50,56,50,40,50,45,55,50,65,66,60,61,60,40,51,70,73,55,30,40,35,45,65,51,64,71,65,69,60,75,72,60,70,76,71,81,75,68,56,56,71,60,69,55,69,59,65,78,65,75,61,85,90,94,97,75,83,75,70,59,80,79,43,80,44,71,39,50,48,55,45,45,50,66,39,40,40,41,25,44,31,31,30,20,29,15,5,10,12,50
