area,msoa,lad_code,lad,region,region_code
E00000001,E02000001,E09000001,City of London,London,E12000007
E00000003,E02000001,E09000001,City of London,London,E12000007
E00000005,E02000001,E09000001,City of London,London,E12000007
E00000007,E02000001,E09000001,City of London,London,E12000007
E00000010,E02000001,E09000001,City of London,London,E12000007
E00000013,E02000001,E09000001,City of London,London,E12000007
E00000018,E02000001,E09000001,City of London,London,E12000007
E00000019,E02000001,E09000001,City of London,London,E12000007
E00000020,E02000001,E09000001,City of London,London,E12000007
E00000021,E02000001,E09000001,City of London,London,E12000007
E00000022,E02000001,E09000001,City of London,London,E12000007
E00000023,E02000001,E09000001,City of London,London,E12000007
E00000024,E02000001,E09000001,City of London,London,E12000007
E00000025,E02000001,E09000001,City of London,London,E12000007
E00000028,E02000001,E09000001,City of London,London,E12000007
E00000029,E02000001,E09000001,City of London,London,E12000007
E00000030,E02000001,E09000001,City of London,London,E12000007
E00000031,E02000001,E09000001,City of London,London,E12000007
E00000032,E02000001,E09000001,City of London,London,E12000007
E00000037,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000038,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000039,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000040,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000041,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000042,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000043,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000045,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000046,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000048,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000049,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000050,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000051,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000052,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000053,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000054,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000055,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000056,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000057,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000059,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000060,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000061,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000063,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000064,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000066,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000067,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000068,E02000017,E09000002,Barking and Dagenham,London,E12000007
E00000069,E02000016,E09000002,Barking and Dagenham,London,E12000007
E00000070,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000071,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000072,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000073,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000074,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000075,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000076,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000077,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000078,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000079,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000080,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000081,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000082,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000083,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000084,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000085,E02000014,E09000002,Barking and Dagenham,London,E12000007
E00000086,E02000014,E09000002,Barking and Dagenham,London,E12000007
E00000087,E02000014,E09000002,Barking and Dagenham,London,E12000007
E00000088,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000089,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000090,E02000014,E09000002,Barking and Dagenham,London,E12000007
E00000091,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000092,E02000014,E09000002,Barking and Dagenham,London,E12000007
E00000093,E02000014,E09000002,Barking and Dagenham,London,E12000007
E00000094,E02000014,E09000002,Barking and Dagenham,London,E12000007
E00000095,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000096,E02000014,E09000002,Barking and Dagenham,London,E12000007
E00000097,E02000014,E09000002,Barking and Dagenham,London,E12000007
E00000098,E02000014,E09000002,Barking and Dagenham,London,E12000007
E00000099,E02000014,E09000002,Barking and Dagenham,London,E12000007
E00000100,E02000010,E09000002,Barking and Dagenham,London,E12000007
E00000101,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000102,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000103,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000104,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000106,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000107,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000108,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000109,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000110,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000111,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000112,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000113,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000114,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000115,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000116,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000117,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000118,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000119,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000120,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000121,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000122,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000123,E02006799,E09000002,Barking and Dagenham,London,E12000007
E00000124,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000125,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000128,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000129,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000130,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000131,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000132,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000133,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000134,E02000009,E09000002,Barking and Dagenham,London,E12000007
E00000135,E02000003,E09000002,Barking and Dagenham,London,E12000007
E00000136,E02000003,E09000002,Barking and Dagenham,London,E12000007
E00000137,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000138,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000139,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000140,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000141,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000142,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000143,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000144,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000145,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000146,E02000003,E09000002,Barking and Dagenham,London,E12000007
E00000147,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000148,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000149,E02000003,E09000002,Barking and Dagenham,London,E12000007
E00000150,E02000003,E09000002,Barking and Dagenham,London,E12000007
E00000151,E02000003,E09000002,Barking and Dagenham,London,E12000007
E00000152,E02000003,E09000002,Barking and Dagenham,London,E12000007
E00000153,E02000003,E09000002,Barking and Dagenham,London,E12000007
E00000154,E02000003,E09000002,Barking and Dagenham,London,E12000007
E00000155,E02000003,E09000002,Barking and Dagenham,London,E12000007
E00000156,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000157,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000158,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000159,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000160,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000161,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000162,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000163,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000164,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000165,E02000002,E09000002,Barking and Dagenham,London,E12000007
E00000166,E02000002,E09000002,Barking and Dagenham,London,E12000007
