area,msoa,lad_code,lad,region,region_code
E00041363,E02006842,E08000037,Gateshead,North East,E12000001
E00041364,E02006842,E08000037,Gateshead,North East,E12000001
E00041366,E02006841,E08000037,Gateshead,North East,E12000001
E00041367,E02001692,E08000037,Gateshead,North East,E12000001
E00041368,E02001692,E08000037,Gateshead,North East,E12000001
E00041369,E02001692,E08000037,Gateshead,North East,E12000001
E00041371,E02006842,E08000037,Gateshead,North East,E12000001
E00041372,E02001692,E08000037,Gateshead,North East,E12000001
E00041377,E02006841,E08000037,Gateshead,North East,E12000001
E00041378,E02006841,E08000037,Gateshead,North East,E12000001
E00041381,E02006841,E08000037,Gateshead,North East,E12000001
E00041382,E02006841,E08000037,Gateshead,North East,E12000001
E00041383,E02006841,E08000037,Gateshead,North East,E12000001
E00041384,E02006842,E08000037,Gateshead,North East,E12000001
E00041385,E02006841,E08000037,Gateshead,North East,E12000001
E00041386,E02006841,E08000037,Gateshead,North East,E12000001
E00041388,E02001692,E08000037,Gateshead,North East,E12000001
E00041389,E02006841,E08000037,Gateshead,North East,E12000001
E00041390,E02006841,E08000037,Gateshead,North East,E12000001
E00041393,E02001689,E08000037,Gateshead,North East,E12000001
E00041394,E02001689,E08000037,Gateshead,North East,E12000001
E00041395,E02006841,E08000037,Gateshead,North East,E12000001
E00041397,E02001689,E08000037,Gateshead,North East,E12000001
E00041399,E02001689,E08000037,Gateshead,North East,E12000001
E00041400,E02001689,E08000037,Gateshead,North East,E12000001
E00041401,E02001689,E08000037,Gateshead,North East,E12000001
E00041402,E02001689,E08000037,Gateshead,North East,E12000001
E00041404,E02001689,E08000037,Gateshead,North East,E12000001
E00041405,E02001689,E08000037,Gateshead,North East,E12000001
E00041406,E02001689,E08000037,Gateshead,North East,E12000001
E00041407,E02001689,E08000037,Gateshead,North East,E12000001
E00041408,E02001689,E08000037,Gateshead,North East,E12000001
E00041409,E02001689,E08000037,Gateshead,North East,E12000001
E00041410,E02006841,E08000037,Gateshead,North East,E12000001
E00041411,E02006841,E08000037,Gateshead,North East,E12000001
E00041413,E02006841,E08000037,Gateshead,North East,E12000001
E00041414,E02006841,E08000037,Gateshead,North East,E12000001
E00041415,E02001689,E08000037,Gateshead,North East,E12000001
E00041416,E02001707,E08000037,Gateshead,North East,E12000001
E00041417,E02001707,E08000037,Gateshead,North East,E12000001
E00041418,E02001707,E08000037,Gateshead,North East,E12000001
E00041419,E02001707,E08000037,Gateshead,North East,E12000001
E00041420,E02001707,E08000037,Gateshead,North East,E12000001
E00041421,E02001707,E08000037,Gateshead,North East,E12000001
E00041422,E02001707,E08000037,Gateshead,North East,E12000001
E00041423,E02001707,E08000037,Gateshead,North East,E12000001
E00041424,E02001707,E08000037,Gateshead,North East,E12000001
E00041425,E02001707,E08000037,Gateshead,North East,E12000001
E00041426,E02001707,E08000037,Gateshead,North East,E12000001
E00041427,E02001707,E08000037,Gateshead,North East,E12000001
E00041429,E02001707,E08000037,Gateshead,North East,E12000001
E00041430,E02001707,E08000037,Gateshead,North East,E12000001
E00041431,E02001707,E08000037,Gateshead,North East,E12000001
E00041432,E02001707,E08000037,Gateshead,North East,E12000001
E00041433,E02001707,E08000037,Gateshead,North East,E12000001
E00041434,E02001707,E08000037,Gateshead,North East,E12000001
E00041435,E02001707,E08000037,Gateshead,North East,E12000001
E00041436,E02001707,E08000037,Gateshead,North East,E12000001
E00041437,E02001707,E08000037,Gateshead,North East,E12000001
E00041438,E02001707,E08000037,Gateshead,North East,E12000001
E00041439,E02001707,E08000037,Gateshead,North East,E12000001
E00041440,E02001707,E08000037,Gateshead,North East,E12000001
E00041441,E02001707,E08000037,Gateshead,North East,E12000001
E00041442,E02001707,E08000037,Gateshead,North East,E12000001
E00041443,E02001686,E08000037,Gateshead,North East,E12000001
E00041444,E02001686,E08000037,Gateshead,North East,E12000001
E00041445,E02001686,E08000037,Gateshead,North East,E12000001
E00041446,E02001686,E08000037,Gateshead,North East,E12000001
E00041447,E02001685,E08000037,Gateshead,North East,E12000001
E00041448,E02001685,E08000037,Gateshead,North East,E12000001
E00041449,E02001685,E08000037,Gateshead,North East,E12000001
E00041450,E02001686,E08000037,Gateshead,North East,E12000001
E00041451,E02001685,E08000037,Gateshead,North East,E12000001
E00041452,E02001686,E08000037,Gateshead,North East,E12000001
E00041453,E02001685,E08000037,Gateshead,North East,E12000001
E00041454,E02001685,E08000037,Gateshead,North East,E12000001
E00041455,E02001685,E08000037,Gateshead,North East,E12000001
E00041456,E02001685,E08000037,Gateshead,North East,E12000001
E00041457,E02001685,E08000037,Gateshead,North East,E12000001
E00041458,E02001686,E08000037,Gateshead,North East,E12000001
E00041459,E02001686,E08000037,Gateshead,North East,E12000001
E00041460,E02001686,E08000037,Gateshead,North East,E12000001
E00041461,E02001685,E08000037,Gateshead,North East,E12000001
E00041462,E02001685,E08000037,Gateshead,North East,E12000001
E00041463,E02001685,E08000037,Gateshead,North East,E12000001
E00041464,E02001685,E08000037,Gateshead,North East,E12000001
E00041465,E02001685,E08000037,Gateshead,North East,E12000001
E00041466,E02001685,E08000037,Gateshead,North East,E12000001
E00041467,E02001686,E08000037,Gateshead,North East,E12000001
E00041468,E02001686,E08000037,Gateshead,North East,E12000001
E00041469,E02001686,E08000037,Gateshead,North East,E12000001
E00041470,E02001686,E08000037,Gateshead,North East,E12000001
E00041471,E02001686,E08000037,Gateshead,North East,E12000001
E00041472,E02001685,E08000037,Gateshead,North East,E12000001
E00041473,E02007094,E08000037,Gateshead,North East,E12000001
E00041474,E02007094,E08000037,Gateshead,North East,E12000001
E00041475,E02007094,E08000037,Gateshead,North East,E12000001
E00041476,E02007094,E08000037,Gateshead,North East,E12000001
E00041477,E02001703,E08000037,Gateshead,North East,E12000001
E00041478,E02001703,E08000037,Gateshead,North East,E12000001
E00041479,E02007094,E08000037,Gateshead,North East,E12000001
E00041480,E02007094,E08000037,Gateshead,North East,E12000001
E00041481,E02007094,E08000037,Gateshead,North East,E12000001
E00041482,E02007094,E08000037,Gateshead,North East,E12000001
E00041483,E02001703,E08000037,Gateshead,North East,E12000001
E00041485,E02001703,E08000037,Gateshead,North East,E12000001
E00041486,E02001703,E08000037,Gateshead,North East,E12000001
E00041487,E02001703,E08000037,Gateshead,North East,E12000001
E00041488,E02001703,E08000037,Gateshead,North East,E12000001
E00041489,E02001703,E08000037,Gateshead,North East,E12000001
E00041490,E02001703,E08000037,Gateshead,North East,E12000001
E00041491,E02007094,E08000037,Gateshead,North East,E12000001
E00041492,E02001703,E08000037,Gateshead,North East,E12000001
E00041493,E02001703,E08000037,Gateshead,North East,E12000001
E00041494,E02001703,E08000037,Gateshead,North East,E12000001
E00041495,E02007094,E08000037,Gateshead,North East,E12000001
E00041496,E02001703,E08000037,Gateshead,North East,E12000001
E00041497,E02001703,E08000037,Gateshead,North East,E12000001
E00041498,E02007094,E08000037,Gateshead,North East,E12000001
E00041499,E02007094,E08000037,Gateshead,North East,E12000001
E00041500,E02007094,E08000037,Gateshead,North East,E12000001
E00041501,E02007094,E08000037,Gateshead,North East,E12000001
E00041502,E02007094,E08000037,Gateshead,North East,E12000001
E00041503,E02007094,E08000037,Gateshead,North East,E12000001
E00041504,E02001703,E08000037,Gateshead,North East,E12000001
E00041505,E02007094,E08000037,Gateshead,North East,E12000001
E00041506,E02001701,E08000037,Gateshead,North East,E12000001
E00041507,E02001704,E08000037,Gateshead,North East,E12000001
E00041508,E02001704,E08000037,Gateshead,North East,E12000001
E00041509,E02001701,E08000037,Gateshead,North East,E12000001
E00041510,E02001701,E08000037,Gateshead,North East,E12000001
E00041511,E02001704,E08000037,Gateshead,North East,E12000001
E00041512,E02001701,E08000037,Gateshead,North East,E12000001
E00041513,E02001701,E08000037,Gateshead,North East,E12000001
E00041514,E02001701,E08000037,Gateshead,North East,E12000001
E00041515,E02001704,E08000037,Gateshead,North East,E12000001
E00041516,E02001704,E08000037,Gateshead,North East,E12000001
E00041517,E02001704,E08000037,Gateshead,North East,E12000001
E00041518,E02001701,E08000037,Gateshead,North East,E12000001
E00041519,E02001701,E08000037,Gateshead,North East,E12000001
E00041520,E02001704,E08000037,Gateshead,North East,E12000001
E00041521,E02001704,E08000037,Gateshead,North East,E12000001
E00041522,E02001704,E08000037,Gateshead,North East,E12000001
E00041523,E02001704,E08000037,Gateshead,North East,E12000001
E00041524,E02001701,E08000037,Gateshead,North East,E12000001
E00041525,E02001704,E08000037,Gateshead,North East,E12000001
E00041526,E02001704,E08000037,Gateshead,North East,E12000001
E00041527,E02001704,E08000037,Gateshead,North East,E12000001
E00041528,E02001704,E08000037,Gateshead,North East,E12000001
E00041529,E02001704,E08000037,Gateshead,North East,E12000001
