area,msoa,lad_code,lad,region,region_code
E00024141,E02000986,E08000001,Bolton,North West,E12000002
E00024142,E02000986,E08000001,Bolton,North West,E12000002
E00024143,E02000988,E08000001,Bolton,North West,E12000002
E00024144,E02000986,E08000001,Bolton,North West,E12000002
E00024145,E02000986,E08000001,Bolton,North West,E12000002
E00024146,E02000986,E08000001,Bolton,North West,E12000002
E00024147,E02000986,E08000001,Bolton,North West,E12000002
E00024148,E02000988,E08000001,Bolton,North West,E12000002
E00024150,E02000988,E08000001,Bolton,North West,E12000002
E00024151,E02000988,E08000001,Bolton,North West,E12000002
E00024152,E02000988,E08000001,Bolton,North West,E12000002
E00024153,E02000986,E08000001,Bolton,North West,E12000002
E00024154,E02000986,E08000001,Bolton,North West,E12000002
E00024155,E02000988,E08000001,Bolton,North West,E12000002
E00024156,E02000988,E08000001,Bolton,North West,E12000002
E00024157,E02000986,E08000001,Bolton,North West,E12000002
E00024158,E02000988,E08000001,Bolton,North West,E12000002
E00024159,E02000986,E08000001,Bolton,North West,E12000002
E00024160,E02000986,E08000001,Bolton,North West,E12000002
E00024161,E02000988,E08000001,Bolton,North West,E12000002
E00024162,E02000986,E08000001,Bolton,North West,E12000002
E00024163,E02000988,E08000001,Bolton,North West,E12000002
E00024164,E02000988,E08000001,Bolton,North West,E12000002
E00024165,E02000988,E08000001,Bolton,North West,E12000002
E00024166,E02000988,E08000001,Bolton,North West,E12000002
E00024167,E02000988,E08000001,Bolton,North West,E12000002
E00024168,E02000988,E08000001,Bolton,North West,E12000002
E00024169,E02000988,E08000001,Bolton,North West,E12000002
E00024170,E02000988,E08000001,Bolton,North West,E12000002
E00024171,E02000988,E08000001,Bolton,North West,E12000002
E00024172,E02000988,E08000001,Bolton,North West,E12000002
E00024173,E02000988,E08000001,Bolton,North West,E12000002
E00024175,E02000988,E08000001,Bolton,North West,E12000002
E00024176,E02000986,E08000001,Bolton,North West,E12000002
E00024177,E02000984,E08000001,Bolton,North West,E12000002
E00024178,E02000984,E08000001,Bolton,North West,E12000002
E00024179,E02000984,E08000001,Bolton,North West,E12000002
E00024180,E02000986,E08000001,Bolton,North West,E12000002
E00024181,E02000984,E08000001,Bolton,North West,E12000002
E00024182,E02000984,E08000001,Bolton,North West,E12000002
E00024183,E02000986,E08000001,Bolton,North West,E12000002
E00024184,E02000986,E08000001,Bolton,North West,E12000002
E00024185,E02000986,E08000001,Bolton,North West,E12000002
E00024186,E02000986,E08000001,Bolton,North West,E12000002
E00024187,E02000986,E08000001,Bolton,North West,E12000002
E00024188,E02000997,E08000001,Bolton,North West,E12000002
E00024190,E02000992,E08000001,Bolton,North West,E12000002
E00024191,E02000992,E08000001,Bolton,North West,E12000002
E00024192,E02000992,E08000001,Bolton,North West,E12000002
E00024193,E02000992,E08000001,Bolton,North West,E12000002
E00024194,E02000992,E08000001,Bolton,North West,E12000002
E00024195,E02000992,E08000001,Bolton,North West,E12000002
E00024196,E02000992,E08000001,Bolton,North West,E12000002
E00024197,E02000992,E08000001,Bolton,North West,E12000002
E00024198,E02000992,E08000001,Bolton,North West,E12000002
E00024200,E02000992,E08000001,Bolton,North West,E12000002
E00024201,E02000992,E08000001,Bolton,North West,E12000002
E00024202,E02000992,E08000001,Bolton,North West,E12000002
E00024203,E02000992,E08000001,Bolton,North West,E12000002
E00024204,E02000992,E08000001,Bolton,North West,E12000002
E00024205,E02000992,E08000001,Bolton,North West,E12000002
E00024206,E02000992,E08000001,Bolton,North West,E12000002
E00024207,E02000990,E08000001,Bolton,North West,E12000002
E00024208,E02000987,E08000001,Bolton,North West,E12000002
E00024210,E02000990,E08000001,Bolton,North West,E12000002
E00024211,E02000997,E08000001,Bolton,North West,E12000002
E00024212,E02000987,E08000001,Bolton,North West,E12000002
E00024213,E02000987,E08000001,Bolton,North West,E12000002
E00024215,E02000987,E08000001,Bolton,North West,E12000002
E00024216,E02000990,E08000001,Bolton,North West,E12000002
E00024217,E02000990,E08000001,Bolton,North West,E12000002
E00024218,E02000987,E08000001,Bolton,North West,E12000002
E00024219,E02000990,E08000001,Bolton,North West,E12000002
E00024220,E02000990,E08000001,Bolton,North West,E12000002
E00024221,E02000990,E08000001,Bolton,North West,E12000002
E00024222,E02000990,E08000001,Bolton,North West,E12000002
E00024223,E02001014,E08000001,Bolton,North West,E12000002
E00024224,E02001014,E08000001,Bolton,North West,E12000002
E00024225,E02001014,E08000001,Bolton,North West,E12000002
E00024226,E02000997,E08000001,Bolton,North West,E12000002
E00024227,E02001014,E08000001,Bolton,North West,E12000002
E00024228,E02000997,E08000001,Bolton,North West,E12000002
E00024229,E02001014,E08000001,Bolton,North West,E12000002
E00024230,E02000989,E08000001,Bolton,North West,E12000002
E00024231,E02000996,E08000001,Bolton,North West,E12000002
E00024232,E02000985,E08000001,Bolton,North West,E12000002
E00024233,E02000989,E08000001,Bolton,North West,E12000002
E00024234,E02000989,E08000001,Bolton,North West,E12000002
E00024235,E02000989,E08000001,Bolton,North West,E12000002
E00024236,E02000989,E08000001,Bolton,North West,E12000002
E00024237,E02000989,E08000001,Bolton,North West,E12000002
E00024238,E02000989,E08000001,Bolton,North West,E12000002
E00024239,E02000989,E08000001,Bolton,North West,E12000002
E00024240,E02000989,E08000001,Bolton,North West,E12000002
E00024241,E02000985,E08000001,Bolton,North West,E12000002
E00024242,E02000989,E08000001,Bolton,North West,E12000002
E00024243,E02000989,E08000001,Bolton,North West,E12000002
E00024244,E02000989,E08000001,Bolton,North West,E12000002
E00024245,E02000989,E08000001,Bolton,North West,E12000002
E00024246,E02000989,E08000001,Bolton,North West,E12000002
E00024247,E02000989,E08000001,Bolton,North West,E12000002
E00024248,E02000989,E08000001,Bolton,North West,E12000002
E00024249,E02000989,E08000001,Bolton,North West,E12000002
E00024250,E02000989,E08000001,Bolton,North West,E12000002
E00024251,E02000989,E08000001,Bolton,North West,E12000002
E00024252,E02000989,E08000001,Bolton,North West,E12000002
E00024253,E02000989,E08000001,Bolton,North West,E12000002
E00024254,E02000996,E08000001,Bolton,North West,E12000002
E00024255,E02000996,E08000001,Bolton,North West,E12000002
E00024256,E02000996,E08000001,Bolton,North West,E12000002
E00024257,E02000996,E08000001,Bolton,North West,E12000002
E00024258,E02000996,E08000001,Bolton,North West,E12000002
E00024259,E02000989,E08000001,Bolton,North West,E12000002
E00024260,E02000985,E08000001,Bolton,North West,E12000002
E00024261,E02000985,E08000001,Bolton,North West,E12000002
E00024262,E02000989,E08000001,Bolton,North West,E12000002
E00024263,E02000985,E08000001,Bolton,North West,E12000002
E00024264,E02000989,E08000001,Bolton,North West,E12000002
E00024265,E02000985,E08000001,Bolton,North West,E12000002
E00024266,E02000985,E08000001,Bolton,North West,E12000002
E00024267,E02000989,E08000001,Bolton,North West,E12000002
E00024268,E02000985,E08000001,Bolton,North West,E12000002
E00024269,E02000989,E08000001,Bolton,North West,E12000002
E00024270,E02000985,E08000001,Bolton,North West,E12000002
E00024271,E02000989,E08000001,Bolton,North West,E12000002
E00024272,E02000989,E08000001,Bolton,North West,E12000002
E00024273,E02000989,E08000001,Bolton,North West,E12000002
E00024274,E02000985,E08000001,Bolton,North West,E12000002
E00024275,E02001002,E08000001,Bolton,North West,E12000002
E00024276,E02001002,E08000001,Bolton,North West,E12000002
E00024277,E02000996,E08000001,Bolton,North West,E12000002
E00024278,E02001002,E08000001,Bolton,North West,E12000002
E00024279,E02000996,E08000001,Bolton,North West,E12000002
E00024280,E02000996,E08000001,Bolton,North West,E12000002
E00024281,E02000996,E08000001,Bolton,North West,E12000002
E00024282,E02000996,E08000001,Bolton,North West,E12000002
E00024283,E02000996,E08000001,Bolton,North West,E12000002
E00024284,E02000996,E08000001,Bolton,North West,E12000002
E00024285,E02000996,E08000001,Bolton,North West,E12000002
E00024286,E02000996,E08000001,Bolton,North West,E12000002
E00024287,E02000996,E08000001,Bolton,North West,E12000002
E00024288,E02000996,E08000001,Bolton,North West,E12000002
E00024289,E02000996,E08000001,Bolton,North West,E12000002
E00024290,E02000996,E08000001,Bolton,North West,E12000002
E00024291,E02001002,E08000001,Bolton,North West,E12000002
E00024292,E02001002,E08000001,Bolton,North West,E12000002
E00024293,E02001002,E08000001,Bolton,North West,E12000002
E00024294,E02001002,E08000001,Bolton,North West,E12000002
E00024295,E02001002,E08000001,Bolton,North West,E12000002
E00024296,E02001002,E08000001,Bolton,North West,E12000002
E00024297,E02001002,E08000001,Bolton,North West,E12000002
E00024298,E02001002,E08000001,Bolton,North West,E12000002
E00024299,E02001002,E08000001,Bolton,North West,E12000002
E00024300,E02001002,E08000001,Bolton,North West,E12000002
E00024301,E02001002,E08000001,Bolton,North West,E12000002
E00024302,E02001002,E08000001,Bolton,North West,E12000002
E00024303,E02001002,E08000001,Bolton,North West,E12000002
E00024304,E02001002,E08000001,Bolton,North West,E12000002
E00024305,E02001002,E08000001,Bolton,North West,E12000002
E00024306,E02001002,E08000001,Bolton,North West,E12000002
E00024307,E02001002,E08000001,Bolton,North West,E12000002
E00024308,E02001002,E08000001,Bolton,North West,E12000002
E00024309,E02001002,E08000001,Bolton,North West,E12000002
E00024310,E02001002,E08000001,Bolton,North West,E12000002
E00024311,E02001002,E08000001,Bolton,North West,E12000002
E00024312,E02001002,E08000001,Bolton,North West,E12000002
E00024314,E02000996,E08000001,Bolton,North West,E12000002
E00024315,E02000996,E08000001,Bolton,North West,E12000002
E00024316,E02000996,E08000001,Bolton,North West,E12000002
E00024317,E02000996,E08000001,Bolton,North West,E12000002
E00024318,E02000996,E08000001,Bolton,North West,E12000002
E00024319,E02000986,E08000001,Bolton,North West,E12000002
E00024320,E02000985,E08000001,Bolton,North West,E12000002
E00024321,E02000984,E08000001,Bolton,North West,E12000002
E00024322,E02000984,E08000001,Bolton,North West,E12000002
E00024323,E02000984,E08000001,Bolton,North West,E12000002
E00024324,E02000984,E08000001,Bolton,North West,E12000002
E00024325,E02000984,E08000001,Bolton,North West,E12000002
E00024326,E02000985,E08000001,Bolton,North West,E12000002
E00024327,E02000985,E08000001,Bolton,North West,E12000002
E00024328,E02000986,E08000001,Bolton,North West,E12000002
E00024329,E02000984,E08000001,Bolton,North West,E12000002
