area,msoa,lad_code,lad,region,region_code
E00072563,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072564,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072565,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072566,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072567,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072568,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072569,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072570,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072571,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072572,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072573,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072574,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072575,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072576,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072577,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072578,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072579,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072580,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072581,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072582,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072583,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072584,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072585,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072586,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072587,E02002991,E06000022,Bath and North East Somerset,South West,E12000009
E00072588,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072589,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072590,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072591,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072592,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072593,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072594,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072595,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072596,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072597,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072598,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072599,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072600,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072601,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072602,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072603,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072604,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
E00072605,E02002994,E06000022,Bath and North East Somerset,South West,E12000009
