area,msoa,lad_code,lad,region,region_code
E00037085,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037086,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037087,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037088,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037089,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037090,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037091,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037092,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037093,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037094,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037096,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037097,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037098,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037099,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037100,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037101,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037102,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037103,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037104,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037105,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037106,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037107,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037108,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037109,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037110,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037111,E02001523,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037112,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037113,E02001526,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037114,E02001515,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037115,E02001515,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037116,E02001515,E08000016,Barnsley,Yorkshire and The Humber,E12000003
E00037117,E02001515,E08000016,Barnsley,Yorkshire and The Humber,E12000003
