msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02000001,24,24,17,36,26,8,2,0
E02000002,0,0,0,0,0,0,10,5
E02000003,0,10,0,0,5,0,0,0
E02000004,0,21,38,3,8,5,7,10
E02000005,0,0,0,0,0,0,0,0
E02000007,1,0,0,1,3,6,5,8
E02000008,0,0,3,1,2,0,0,0
E02000009,0,0,0,0,1,0,0,0
E02000010,0,0,0,0,0,0,1,0
E02000011,0,0,0,1,8,4,22,12
E02000012,0,0,0,0,0,4,0,0
E02000013,0,0,0,0,0,0,0,0
E02000014,0,3,0,0,0,4,8,6
E02000015,0,0,0,0,0,0,0,0
E02000016,0,2,2,0,0,0,0,0
E02000017,0,7,6,10,4,3,0,0
E02000018,0,0,0,0,2,1,0,0
E02000019,0,1,0,0,0,14,13,5
E02000020,2,1,0,0,0,0,0,0
E02000021,0,0,0,6,22,12,5,10
E02000022,0,0,1,3,2,2,2,0
E02000023,2,5,0,3,0,0,0,1
E02000024,0,0,3,7,5,10,4,6
E02000025,0,0,0,0,0,0,0,0
E02000026,0,1,10,1,0,2,0,0
E02000027,0,0,1,2,16,8,4,5
E02000028,0,0,0,0,0,3,1,2
E02000029,0,0,0,0,0,0,0,0
E02000030,0,0,0,3,6,3,12,7
E02000031,0,0,1,0,11,14,13,14
E02000032,0,0,0,0,4,1,0,0
E02000033,0,0,0,0,6,6,6,7
E02000034,0,0,0,0,4,1,4,5
E02000035,8,2,36,16,3,16,14,10
E02000036,1,0,3,5,9,6,4,1
E02000037,0,0,0,0,0,0,0,0
E02000038,0,4,11,14,12,21,8,21
E02000039,0,1,0,0,0,0,0,0
E02000040,13,66,15,27,12,0,0,0
E02000041,0,0,0,0,0,0,1,4
E02000042,0,3,3,3,22,16,18,25
E02000043,0,0,0,6,10,8,3,4
E02000044,0,0,0,0,0,0,0,0
E02000045,0,0,0,0,0,1,4,6
E02000046,0,0,0,0,0,0,0,0
E02000047,0,0,0,0,4,8,2,9
E02000048,0,0,0,0,0,0,1,0
E02000049,0,0,0,0,1,0,0,0
E02000050,0,0,1,0,0,0,0,0
E02000051,0,3,8,11,6,0,0,0
E02000052,0,0,0,0,0,0,0,0
E02000054,0,0,2,4,7,2,2,0
E02000055,0,25,1,6,0,0,0,0
E02000056,0,0,0,0,0,3,7,8
E02000057,0,0,0,0,4,8,8,1
E02000058,0,0,0,0,2,0,0,0
E02000059,0,0,0,0,1,1,1,0
E02000060,0,0,0,3,15,7,11,16
E02000061,0,2,0,0,6,13,17,18
E02000062,0,5,0,0,0,0,0,0
E02000063,0,0,2,3,2,9,12,5
E02000064,0,29,8,1,2,1,0,0
E02000065,0,0,0,0,2,10,6,2
E02000066,0,0,0,0,2,10,9,4
E02000067,0,0,0,1,1,0,0,0
E02000068,0,1,3,1,2,4,0,0
E02000069,0,0,0,2,3,3,3,2
E02000070,0,0,0,0,0,0,0,0
E02000071,0,0,1,0,3,3,0,0
E02000072,0,0,0,0,0,0,0,0
E02000073,0,0,0,0,0,0,0,0
E02000074,0,0,0,0,2,4,1,1
E02000075,0,0,0,0,0,0,0,0
E02000077,0,0,0,0,0,2,8,7
E02000078,0,0,0,0,0,0,3,3
E02000079,0,0,0,0,1,6,31,15
E02000080,0,0,0,0,0,0,0,0
E02000081,0,0,0,0,0,1,1,8
E02000082,0,0,0,0,0,0,0,0
E02000083,0,2,3,1,5,0,0,0
E02000084,0,0,0,0,0,0,0,0
E02000085,0,0,0,0,0,0,0,1
E02000086,0,0,0,1,1,0,0,0
E02000087,0,0,0,0,1,0,4,0
E02000088,0,0,0,0,0,0,0,0
E02000089,0,0,2,0,0,5,14,10
E02000090,0,72,2,0,3,13,22,15
E02000091,1,4,0,0,7,2,3,8
E02000092,0,0,2,3,7,7,6,6
E02000093,0,9,1,8,26,3,0,1
E02000094,0,0,2,0,4,4,12,12
E02000095,0,0,0,0,0,0,0,0
E02000096,0,0,2,1,8,3,4,4
E02000097,0,0,0,0,0,0,0,0
E02000098,0,0,0,4,10,12,10,12
E02000099,0,0,0,0,2,1,2,0
E02000100,0,109,9,1,3,5,5,1
E02000101,0,0,5,17,5,17,13,16
E02000102,0,0,0,0,2,4,1,0
E02000103,6,5,20,16,7,2,1,0
E02000104,0,12,1,4,7,8,16,8
E02000105,0,0,6,3,20,3,2,0
E02000106,0,0,0,0,4,1,1,0
E02000107,0,1,1,5,0,0,0,0
E02000108,0,0,0,9,9,4,0,0
E02000110,0,0,0,0,2,2,0,0
E02000111,0,0,8,15,19,9,6,5
E02000112,0,0,0,2,8,9,5,6
E02000113,0,0,0,0,0,1,0,0
E02000114,0,0,0,1,0,0,0,0
E02000115,0,4,13,13,3,5,1,7
E02000116,0,0,5,6,5,5,1,1
E02000117,2,2,0,0,0,5,2,5
E02000118,0,0,0,0,0,2,0,0
E02000119,0,3,16,17,26,15,17,6
E02000120,0,0,0,0,0,0,0,0
E02000121,0,0,0,0,0,0,0,0
E02000122,0,0,0,0,2,2,0,0
E02000123,0,1,0,2,0,1,0,0
E02000124,0,0,1,1,5,2,2,0
E02000125,0,0,0,0,0,0,0,0
E02000126,0,0,0,0,20,17,9,1
E02000127,0,0,0,0,0,3,0,4
E02000128,111,32,0,0,5,1,4,8
E02000130,0,0,3,3,0,0,0,2
E02000131,0,0,0,0,0,0,0,0
E02000132,0,0,1,3,6,0,1,4
E02000133,0,0,2,0,7,5,10,15
E02000134,2,1,0,6,12,3,2,8
E02000135,0,0,0,1,15,7,13,15
E02000136,11,13,1,0,2,1,5,16
E02000137,0,0,0,0,0,5,19,10
E02000138,0,0,0,3,1,3,0,0
E02000139,17,10,2,1,2,4,0,0
E02000140,0,0,0,0,0,0,0,2
E02000141,0,2,1,15,3,0,0,0
E02000142,0,0,0,4,5,7,10,12
E02000144,0,3,0,2,3,0,0,0
E02000145,0,0,0,0,2,0,0,0
E02000146,0,0,0,0,1,7,13,27
E02000147,0,0,0,0,0,0,0,0
E02000148,0,0,0,0,1,0,0,0
E02000149,0,0,0,0,0,0,0,0
E02000150,0,10,16,18,18,1,0,0
E02000151,0,0,0,0,0,0,0,0
E02000152,0,0,0,0,0,0,0,1
E02000153,0,0,0,0,0,0,0,0
E02000154,1,0,0,0,0,0,0,0
E02000155,0,0,0,0,0,0,0,0
E02000156,0,0,0,0,0,0,1,5
E02000157,0,0,0,0,0,0,0,0
E02000158,0,0,0,0,0,0,0,0
E02000159,0,0,0,0,0,0,0,0
E02000160,0,0,0,0,0,5,7,6
E02000161,0,6,3,10,4,0,0,0
E02000162,0,1,2,2,2,6,4,5
E02000163,0,0,0,0,0,0,0,0
E02000165,0,0,0,0,0,0,0,0
E02000166,0,0,9,7,0,2,0,0
E02000167,0,0,0,0,0,0,0,0
E02000168,0,2,0,4,10,11,3,6
E02000169,0,0,0,0,0,0,0,1
E02000170,0,0,0,0,4,3,6,0
E02000171,0,14,1,2,5,0,0,2
E02000172,1,59,15,13,4,4,11,6
E02000173,0,16,12,1,0,0,2,0
E02000174,0,5,1,0,0,0,0,0
E02000175,0,65,0,0,0,0,0,0
E02000176,0,2,2,5,8,0,0,0
E02000177,0,4,5,0,10,5,13,6
E02000178,0,12,2,2,0,0,0,0
E02000179,0,0,0,0,1,2,8,5
E02000180,0,3,0,8,12,4,0,0
E02000181,0,0,2,2,0,4,0,0
E02000182,0,0,0,0,0,2,0,3
E02000183,0,0,8,5,1,0,0,0
E02000184,0,225,36,13,3,2,0,0
E02000185,0,0,0,0,0,0,0,0
E02000186,0,32,29,19,7,3,0,0
E02000187,0,171,60,2,0,0,0,0
E02000188,0,113,5,0,0,0,0,0
E02000191,3,577,53,25,9,1,0,0
E02000192,2,0,6,13,32,11,4,1
E02000193,0,150,21,3,12,4,0,0
E02000194,0,18,12,7,8,7,6,9
E02000195,0,0,0,0,6,10,5,2
E02000196,0,0,1,11,17,5,7,7
E02000197,0,0,0,0,5,1,5,1
E02000198,0,0,10,5,12,5,1,0
E02000199,0,0,2,2,2,0,0,0
E02000200,0,0,2,1,9,11,8,18
E02000201,0,1,0,1,7,0,0,0
E02000202,0,0,0,15,29,12,7,1
E02000203,0,4,0,7,19,9,5,5
E02000204,0,2,8,2,3,0,0,0
E02000206,2,2,0,2,5,15,16,17
E02000207,0,0,0,0,0,0,0,0
E02000208,0,0,11,12,25,5,2,0
E02000209,0,0,0,0,2,4,0,0
E02000210,0,4,0,2,1,0,0,0
E02000211,0,0,4,0,0,0,0,0
E02000212,0,37,0,0,0,0,2,0
E02000213,0,5,13,22,15,10,0,0
E02000214,0,0,0,0,0,0,0,0
E02000215,0,0,1,6,24,22,16,4
E02000216,0,5,0,0,0,3,14,6
E02000217,0,0,0,0,0,0,0,0
E02000218,0,0,0,0,0,2,0,0
E02000219,0,8,1,1,2,2,6,8
E02000221,11,22,4,7,12,12,22,14
E02000222,0,4,0,7,17,4,5,0
E02000223,0,0,0,0,0,0,0,0
E02000224,3,7,12,7,7,3,0,1
E02000225,0,0,0,0,0,0,1,0
E02000226,21,36,0,5,5,3,1,3
E02000227,0,0,0,0,0,0,0,0
E02000228,0,0,4,8,13,8,9,4
E02000229,0,0,3,6,9,5,3,9
E02000230,0,4,14,16,34,15,16,19
E02000231,0,4,1,7,12,23,23,14
E02000232,0,6,2,2,2,0,0,0
E02000233,0,0,0,0,4,9,6,7
E02000234,0,1,12,17,23,9,3,0
E02000235,0,0,0,0,5,4,19,17
E02000236,0,0,0,3,4,5,3,0
E02000237,0,0,1,0,0,0,0,0
E02000238,0,0,0,0,0,0,0,0
E02000239,0,0,0,0,0,0,0,0
E02000240,2,10,0,0,0,0,0,0
E02000241,0,0,0,0,0,0,0,0
E02000242,0,0,0,0,0,0,0,0
E02000243,0,7,0,3,2,0,3,7
E02000244,0,2,1,1,0,0,0,0
E02000245,0,0,1,1,5,0,0,0
E02000246,0,0,2,2,6,3,0,0
E02000247,0,0,1,7,16,10,18,24
E02000248,0,0,0,0,0,0,0,0
E02000249,0,0,1,0,0,5,3,5
E02000250,0,0,0,0,0,2,10,8
E02000251,0,0,0,2,6,2,0,0
E02000252,0,833,45,2,16,0,0,0
E02000253,7,14,3,0,2,0,0,1
E02000254,0,0,2,4,6,9,7,6
E02000255,0,4,19,9,15,9,11,7
E02000256,0,0,0,4,5,9,7,3
E02000258,0,0,1,2,4,2,7,3
E02000259,0,0,0,0,0,0,0,0
E02000260,0,0,4,7,27,25,21,9
E02000261,0,0,2,3,3,1,0,0
E02000262,2,3,3,4,5,2,11,8
E02000263,0,0,0,0,6,0,0,0
E02000264,0,0,0,9,7,5,23,10
E02000265,0,0,2,14,17,4,0,0
E02000266,0,6,41,54,32,5,9,3
E02000267,0,0,0,2,0,0,0,0
E02000268,0,1,3,4,6,20,14,10
E02000269,0,0,0,0,0,0,5,3
E02000270,0,0,0,0,0,0,0,1
E02000271,0,0,1,1,0,6,0,0
E02000272,0,0,0,0,0,3,5,5
E02000275,0,0,0,2,7,15,13,6
E02000276,0,0,0,0,0,0,0,0
E02000277,0,0,0,0,0,2,0,5
E02000278,0,0,2,2,7,11,11,6
E02000279,0,4,0,1,0,0,0,0
E02000280,0,0,0,0,0,0,3,5
E02000281,0,0,0,0,1,4,7,10
E02000282,0,0,0,2,0,4,10,4
E02000283,0,0,2,10,5,3,2,1
E02000284,0,0,4,7,10,0,0,0
E02000285,0,0,0,0,0,0,0,0
E02000286,0,0,0,1,0,3,0,4
E02000287,0,2,5,2,2,5,3,12
E02000288,0,0,2,2,3,0,0,0
E02000289,0,0,0,0,0,0,0,0
E02000290,0,3,0,0,0,0,0,0
E02000291,0,0,2,6,17,14,16,19
E02000292,0,0,0,0,9,1,2,0
E02000293,0,0,0,6,1,3,0,0
