Prison,Predominant Function,Designation,Postcode,OA21CD,MSOA21CD,total communal residents,other_prison_service
Altcourse,Reception,Dual Designated Prison,L97LH,E00176728,E02001351,682,675.0
Ashfield,Cat C,Prison,BS169QJ,E00189531,E02003108,392,392.0
Askham Grange,Female,Dual Designated Prison,YO233FT,E00067761,E02002782,104,104.0
Aylesbury,Cat C,Dual Designated Prison,HP201EH,E00178390,E02003665,216,216.0
Bedford,Reception,Dual Designated Prison,MK401HG,E00183502,E02003625,208,208.0
Belmarsh,High Security,Dual Designated Prison,SE280EB,E00176530,E02000314,908,1321.0
Berwyn,Cat C,Dual Designated Prison,LL139QE,W00010468,W02000425,1517,1504.0
Birmingham,Reception,Prison,B184AS,E00175650,E02001879,615,484.0
Brinsford,Cat C,Dual Designated Prison,WV107PY,E00171615,E02006179,3071,3070.0
Bristol,Reception,Dual Designated Prison,BS78PS,E00073274,E02003027,278,278.0
Brixton,Cat C,Prison,SW25XF,E00177601,E02000638,639,634.0
Bronzefield,Female,Dual Designated Prison,TW153JZ,E00156619,E02006405,238,238.0
Buckley Hall,Cat C,Prison,OL129DP,E00172363,E02001136,428,428.0
Bullingdon,Reception,Dual Designated Prison,OX251PZ,E00169031,E02005936,559,559.0
Bure,Cat C,Prison,NR105GB,E00169872,E02005581,573,573.0
Cardiff,Reception,Dual Designated Prison,CF240UG,W00009982,W02000402,1439,368.0
Channings Wood,Cat C,Prison,TQ126DW,E00165900,E02004213,641,638.0
Chelmsford,Reception,Dual Designated Prison,CM26LQ,E00109852,E02006978,358,358.0
Coldingley,Cat C,Prison,GU249EX,E00167820,E02006421,455,455.0
Cookham Wood,Cat C,Dual Designated Prison,ME13LU,E00167420,E02003337,694,693.0
Dartmoor,Cat C,Prison,PL206R0,E00180228,E02004231,568,568.0
Deerbolt,Cat C,Dual Designated Prison,DL129BG,E00183312,E02007022,279,277.0
Doncaster,Reception,Dual Designated Prison,DN58UX,E00038161,E02001560,813,813.0
Dovegate,Cat B,Prison,ST148XR,E00168365,E02006136,979,979.0
Downview,Female,Dual Designated Prison,SM25PD,E00170403,E02006376,1213,1206.0
Drake Hall,Female,Dual Designated Prison,ST216LQ,E00151321,E02006192,227,227.0
Durham,Reception,Dual Designated Prison,DH13HU,E00171869,E02004314,487,487.0
East Sutton Park,Female,Dual Designated Prison,ME173DF,E00123682,E02005084,94,94.0
Eastwood Park,Female,Dual Designated Prison,GL128DB,E00075710,E02003090,273,269.0
Elmley,Reception,Dual Designated Prison,ME124DZ,E00189650,E02005120,762,2184.0
Erlestoke,Cat C,Dual Designated Prison,SN105TU,E00184186,E02006639,430,427.0
Exeter,Reception,Dual Designated Prison,EX44EX,E00180166,E02004152,273,273.0
Featherstone,Cat C,Prison,WV107PU,E00171615,E02006179,3071,3070.0
