Name,15 - 17,18 - 20,21 - 24,25 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 and over,area,msoa
Foston Hall,*,*,21,34,101,60,22,8,*,E00100526,E02004118
Gartree,*,*,24,80,182,128,103,59,16,E00187479,E02005373
Leicester,*,*,37,68,101,52,13,*,*,E00068911,E02006850
Lincoln,*,40,77,112,239,124,45,15,10,E00173653,E02005444
Lowdham Grange,*,*,87,178,331,174,90,23,4,E00173435,E02005905
North Sea Camp,*,*,4,15,68,73,87,45,19,E00185354,E02005417
Nottingham,*,101,87,169,274,128,70,17,3,E00173486,E02002874
Onley,*,*,74,193,264,116,60,*,*,E00169204,E02005621
Ranby,*,*,120,196,354,222,59,21,*,E00142851,E02005837
Rye Hill,*,*,16,46,175,115,138,78,51,E00169203,E02005621
Stocken,*,*,103,193,381,216,97,25,3,E00172628,E02002863
Sudbury,*,*,52,107,193,128,54,15,*,E00174335,E02004077
Whatton,*,*,40,72,193,155,163,121,58,E00144559,E02005906
