area,household residents,communal residents,msoa
E00067918,337,0,E02002808
E00067919,342,0,E02002808
E00067920,282,0,E02002808
E00067921,253,2,E02002808
E00067922,243,0,E02002808
E00067923,320,2,E02002808
E00067924,498,0,E02002812
E00067925,348,0,E02002815
E00067926,243,0,E02002808
E00067927,260,3,E02002808
E00067928,298,0,E02002808
E00067929,334,31,E02002812
E00067930,294,0,E02002808
E00067931,261,0,E02002812
E00067932,319,0,E02002812
E00067933,362,5,E02002812
E00067934,333,0,E02002812
E00067935,389,67,E02002812
E00067936,462,21,E02002815
E00067937,444,81,E02002812
E00067938,431,0,E02002815
E00067939,469,0,E02002815
E00067940,361,0,E02002815
E00067942,243,44,E02002808
E00067943,238,0,E02002808
E00067945,307,0,E02002808
E00067946,287,0,E02002808
E00067947,231,0,E02002808
E00067948,317,150,E02002808
E00067949,358,0,E02002808
E00067950,299,0,E02002808
E00067952,288,0,E02002808
E00067953,336,0,E02002808
E00067954,360,0,E02002808
E00067955,372,0,E02002808
E00067956,270,0,E02002808
E00067957,334,0,E02002808
E00067958,302,0,E02002808
E00067959,281,0,E02002808
E00067960,264,0,E02002797
E00067961,280,0,E02002797
E00067962,281,0,E02002797
E00067963,563,40,E02002797
E00067964,251,0,E02002797
E00067965,314,0,E02002796
E00067966,332,0,E02002796
E00067967,409,0,E02002796
E00067968,307,0,E02002796
E00067969,290,0,E02002796
E00067970,284,0,E02002796
E00067971,297,0,E02002797
E00067972,340,0,E02002797
E00067973,332,0,E02002797
E00067974,241,0,E02002797
E00067975,273,0,E02002797
E00067976,342,0,E02002797
E00067977,312,0,E02002797
E00067978,228,0,E02002797
E00067979,267,0,E02002797
E00067980,211,0,E02002797
E00067981,314,0,E02002797
E00067982,256,0,E02002797
E00067983,286,0,E02002797
E00067985,224,0,E02002797
E00067987,229,0,E02002797
E00067988,167,0,E02002797
E00067989,322,0,E02002796
E00067990,352,0,E02002796
E00067991,282,0,E02002796
E00067992,262,0,E02002796
E00067993,315,0,E02002796
E00067994,297,0,E02002796
E00067995,275,0,E02002796
E00067996,285,0,E02002796
E00067997,309,0,E02002796
E00067998,279,0,E02002796
E00067999,236,0,E02002796
E00068000,209,0,E02002796
E00068001,317,0,E02002796
E00068002,274,0,E02002797
E00068003,278,0,E02002797
E00068004,488,0,E02002797
E00068005,510,0,E02002796
E00068006,307,0,E02002821
E00068007,323,0,E02002819
E00068008,276,0,E02002819
E00068009,295,0,E02002819
E00068010,302,0,E02002819
E00068011,287,0,E02002819
E00068012,332,0,E02002820
E00068014,262,0,E02002819
E00068015,235,0,E02002819
E00068016,283,0,E02002820
E00068017,310,0,E02002820
E00068018,262,0,E02002819
E00068019,303,0,E02002820
E00068020,280,0,E02002819
E00068021,282,0,E02002820
E00068022,231,6,E02002819
E00068023,303,0,E02002819
E00068024,284,12,E02002819
E00068025,256,61,E02002821
E00068026,320,0,E02002820
E00068027,330,0,E02002820
E00068028,271,29,E02002819
E00068029,296,0,E02002821
E00068030,345,0,E02002820
E00068031,345,0,E02002821
E00068032,388,0,E02002820
E00068033,207,0,E02002819
E00068034,404,0,E02002821
E00068035,241,0,E02002819
E00068036,193,0,E02002819
E00068037,314,0,E02002819
E00068038,188,59,E02002819
E00068040,248,0,E02002819
E00068041,179,0,E02002819
E00068042,189,0,E02002819
E00068043,332,0,E02002820
E00068044,419,0,E02002820
E00068045,310,0,E02002820
E00068046,281,0,E02002820
E00068047,452,8,E02002820
E00068048,502,0,E02002819
E00068049,333,1,E02002820
E00068050,292,0,E02002820
E00068051,435,0,E02002820
E00068052,306,0,E02002820
E00068053,409,2,E02002820
E00068054,388,14,E02002820
E00068055,342,0,E02002811
E00068056,413,0,E02002811
E00068057,423,0,E02002811
E00068058,531,0,E02002813
E00068059,561,0,E02002813
E00068060,515,0,E02002813
E00068061,578,35,E02002813
E00068062,533,2,E02002813
E00068063,473,0,E02002811
E00068064,580,0,E02002813
E00068065,332,0,E02002808
E00068066,228,243,E02002808
E00068068,284,0,E02002808
E00068070,318,0,E02002808
E00068071,290,6,E02002813
E00068072,387,0,E02002811
E00068073,265,0,E02002811
E00068075,359,0,E02002811
E00068076,385,37,E02002811
E00068077,540,0,E02002811
E00068078,424,0,E02002811
E00068079,358,12,E02002811
E00068080,600,2,E02002813
E00068081,287,0,E02002813
E00068082,419,0,E02002811
E00068083,308,0,E02002813
E00068084,493,0,E02002811
E00068085,262,0,E02002811
E00068086,462,0,E02002813
E00068087,408,0,E02002811
E00068088,359,0,E02002813
E00068089,517,0,E02002811
E00068090,413,0,E02002813
E00068091,260,0,E02002813
E00068092,467,0,E02002813
E00068093,500,0,E02002813
E00068094,259,0,E02002813
E00068097,440,0,E02002813
E00068098,451,0,E02002813
E00068099,390,0,E02002813
E00068100,413,0,E02002813
E00068101,298,0,E02002822
E00068102,244,0,E02002822
E00068103,356,0,E02002822
E00068104,432,0,E02002822
E00068105,366,0,E02002817
E00068106,322,0,E02002817
E00068107,427,0,E02002822
E00068108,377,0,E02002822
E00068109,325,0,E02002822
E00068110,282,0,E02002822
E00068111,357,0,E02002817
E00068112,286,0,E02002817
E00068113,343,0,E02002817
E00068114,321,0,E02002817
E00068115,294,0,E02002817
E00068116,313,0,E02002817
E00068117,381,0,E02002817
E00068118,344,0,E02002817
E00068119,286,0,E02002817
E00068120,360,0,E02002817
E00068121,254,0,E02002817
E00068122,252,0,E02002817
E00068123,330,0,E02002817
E00068124,367,0,E02002817
E00068125,282,28,E02002817
E00068126,277,0,E02002817
E00068127,188,0,E02002822
E00068128,398,16,E02002822
E00068129,304,0,E02002817
E00068130,243,0,E02002822
E00068131,243,0,E02002817
E00068132,403,0,E02002822
E00068133,209,0,E02002822
E00068134,344,0,E02002822
E00068135,252,0,E02002822
E00068136,376,0,E02002822
E00068137,348,0,E02002822
E00068138,341,0,E02002822
E00068139,328,0,E02002822
E00068140,379,0,E02002822
E00068141,373,0,E02002822
E00068142,292,11,E02002823
E00068143,294,0,E02002820
E00068144,248,0,E02002823
E00068145,344,0,E02002821
E00068146,353,0,E02002821
E00068147,282,0,E02002823
E00068148,338,0,E02002823
E00068149,295,0,E02002820
E00068150,322,0,E02002823
E00068151,332,0,E02002820
E00068152,333,0,E02002820
E00068153,324,0,E02002820
E00068154,281,0,E02002823
E00068155,274,28,E02002823
E00068156,301,0,E02002820
E00068157,392,0,E02002821
E00068158,545,0,E02002821
E00068159,288,0,E02002820
E00068160,308,0,E02002823
E00068161,299,0,E02002820
E00068162,290,0,E02002820
E00068163,281,0,E02002821
E00068164,306,0,E02002820
E00068165,249,0,E02002823
E00068166,463,0,E02002821
E00068167,300,0,E02002823
E00068168,288,0,E02002823
E00068169,317,0,E02002823
E00068170,324,0,E02002823
E00068171,296,0,E02002821
E00068172,317,0,E02002823
E00068173,287,0,E02002823
E00068174,340,0,E02002823
E00068175,311,0,E02002823
E00068176,323,0,E02002821
E00068177,356,0,E02002821
E00068178,333,0,E02002823
E00068179,354,0,E02002821
E00068180,226,0,E02002823
E00068181,310,0,E02002823
E00068182,319,6,E02002823
E00068183,319,0,E02002823
E00068184,281,0,E02002823
E00068185,266,0,E02002823
E00068186,258,0,E02002823
E00068187,245,0,E02002823
E00068188,299,0,E02002807
E00068189,267,0,E02002807
E00068190,340,12,E02002807
E00068191,301,0,E02002807
E00068192,282,0,E02002807
E00068193,333,0,E02002801
E00068194,334,0,E02002801
E00068195,286,0,E02002801
E00068196,349,0,E02002801
E00068197,348,0,E02002801
E00068198,310,0,E02002801
E00068199,256,0,E02002801
E00068200,295,0,E02002807
E00068201,260,0,E02002801
E00068202,288,0,E02002807
E00068203,327,0,E02002807
E00068204,269,0,E02002801
E00068205,270,0,E02002801
E00068206,375,0,E02002807
E00068207,259,0,E02002807
E00068208,289,0,E02002807
E00068209,351,0,E02002807
E00068210,318,0,E02002807
E00068211,315,0,E02002807
E00068212,356,0,E02002807
E00068213,277,3,E02002807
E00068214,311,0,E02002807
E00068215,361,0,E02002807
E00068216,317,0,E02002807
E00068217,348,0,E02002807
E00068218,353,0,E02002807
E00068219,347,0,E02002807
E00068220,299,0,E02002807
E00068221,250,0,E02002807
E00068222,323,20,E02002807
E00068223,308,0,E02002807
E00068224,303,1,E02002807
E00068225,259,0,E02002807
E00068226,280,0,E02002807
E00068227,367,0,E02002801
E00068228,323,0,E02002801
E00068229,327,0,E02002801
E00068230,303,0,E02002801
E00068231,370,10,E02002825
E00068232,230,0,E02002825
E00068233,501,0,E02002826
E00068234,456,0,E02002826
E00068235,353,16,E02002825
E00068236,314,0,E02002826
E00068237,392,0,E02002826
E00068238,273,0,E02002826
E00068239,469,0,E02002825
E00068241,320,18,E02002825
E00068242,440,0,E02002826
E00068243,242,0,E02002826
E00068244,552,0,E02002826
E00068245,257,0,E02002826
E00068246,367,0,E02002826
E00068247,349,0,E02002825
E00068248,319,0,E02002825
E00068249,386,0,E02002825
E00068250,385,0,E02002825
E00068252,211,0,E02002825
E00068253,239,0,E02002825
E00068254,292,0,E02002825
E00068255,335,32,E02002825
E00068256,143,0,E02002825
E00068257,203,0,E02002825
E00068258,117,0,E02002825
E00068259,350,0,E02002825
E00068260,226,0,E02002826
E00068261,344,0,E02002826
E00068262,197,0,E02002826
E00068263,280,0,E02002826
E00068265,294,0,E02002826
E00068266,272,0,E02002826
E00068267,310,0,E02002826
E00068268,260,0,E02002825
E00068269,219,1,E02002826
E00068270,258,0,E02002826
E00068271,228,0,E02002826
E00068272,308,0,E02002800
E00068273,300,0,E02002800
E00068274,293,0,E02002800
E00068275,268,25,E02002800
E00068276,280,0,E02002800
E00068277,271,0,E02002803
E00068278,286,1,E02002800
E00068279,415,21,E02002803
E00068280,307,0,E02002800
E00068281,369,0,E02002800
E00068282,345,0,E02002800
E00068283,325,41,E02002800
E00068284,270,0,E02002800
E00068285,417,0,E02002803
E00068286,206,0,E02002803
E00068287,325,0,E02002803
E00068288,290,0,E02002800
E00068289,264,2,E02002803
E00068290,357,0,E02002800
E00068291,330,0,E02002803
E00068292,289,0,E02002800
E00068293,371,0,E02002803
E00068294,272,0,E02002803
E00068295,162,0,E02002803
E00068296,337,0,E02002803
E00068297,191,0,E02002803
E00068298,249,77,E02002803
E00068299,163,0,E02002803
E00068301,274,0,E02002803
E00068302,345,0,E02002803
E00068303,232,202,E02002803
E00068304,354,0,E02002803
E00068306,245,0,E02002800
E00068307,330,0,E02002800
E00068308,221,0,E02002800
E00068309,304,0,E02002800
E00068310,380,0,E02002800
E00068312,219,0,E02002800
E00068314,197,31,E02002800
E00068315,320,0,E02002799
E00068316,284,0,E02002799
E00068317,353,0,E02002802
E00068318,389,1,E02002802
E00068319,248,0,E02002802
E00068320,288,0,E02002802
E00068321,298,0,E02002802
E00068322,377,24,E02002802
E00068323,291,0,E02002799
E00068324,288,0,E02002799
E00068325,277,0,E02002799
E00068326,370,0,E02002801
E00068327,308,0,E02002801
E00068328,307,0,E02002802
E00068329,298,0,E02002801
E00068330,346,0,E02002802
E00068331,290,0,E02002802
E00068332,338,0,E02002799
E00068333,471,0,E02002802
E00068334,297,0,E02002801
E00068335,297,0,E02002802
E00068336,267,0,E02002802
E00068337,325,0,E02002802
E00068338,324,0,E02002802
E00068339,263,0,E02002802
E00068340,218,0,E02002802
E00068341,463,0,E02002802
E00068342,290,0,E02002802
E00068343,285,0,E02002802
E00068344,397,0,E02002802
E00068345,255,0,E02002802
E00068346,291,0,E02002802
E00068347,218,0,E02002802
E00068348,317,72,E02002802
E00068349,292,1,E02002802
E00068350,310,0,E02002799
E00068351,606,0,E02002799
E00068352,296,0,E02002799
E00068353,292,0,E02002799
E00068354,274,0,E02002799
E00068355,285,0,E02002799
E00068356,263,0,E02002799
E00068357,334,0,E02002799
E00068358,326,0,E02002799
E00068359,328,0,E02002801
E00068360,319,0,E02002812
E00068361,241,0,E02002816
E00068362,315,0,E02002812
E00068364,404,0,E02002814
E00068365,301,0,E02002816
E00068366,452,0,E02002816
E00068367,397,63,E02002816
E00068368,428,0,E02002816
E00068369,598,0,E02002816
E00068370,305,0,E02002814
E00068371,416,0,E02002816
