Name,Remand,Sentenced,Non-criminal,area,msoa
Foston Hall,57,197,1,E00100526,E02004118
Gartree,1,591,*,E00187479,E02005373
Leicester,183,86,8,E00068911,E02006850
Lincoln,185,458,19,E00173653,E02005444
Lowdham Grange,*,887,*,E00173435,E02005905
North Sea Camp,*,311,*,E00185354,E02005417
Nottingham,472,352,25,E00173486,E02002874
Onley,*,720,1,E00169204,E02005621
Ranby,*,972,*,E00142851,E02005837
Rye Hill,*,618,1,E00169203,E02005621
Stocken,2,1014,2,E00172628,E02002863
Sudbury,*,554,1,E00174335,E02004077
Whatton,*,801,1,E00144559,E02005906
