msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02002796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002797,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
E02002798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02002799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002800,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8
E02002801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002802,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
E02002803,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,10
E02002804,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002806,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
E02002807,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5
E02002808,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,15
E02002809,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02002810,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002811,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,7
E02002812,3,5,0,1,0,2,0,0,0,0,0,0,0,0,1,4,16
E02002813,1,4,0,0,0,0,0,1,0,0,0,0,0,0,2,4,12
E02002814,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02002815,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02002816,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002817,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002818,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
E02002819,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,12
E02002820,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
E02002821,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
E02002822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02002823,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02002824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02002825,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
E02002826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
E02002827,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02002828,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02002829,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
E02002830,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,6
E02002831,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02002832,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6
E02002833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7
E02002836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002837,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02002838,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
E02002839,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002842,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
E02002843,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02002844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02002845,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,8
E02002846,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002847,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
E02002848,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
E02002849,2,8,1,0,0,0,0,0,0,0,0,9,0,0,6,5,31
E02002851,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02002853,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,3,9
E02002854,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002855,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,5
E02002856,2,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14
E02002857,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
E02002858,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,8
E02002860,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
E02002861,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02002862,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002863,0,3,0,0,0,0,0,0,0,2,0,2,0,0,5,2,14
E02002864,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02002865,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4
E02002866,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02002867,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,2,12
E02002868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002869,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002871,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,6
E02002872,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002873,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02002874,0,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,7
E02002875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02002876,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,4
E02002877,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
E02002878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02002879,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5
E02002880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002881,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
E02002882,1,9,1,0,0,0,1,0,1,0,0,2,0,0,2,4,21
E02002883,2,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,8
E02002884,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,9
E02002885,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02002886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002887,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02002888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002889,3,5,0,0,0,0,0,0,0,0,0,26,0,0,6,9,49
E02002890,0,1,0,0,0,0,0,0,0,0,0,13,0,0,2,2,18
E02002891,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
E02002892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02002893,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,17
E02002895,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,2,15
E02002896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4
E02002897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02002898,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,6
E02002901,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002902,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
E02002903,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02002904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02004029,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
E02004030,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
E02004031,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02004032,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02004033,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02004034,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
E02004035,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5
E02004036,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02004037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02004038,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,7
E02004039,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4
E02004040,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
E02004041,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02004043,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02004044,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10
E02004045,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02004046,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02004047,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02004048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02004049,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02004050,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
E02004051,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4
E02004052,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02004053,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02004054,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02004055,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5
E02004056,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
E02004057,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
E02004058,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02004059,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02004060,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02004061,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,6
E02004062,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02004063,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
E02004064,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10
E02004065,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
