Name,A Asian / Asian British,B Black / African / Caribbean / Black British,C Mixed / Multiple ethnic groups,D Other ethnic group,E White,F Not recorded,G Not stated,area,msoa
Foston Hall,10,13,10,*,220,2,*,E00100526,E02004118
Gartree,67,126,28,9,362,*,*,E00187479,E02005373
Leicester,39,31,18,*,180,*,*,E00068911,E02006850
Lincoln,41,48,20,6,547,*,*,E00173653,E02005444
Lowdham Grange,95,166,63,13,547,*,*,E00173435,E02005905
North Sea Camp,15,28,*,*,256,1,*,E00185354,E02005417
Nottingham,79,105,62,5,593,1,4,E00173486,E02002874
Onley,61,263,64,20,301,6,6,E00169204,E02005621
Ranby,92,102,73,*,700,*,*,E00142851,E02005837
Rye Hill,53,38,14,5,502,*,*,E00169203,E02005621
Stocken,99,168,54,14,679,*,*,E00172628,E02002863
Sudbury,114,89,35,4,310,*,3,E00174335,E02004077
Whatton,44,52,14,*,682,1,*,E00144559,E02005906
