msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02002796,0,0,0,0,0,0,0,0
E02002797,0,3,7,1,1,0,0,0
E02002798,0,0,0,0,0,0,0,1
E02002799,0,0,0,0,0,0,0,0
E02002800,0,0,0,0,3,10,13,21
E02002801,0,0,0,0,3,1,0,0
E02002802,0,1,10,8,11,4,9,1
E02002803,2,744,47,10,0,0,0,0
E02002804,2,0,0,0,0,0,0,0
E02002805,0,0,0,0,0,0,0,0
E02002806,0,135,13,10,14,6,1,0
E02002807,0,2,0,0,3,3,3,2
E02002808,0,308,26,3,15,7,11,4
E02002809,0,0,0,0,0,5,13,12
E02002810,0,0,4,6,4,2,3,0
E02002811,0,0,7,11,7,2,0,0
E02002812,5,9,24,19,16,6,25,23
E02002813,0,2,1,2,3,7,6,9
E02002814,0,0,0,0,0,0,7,7
E02002815,0,0,0,0,2,2,3,0
E02002816,0,0,0,0,3,4,3,12
E02002817,0,0,0,0,0,0,4,4
E02002818,0,0,0,0,3,6,16,7
E02002819,4,12,10,21,7,7,4,8
E02002820,0,2,2,8,5,0,0,1
E02002821,0,0,0,3,8,5,8,11
E02002822,0,0,0,0,0,2,1,4
E02002823,0,4,0,3,2,1,7,2
E02002824,0,0,0,2,2,0,7,1
E02002825,0,1,3,1,3,5,13,18
E02002826,0,0,0,0,0,0,0,0
E02002827,0,1,0,0,3,3,2,6
E02002828,0,0,0,3,8,2,0,0
E02002829,0,1,1,7,14,5,11,9
E02002830,0,8,9,8,6,1,2,7
E02002831,3,2,0,0,5,8,6,6
E02002832,36,20,0,4,8,15,4,9
E02002833,0,0,0,0,0,0,0,0
E02002834,0,79,2,1,0,0,1,0
E02002836,0,0,0,0,0,0,0,0
E02002837,0,0,1,4,12,7,0,0
E02002838,0,0,0,0,0,5,0,3
E02002839,0,0,0,0,4,1,1,4
E02002842,0,56,2,7,1,0,0,0
E02002843,0,0,3,7,11,7,0,0
E02002844,0,0,0,2,0,0,0,0
E02002845,3,2,1,2,4,8,19,6
E02002846,0,0,0,0,3,3,11,13
E02002847,0,2,4,3,11,1,0,1
E02002848,0,2,3,5,16,6,3,1
E02002849,9,596,41,33,20,21,14,10
E02002851,0,0,0,0,1,5,5,12
E02002852,0,0,0,0,1,0,1,0
E02002853,0,25,14,12,12,2,3,3
E02002854,0,1,6,8,14,4,16,12
E02002855,0,155,18,3,1,0,0,0
E02002856,0,8,5,18,35,28,22,26
E02002857,0,10,0,2,22,6,6,4
E02002858,0,0,0,5,12,8,3,7
E02002860,0,22,8,5,16,17,25,21
E02002861,0,0,0,0,7,5,3,0
E02002862,0,0,0,2,5,2,2,1
E02002863,5,576,738,477,99,12,3,1
E02002864,0,0,1,0,0,1,8,18
E02002865,111,112,9,8,11,0,1,2
E02002866,64,14,0,0,1,0,8,11
E02002867,191,204,12,7,10,6,3,9
E02002868,0,0,0,0,0,0,0,0
E02002869,0,0,0,0,0,2,3,3
E02002871,0,4,5,8,6,5,7,11
E02002872,0,0,0,1,1,5,0,4
E02002873,2,1,4,6,11,3,9,1
E02002874,4,96,171,160,55,12,10,8
E02002875,0,0,0,0,0,2,1,3
E02002876,0,142,5,0,0,0,0,0
E02002877,4,1,2,1,13,18,4,11
E02002878,0,0,1,3,1,0,0,0
E02002879,0,145,10,12,3,0,0,0
E02002880,0,0,0,0,0,0,0,0
E02002881,0,0,0,0,1,5,14,9
E02002882,6,91,27,26,33,6,8,12
E02002883,0,0,4,5,4,8,7,4
E02002884,0,0,2,15,26,20,14,9
E02002885,0,2,0,3,3,2,0,0
E02002886,0,0,0,0,0,0,0,0
E02002887,0,0,0,0,2,10,13,4
E02002888,0,0,0,0,0,0,0,0
E02002889,3,1799,65,37,49,24,4,2
E02002890,0,1180,40,9,8,3,5,3
E02002891,0,0,0,2,3,0,0,2
E02002892,0,0,0,0,5,0,1,0
E02002893,1,1696,77,21,20,6,0,0
E02002895,0,279,32,3,0,0,0,0
E02002896,0,7,9,6,0,0,0,0
E02002897,0,0,0,0,0,0,0,0
E02002898,1,211,10,3,8,2,0,0
E02002901,0,0,0,0,1,1,9,10
E02002902,0,663,10,7,9,3,5,2
E02002903,0,0,0,0,0,0,0,0
E02002904,0,0,0,0,0,1,3,12
E02004029,0,1,0,7,15,4,0,0
E02004030,2,1,2,0,0,1,6,4
E02004031,0,1,6,9,15,5,6,5
E02004032,0,0,0,0,0,2,4,1
E02004033,0,0,2,1,5,9,16,14
E02004034,0,0,0,3,1,10,8,3
E02004035,4,7,0,0,0,3,2,2
E02004036,0,2,2,2,8,5,0,0
E02004037,0,0,0,0,0,0,0,0
E02004038,0,0,0,0,1,9,11,21
E02004039,3,2,0,3,0,0,1,8
E02004040,0,0,3,5,4,0,0,3
E02004041,1,2,0,0,4,11,12,4
E02004043,0,1,0,1,5,9,6,6
E02004044,0,0,5,1,1,1,5,4
E02004045,0,0,0,0,0,5,12,10
E02004046,0,0,0,0,1,0,2,3
E02004047,0,0,0,3,8,6,6,10
E02004048,0,0,0,0,4,0,1,2
E02004049,0,0,2,11,8,3,1,7
E02004050,0,0,0,0,0,2,6,2
E02004051,0,2,12,11,12,10,10,5
E02004052,0,0,0,5,5,4,6,5
E02004053,0,0,0,4,9,3,0,0
E02004054,0,1,6,10,6,7,4,8
E02004055,2,0,0,0,11,7,10,5
E02004056,0,1,0,1,2,3,10,6
E02004057,0,1,2,5,12,2,0,1
E02004058,0,0,0,2,2,1,0,4
E02004059,0,0,4,8,22,14,9,6
E02004060,0,3,2,4,9,5,5,3
E02004061,0,3,0,0,0,3,4,6
E02004062,0,3,3,0,1,4,0,2
E02004063,0,5,2,0,0,3,5,9
E02004064,0,3,3,1,1,4,11,10
E02004065,0,1,1,0,1,0,2,3
E02004066,0,2,6,1,3,3,5,21
E02004067,0,0,0,0,0,0,0,0
E02004068,0,0,0,0,0,3,0,3
E02004069,2,10,1,0,3,1,1,5
E02004072,0,0,1,4,6,5,15,18
E02004073,0,0,0,0,6,4,12,9
E02004074,0,2,0,2,1,0,0,0
E02004075,0,1,0,0,2,1,2,2
E02004076,0,0,0,0,0,1,4,11
E02004077,17,66,179,156,60,6,0,1
E02004078,0,0,0,0,0,2,2,5
E02004080,0,0,0,0,6,3,12,11
E02004081,0,0,0,1,8,4,0,0
E02004082,0,0,1,1,2,4,10,11
E02004083,0,0,0,1,2,3,0,0
E02004084,0,0,0,0,0,3,7,3
E02004085,1,1,0,0,0,5,5,19
E02004086,0,7,3,4,0,0,3,3
E02004087,0,0,0,1,4,0,2,3
E02004088,18,19,3,5,0,6,5,4
E02004089,0,0,0,4,3,0,0,0
E02004090,0,0,0,0,0,0,3,3
E02004091,0,1,5,9,5,0,6,4
E02004092,0,0,0,0,0,0,0,0
E02004093,1,3,3,0,1,1,5,2
E02004094,0,4,0,0,0,4,6,2
E02004095,0,0,1,1,5,1,2,2
E02004096,0,0,0,1,6,8,12,5
E02004097,0,0,0,0,0,3,1,2
E02004098,0,3,5,6,8,1,1,1
E02004100,1,0,0,1,0,3,13,7
E02004102,0,14,7,11,4,13,22,16
E02004103,0,0,0,0,0,0,8,2
E02004104,0,1,0,1,0,0,0,0
E02004105,0,0,0,0,4,6,3,6
E02004106,0,0,0,0,0,0,0,0
E02004108,0,1,2,0,0,2,4,13
E02004109,0,0,0,0,0,0,1,11
E02004110,0,0,0,0,0,0,0,0
E02004111,0,0,0,2,11,2,1,0
E02004112,0,0,0,0,4,3,11,5
E02004113,0,3,4,6,9,2,9,12
E02004114,0,0,0,0,2,2,3,7
E02004115,0,0,0,0,0,4,6,5
E02004116,0,0,0,0,0,3,5,10
E02004117,0,0,0,0,1,2,4,4
E02004118,0,0,2,6,10,0,2,4
E02004119,0,0,3,0,3,3,4,7
E02004120,0,0,0,0,0,0,2,3
E02004121,0,0,0,0,0,2,0,5
E02004122,101,103,4,2,5,7,9,5
E02004123,0,0,0,0,2,1,2,4
E02004124,0,0,0,0,4,0,0,0
E02004125,0,0,0,0,3,1,2,2
E02004126,0,0,2,2,2,6,3,0
E02004128,5,9,3,10,10,5,11,17
E02005334,0,0,0,0,3,0,2,3
E02005335,0,1,1,1,7,7,4,10
E02005336,0,0,0,0,1,0,0,0
E02005337,0,0,0,8,0,0,0,0
E02005338,0,0,0,0,0,0,1,1
E02005339,0,0,1,3,5,1,1,0
E02005340,0,0,0,0,0,0,2,4
E02005341,0,0,0,0,1,1,2,11
E02005342,0,0,0,0,0,1,0,3
E02005343,0,0,0,0,0,0,0,4
E02005344,0,0,0,0,5,5,8,7
E02005345,0,0,0,1,0,0,0,0
E02005346,0,139,33,10,2,7,5,1
E02005347,0,563,63,26,18,3,15,3
E02005348,1,44,5,0,0,0,4,2
E02005349,0,0,0,4,6,5,4,0
E02005350,0,1,2,16,24,22,19,8
E02005351,4,3021,53,10,4,0,0,0
E02005352,14,14,6,19,8,0,1,2
E02005353,21,166,31,9,2,0,2,2
E02005354,0,125,0,5,16,0,3,1
E02005355,0,0,0,0,0,2,4,2
E02005356,0,0,2,2,8,7,10,7
E02005357,0,1,2,9,6,0,0,0
E02005358,4,0,1,0,0,0,1,4
E02005359,0,0,0,0,1,2,8,9
E02005360,6,97,6,3,1,0,2,4
E02005361,0,0,1,2,6,5,9,12
E02005362,0,0,0,1,3,12,8,6
E02005363,0,0,2,0,4,2,5,7
E02005364,0,0,0,0,0,0,0,0
E02005365,0,0,2,1,8,3,3,4
E02005366,0,0,0,0,4,2,0,0
E02005368,0,0,0,1,11,7,5,0
E02005369,0,0,0,0,0,1,3,4
E02005370,0,0,0,0,0,1,6,10
E02005371,0,0,2,0,1,3,4,12
E02005372,1,3,3,3,3,3,11,4
E02005373,0,21,171,214,153,23,4,0
E02005374,26,90,8,4,3,1,8,2
E02005375,0,0,0,1,5,5,26,29
E02005376,0,0,0,0,1,2,5,3
E02005377,1,0,0,3,7,4,0,1
E02005378,2,0,0,0,0,0,0,0
E02005379,0,0,4,0,2,0,0,0
E02005380,0,0,0,1,0,0,11,4
E02005381,2,0,0,2,4,4,12,9
