msoa,staff/owner,staff/owner's relative,temporary/visiting
E02002796,0,0,0
E02002797,0,0,1
E02002798,0,0,0
E02002799,0,0,0
E02002800,1,1,0
E02002801,0,0,0
E02002802,0,0,0
E02002803,1,0,6
E02002804,0,0,0
E02002805,0,0,0
E02002806,0,0,7
E02002807,0,0,0
E02002808,1,1,16
E02002809,0,1,0
E02002810,0,0,0
E02002811,0,0,2
E02002812,0,1,12
E02002813,0,0,1
E02002814,0,0,0
E02002815,0,0,0
E02002816,0,0,0
E02002817,0,1,0
E02002818,2,1,0
E02002819,0,0,28
E02002820,0,0,2
E02002821,0,0,0
E02002822,0,0,0
E02002823,0,0,0
E02002824,0,0,0
E02002825,0,1,0
E02002826,1,0,0
E02002827,1,0,0
E02002828,0,0,0
E02002829,2,2,0
E02002830,0,0,0
E02002831,0,0,0
E02002832,0,0,7
E02002833,0,0,0
E02002834,0,0,1
E02002836,0,0,0
E02002837,0,0,0
E02002838,0,0,0
E02002839,0,0,0
E02002842,0,0,1
E02002843,0,0,0
E02002844,0,0,1
E02002845,0,0,2
E02002846,0,0,0
E02002847,0,0,0
E02002848,2,0,0
E02002849,1,0,30
E02002851,0,0,0
E02002852,0,0,0
E02002853,0,0,0
E02002854,0,0,0
E02002855,0,0,3
E02002856,0,0,7
E02002857,0,0,2
E02002858,0,0,0
E02002860,0,0,6
E02002861,0,1,0
E02002862,0,0,0
E02002863,18,9,53
E02002864,0,0,0
E02002865,0,1,8
E02002866,2,0,1
E02002867,0,1,3
E02002868,0,0,0
E02002869,1,0,0
E02002871,0,0,5
E02002872,0,1,4
E02002873,0,0,0
E02002874,4,0,56
E02002875,0,0,2
E02002876,0,0,0
E02002877,0,0,1
E02002878,0,0,0
E02002879,0,0,10
E02002880,0,0,0
E02002881,0,0,0
E02002882,14,0,47
E02002883,0,0,0
E02002884,0,0,2
E02002885,0,0,0
E02002886,0,0,0
E02002887,0,0,1
E02002888,0,0,1
E02002889,1,1,35
E02002890,0,1,55
E02002891,0,0,0
E02002892,0,0,0
E02002893,0,0,22
E02002895,0,2,73
E02002896,0,1,0
E02002897,0,0,0
E02002898,0,0,14
E02002901,0,0,0
E02002902,1,0,13
E02002903,0,0,0
E02002904,0,0,0
E02004029,0,0,0
E02004030,2,2,0
E02004031,0,0,0
E02004032,0,0,0
E02004033,0,0,0
E02004034,0,0,1
E02004035,1,1,0
E02004036,0,0,0
E02004037,0,0,0
E02004038,0,0,0
E02004039,0,0,0
E02004040,0,0,0
E02004041,0,0,0
E02004043,0,0,0
E02004044,0,0,0
E02004045,0,0,0
E02004046,0,1,0
E02004047,0,0,0
E02004048,0,0,1
E02004049,0,0,0
E02004050,0,0,0
E02004051,0,0,8
E02004052,0,0,0
E02004053,0,0,0
E02004054,11,8,2
E02004055,0,0,0
E02004056,0,0,0
E02004057,0,0,0
E02004058,0,0,0
E02004059,0,0,0
E02004060,0,0,0
E02004061,0,0,0
E02004062,0,0,0
E02004063,0,0,0
E02004064,0,0,1
E02004065,0,0,0
E02004066,21,0,4
E02004067,0,0,0
E02004068,4,0,0
E02004069,11,0,0
E02004072,0,0,0
E02004073,0,0,0
E02004074,0,0,3
E02004075,0,0,0
E02004076,0,0,0
E02004077,1,2,15
E02004078,0,0,0
E02004080,1,0,0
E02004081,0,0,0
E02004082,0,0,0
E02004083,0,0,0
E02004084,0,0,0
E02004085,0,0,0
E02004086,0,0,0
E02004087,0,0,3
E02004088,0,2,3
E02004089,0,0,7
E02004090,0,0,0
E02004091,0,3,0
E02004092,0,0,0
E02004093,0,0,1
E02004094,0,0,1
E02004095,0,0,0
E02004096,0,0,0
E02004097,0,0,0
E02004098,0,0,0
E02004100,0,0,2
E02004102,2,1,0
E02004103,0,0,2
E02004104,2,1,0
E02004105,0,0,1
E02004106,0,0,0
E02004108,1,0,1
E02004109,0,0,0
E02004110,0,0,0
E02004111,0,0,0
E02004112,0,0,0
E02004113,0,0,0
E02004114,0,1,0
E02004115,0,0,0
E02004116,0,0,0
E02004117,0,0,0
E02004118,1,0,11
E02004119,0,0,0
E02004120,1,0,0
E02004121,0,0,0
E02004122,44,8,8
E02004123,0,0,0
E02004124,0,0,0
E02004125,0,0,0
E02004126,0,0,2
E02004128,0,0,0
E02005334,0,0,0
E02005335,0,0,0
E02005336,0,0,1
E02005337,0,0,1
E02005338,0,0,0
E02005339,1,0,0
E02005340,0,0,0
E02005341,0,0,0
E02005342,1,1,0
E02005343,0,0,0
E02005344,0,0,0
E02005345,0,0,0
E02005346,0,2,13
E02005347,6,2,16
E02005348,0,0,1
E02005349,0,0,0
E02005350,0,0,0
E02005351,2,1,34
E02005352,6,1,4
E02005353,2,5,8
E02005354,0,0,1
E02005355,0,1,0
E02005356,0,0,0
E02005357,0,3,0
E02005358,2,0,0
E02005359,0,0,0
E02005360,9,0,0
E02005361,0,0,4
E02005362,0,0,0
E02005363,1,0,12
E02005364,0,0,0
E02005365,0,0,0
E02005366,0,0,0
E02005368,5,0,0
E02005369,0,0,0
E02005370,0,0,0
E02005371,1,0,0
E02005372,7,4,0
E02005373,3,7,24
E02005374,6,0,1
E02005375,0,0,0
E02005376,0,1,0
E02005377,0,0,0
E02005378,0,0,0
E02005379,0,0,0
E02005380,0,1,0
E02005381,1,0,2
E02005382,0,0,0
E02005383,0,0,0
E02005384,17,3,19
E02005385,0,0,0
E02005386,0,0,8
E02005387,0,0,1
E02005388,0,0,0
E02005389,0,0,0
E02005390,0,0,0
E02005391,0,0,0
E02005392,0,0,0
E02005393,0,1,1
E02005394,0,0,0
E02005395,0,0,0
E02005396,1,0,0
E02005397,3,0,0
E02005398,4,0,0
E02005399,3,0,0
E02005400,0,0,0
E02005401,0,0,0
E02005402,0,0,0
E02005403,0,0,0
E02005404,0,0,0
E02005405,0,0,0
E02005406,0,0,2
E02005407,0,0,0
E02005408,1,0,0
E02005409,0,0,0
E02005412,2,0,0
E02005414,0,0,0
E02005415,0,0,0
E02005416,0,0,0
E02005417,0,0,4
E02005418,0,0,0
E02005419,2,0,0
E02005420,0,0,0
E02005422,0,0,0
E02005423,0,0,0
E02005424,6,0,17
E02005425,0,0,0
E02005426,0,0,0
E02005427,0,0,0
E02005428,0,0,0
E02005429,0,0,0
E02005430,3,0,0
E02005431,3,0,0
E02005432,1,0,0
E02005433,72,0,2
E02005434,0,1,0
E02005435,1,1,0
E02005436,1,0,0
E02005437,29,8,1
E02005438,0,0,0
E02005439,10,2,12
E02005440,1,1,0
E02005441,0,0,0
E02005442,0,0,0
E02005443,0,0,0
E02005444,6,3,9
E02005445,13,5,17
E02005446,0,0,18
E02005447,4,0,1
E02005448,0,0,0
E02005449,3,0,12
E02005450,0,0,0
E02005451,3,0,1
E02005452,0,0,0
E02005453,0,0,0
E02005455,0,2,2
E02005456,6,0,8
E02005457,0,0,0
E02005458,0,0,0
E02005459,0,0,0
E02005460,10,0,1
E02005461,0,0,0
E02005462,0,0,0
E02005463,0,0,0
E02005464,0,0,0
E02005465,0,0,0
E02005466,0,0,0
E02005467,0,0,0
E02005468,0,0,0
E02005469,0,0,0
E02005470,6,0,1
E02005471,0,0,0
E02005472,0,0,0
E02005473,0,0,0
E02005474,0,0,0
E02005475,0,0,0
E02005476,0,0,0
E02005477,0,0,0
E02005478,0,0,4
E02005479,8,0,0
E02005480,0,0,0
E02005481,0,0,0
E02005482,0,0,0
E02005483,0,0,0
E02005484,0,0,0
E02005485,0,0,0
E02005486,0,0,0
E02005487,3,4,4
E02005488,0,0,0
E02005489,0,0,0
E02005490,0,0,0
E02005491,9,2,1
E02005492,0,0,0
E02005493,0,0,0
E02005494,0,0,0
E02005495,0,0,0
E02005496,0,0,2
E02005497,15,0,0
E02005498,0,0,0
E02005499,0,0,0
E02005500,0,3,3
E02005501,0,0,0
E02005502,0,0,0
E02005612,1,1,0
E02005613,1,0,0
E02005614,0,0,0
E02005615,0,0,2
E02005616,0,0,4
E02005617,0,0,1
E02005619,7,0,4
E02005620,0,2,14
E02005621,2,0,54
E02005622,0,0,1
E02005623,2,3,0
E02005624,0,0,0
E02005625,0,0,0
E02005626,0,0,0
E02005627,0,0,0
E02005628,7,1,0
E02005629,6,0,3
E02005630,8,4,7
E02005631,0,0,1
E02005632,0,0,0
E02005633,0,0,0
E02005634,0,0,0
E02005635,0,0,0
E02005636,0,0,0
E02005637,0,0,0
E02005638,0,0,0
E02005639,0,0,0
E02005640,0,0,0
E02005641,1,0,0
E02005642,1,0,0
E02005643,0,0,0
E02005644,6,1,1
E02005645,47,4,35
E02005646,0,0,0
E02005647,0,0,1
E02005648,0,0,0
E02005650,0,0,11
E02005651,0,0,0
E02005652,0,0,0
E02005653,1,0,0
E02005654,0,0,0
E02005655,0,0,0
E02005656,0,0,0
E02005657,0,0,0
E02005658,0,0,0
E02005659,0,0,0
E02005660,0,0,10
E02005661,0,0,3
E02005662,0,0,1
E02005663,0,0,0
E02005664,0,0,22
E02005665,0,0,0
E02005666,0,0,0
E02005667,0,0,0
E02005668,0,0,0
E02005669,0,0,0
E02005670,0,0,2
E02005671,0,0,0
E02005672,0,0,0
E02005673,0,0,0
E02005674,7,0,41
E02005675,0,0,0
E02005676,0,0,0
E02005677,0,0,4
E02005679,0,0,0
E02005680,0,0,0
E02005681,0,0,0
E02005682,0,0,0
E02005683,0,0,2
E02005684,0,0,0
E02005685,0,0,0
E02005686,8,0,0
E02005687,0,0,0
E02005688,0,0,0
E02005689,0,0,0
E02005690,6,0,0
E02005691,1,0,5
E02005692,0,0,0
E02005693,0,0,0
E02005694,0,0,0
E02005695,0,0,0
E02005696,0,0,0
E02005697,2,4,2
E02005698,1,0,1
E02005699,0,0,0
E02005700,0,0,0
E02005701,0,0,0
E02005819,0,5,0
E02005820,0,0,0
E02005821,0,0,0
E02005822,0,0,0
E02005823,0,0,3
E02005824,0,0,0
E02005825,0,0,0
E02005826,0,0,0
E02005827,0,0,0
E02005828,0,0,0
E02005829,0,0,0
E02005830,0,0,0
E02005831,1,0,0
E02005832,1,0,2
E02005833,15,0,0
E02005834,0,0,13
E02005835,0,0,0
E02005836,0,0,0
E02005837,0,2,57
E02005838,0,0,0
E02005839,0,0,0
E02005840,0,0,0
E02005842,1,0,1
E02005843,0,0,0
E02005844,0,1,0
E02005846,0,0,0
E02005847,0,0,0
E02005848,27,0,3
E02005849,1,0,3
E02005850,0,0,0
E02005851,2,0,0
E02005852,0,0,0
E02005853,0,0,0
E02005856,0,0,0
E02005857,0,0,0
E02005858,1,0,2
E02005859,0,0,0
E02005860,0,0,7
E02005861,2,4,0
E02005862,0,0,1
E02005863,0,0,0
E02005864,0,0,24
E02005865,0,0,0
E02005866,1,0,0
E02005868,0,0,0
E02005869,0,0,0
E02005870,0,0,0
E02005871,0,0,0
E02005872,0,0,0
E02005873,0,0,3
E02005874,0,0,0
E02005875,0,0,0
E02005876,0,0,0
E02005877,0,0,0
E02005878,0,0,0
E02005879,0,0,0
E02005880,0,0,0
E02005881,0,0,0
E02005882,0,0,0
E02005883,0,0,0
E02005884,0,0,0
E02005885,0,0,0
E02005886,0,0,0
E02005887,0,3,2
E02005888,0,0,1
E02005889,0,0,0
E02005890,0,0,0
E02005891,0,0,0
E02005892,1,0,0
E02005893,0,0,0
E02005894,0,0,2
E02005895,0,0,0
E02005896,0,0,0
E02005897,0,0,0
E02005898,0,0,0
E02005899,0,0,0
E02005900,0,0,1
E02005901,0,0,2
E02005902,0,0,0
E02005903,0,1,0
E02005904,0,0,0
E02005905,1,4,53
E02005906,0,1,32
E02005907,2,1,0
E02005908,0,0,0
E02005909,0,0,0
E02005910,1,0,0
E02005911,1,0,0
E02005912,1,0,0
E02005913,0,0,0
E02005914,0,0,0
E02005915,4,0,0
E02005916,0,0,0
E02005917,0,0,0
E02005918,0,0,0
E02005919,1,0,4
E02005920,3,0,0
E02006804,7,1,0
E02006815,0,0,0
E02006816,0,0,0
E02006817,0,0,13
E02006818,0,0,0
E02006819,0,0,0
E02006820,0,0,0
E02006827,0,0,0
E02006828,0,0,0
E02006834,0,0,0
E02006835,0,0,1
E02006850,1,0,76
E02006851,0,1,90
E02006862,0,7,0
E02006863,0,0,0
E02006864,0,0,0
E02006865,2,0,0
E02006866,2,0,0
E02006867,0,0,0
E02006872,0,0,0
E02006903,1,0,0
E02006904,0,2,25
E02006905,0,0,0
E02006906,0,0,0
E02006919,0,0,5
E02006920,0,0,0
E02006964,0,0,0
E02006965,0,0,2
E02006966,2,0,3
E02006967,0,0,0
E02007029,0,0,0
E02007070,0,0,0
E02007071,0,0,0
E02007072,0,0,2
E02007073,0,0,0
E02007082,1,3,36
