Name,15 - 17,18 - 20,21 - 24,25 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 and over,area,msoa
Bedford,*,47,46,76,111,61,19,*,*,E00183502,E02003625
Bure,*,*,27,56,150,111,106,85,80,E00169872,E02005581
Chelmsford,*,76,100,131,211,97,51,7,6,E00109852,E02006978
Highpoint (North and South),*,*,112,257,465,255,120,36,8,E00169948,E02006283
Hollesley Bay,*,*,16,59,139,83,61,25,*,E00173886,E02006293
Littlehey,*,*,43,94,251,233,236,188,127,E00173794,E02003769
Mount,*,*,120,222,376,208,74,25,3,E00189378,E02004876
Norwich,*,42,70,124,259,127,54,17,18,E00187940,E02005587
Peterborough (Female),*,11,39,36,116,74,31,*,*,E00187639,E02003246
Peterborough (Male),*,69,109,163,263,145,57,21,6,E00187639,E02003246
Warren Hill,*,*,*,16,62,68,74,29,*,E00173886,E02006293
Wayland,*,*,90,179,325,178,91,19,7,E00169902,E02005512
Whitemoor,*,*,31,38,100,71,46,18,3,E00187623,E02003746
