Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-106969315,2010-12-02,Y,Clair Francis Retirement Home,East of England,Peterborough,237-239 Park Road,Peterborough,PE1 2UT,52.587314,-0.239868,Peterborough,*,,,Y,,Y,,,Y,,,Y,7,7,E06000031,E02003248,E00079170,28,20.0,73.0,0.97873,2.0,8.4659,0.0106
1-112325259,2011-01-10,Y,Alan Atchison - 5 and 6 Augusta Close,East of England,Peterborough,5-6 Augusta Close,Peterborough,PE1 5NJ,52.590027,-0.208536,Peterborough,*,,,Y,,,Y,,,,,,2,2,E06000031,E02003249,E00078972,9,9.0,100.0,0.9795,0.0,0.0,0.02769
1-112325275,2011-01-10,Y,Alan Atchison - 2 David's Close,East of England,Peterborough,2 David's Close,Peterborough,PE4 5AN,52.621109,-0.28818,Peterborough,*,,,Y,,,Y,,,,,,2,2,E06000031,E02003237,E00079294,11,10.0,91.0,0.86756,1.0,12.8565,0.18378
1-120444678,2010-11-29,Y,SENSE - Newton Court,East of England,Peterborough,1-4 Newton Court,Peterborough,PE4 7PY,52.607487,-0.248142,Peterborough,"Horton, Maria Elizabeth",,,Y,,,Y,,,,Y,,3,3,E06000031,E02003243,E00079201,10,9.0,93.0,0.87445,1.0,5.7735,0.11515
1-120444708,2010-11-29,Y,SENSE - 37 Redgate Court,East of England,Peterborough,Saltersgate,Peterborough,PE1 4XZ,52.594201,-0.208691,Peterborough,"Horton, Maria Elizabeth",,,Y,,,Y,,,,Y,,3,3,E06000031,E02003249,E00187658,6,5.0,89.0,0.99919,1.0,19.245,0.00018
1-120444723,2010-11-29,Y,SENSE - 38 Redgate Court,East of England,Peterborough,Saltersgate,Peterborough,PE1 4XZ,52.594201,-0.208691,Peterborough,"Horton, Maria Elizabeth",,,Y,,,Y,,Y,,Y,Y,2,2,E06000031,E02003249,E00187658,6,6.0,100.0,0.91987,0.0,0.0,0.02733
1-120969698,2010-11-19,Y,Philia Lodge Rest Home,East of England,Peterborough,Philia Lodge,Peterborough,PE1 4AU,52.580393,-0.232736,Peterborough,"Graham, Chris",,,Y,,Y,,,,,,,3,3,E06000031,E02003250,E00078955,20,18.0,90.0,0.94935,0.0,0.0,0.01587
1-125856362,2011-02-15,Y,Longueville Court,East of England,Peterborough,Village Green,Peterborough,PE2 7DN,52.553476,-0.277391,North West Cambridgeshire,"O'Reilly, Michael",Y,Y,,,Y,,,Y,Y,,Y,1,1,E06000031,E02006877,E00079081,109,99.0,91.0,0.99997,,,
1-125862949,2011-02-15,Y,Werrington Lodge,East of England,Peterborough,Baron Court,Peterborough,PE4 7ZF,52.617263,-0.261194,Peterborough,"O'Reilly, Michael",Y,Y,,,Y,,,Y,Y,,Y,9,9,E06000031,E02003239,E00079326,82,55.0,67.0,0.92425,5.0,6.4242,0.10879
1-127088237,2011-01-07,Y,St Margaret's House,East of England,Peterborough,187 London Road,Peterborough,PE2 9DS,52.555439,-0.248785,North West Cambridgeshire,"Boardman, Julie",,,Y,,,Y,Y,,,,,3,3,E06000031,E02003253,E00078995,11,11.0,97.0,0.97436,1.0,5.2486,0.00713
