msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02003237,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5
E02003238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E02003240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02003241,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003243,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
E02003245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
E02003246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02003247,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
E02003248,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,8
E02003249,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7
E02003250,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,9,12
E02003251,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,8
E02003252,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7
E02003253,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
E02003254,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
E02003255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003258,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
E02003259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02003261,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
