msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02003237,8,7,0,1,7,0,5,13
E02003238,0,0,0,0,0,0,0,0
E02003239,0,0,0,0,0,0,8,24
E02003240,1,10,11,4,3,1,0,0
E02003241,0,1,0,0,0,0,0,0
E02003242,0,0,0,0,1,6,12,27
E02003243,0,0,0,1,4,0,0,0
E02003244,0,0,0,0,0,0,0,0
E02003245,0,0,3,0,0,0,0,0
E02003246,0,15,55,75,35,3,0,0
E02003247,0,3,2,13,23,6,4,1
E02003248,1,22,1,2,0,6,12,33
E02003249,0,0,0,3,7,6,10,3
E02003250,0,5,2,4,2,0,11,40
E02003251,0,4,5,3,1,7,44,45
E02003252,1,3,0,0,0,2,10,23
E02003253,0,0,0,0,6,8,6,14
E02003254,0,0,0,0,1,1,1,0
E02003255,0,0,0,0,0,0,0,1
E02003257,0,1,0,0,2,1,0,0
E02003258,0,0,0,0,0,1,0,14
E02003259,0,0,0,0,0,0,0,0
E02003260,0,0,0,0,0,0,0,0
E02003261,0,0,0,1,6,3,27,48
E02003262,0,0,0,2,4,2,13,18
E02003263,0,4,1,2,3,13,30,43
E02003264,0,1,0,1,1,2,6,15
E02003265,0,0,0,0,0,0,0,0
E02003266,0,0,0,0,0,0,0,0
E02003267,0,0,0,3,3,1,0,0
E02003268,0,0,1,2,9,11,16,28
E02003269,0,0,0,0,0,0,0,0
E02003270,0,24,14,1,0,0,0,0
E02003271,0,0,0,0,0,0,0,0
E02003272,0,2,2,6,1,0,1,0
E02003273,0,0,1,0,0,0,0,0
E02003274,1,3,3,10,19,9,27,32
E02003276,0,8,1,2,3,2,4,7
E02003277,0,0,1,0,0,0,0,1
E02003278,0,154,70,23,15,1,0,0
E02003279,0,0,0,0,0,4,8,25
E02003280,0,0,0,0,0,0,0,0
E02003281,0,0,0,1,3,0,4,30
E02003282,0,0,5,0,1,1,3,37
E02003283,0,0,0,0,4,11,19,30
E02003284,0,0,1,0,0,0,0,0
E02003285,0,2,1,2,6,6,4,1
E02003286,0,0,0,0,0,2,1,12
E02003287,0,2,0,5,12,5,9,29
E02003288,0,1,2,8,11,9,11,25
E02003289,0,0,0,2,4,0,5,32
E02003290,0,1,7,8,18,29,88,180
E02003291,0,0,0,0,0,0,3,0
E02003292,0,48,5,6,10,6,13,32
E02003293,0,155,27,9,8,8,36,76
E02003294,0,0,1,8,7,1,0,0
E02003295,0,0,0,1,5,11,20,33
E02003296,0,0,0,0,0,0,1,1
E02003297,0,0,0,0,1,0,3,8
E02003298,0,0,2,0,2,1,4,16
E02003299,0,0,1,0,1,1,10,31
E02003300,0,0,0,0,0,0,0,0
E02003301,0,3,0,1,5,2,1,0
E02003302,0,0,0,0,3,3,12,21
E02003303,0,1,2,0,4,0,0,0
E02003304,0,0,0,0,3,4,0,0
E02003305,0,0,0,3,4,2,1,0
E02003307,0,0,0,0,1,6,18,49
E02003308,0,0,0,0,0,0,8,8
E02003309,0,0,0,0,0,0,0,0
E02003311,0,2,3,2,4,14,39,65
E02003312,0,0,0,0,2,0,0,0
E02003313,0,0,0,0,1,4,9,23
E02003599,0,0,0,0,0,0,0,0
E02003600,1,0,6,1,1,5,16,31
E02003601,0,0,0,1,0,1,0,0
E02003602,0,27,1,0,1,0,0,0
E02003603,0,0,0,0,0,1,1,6
E02003604,0,0,0,0,0,2,11,31
E02003605,0,178,75,9,1,0,1,0
E02003606,0,0,0,0,0,0,0,0
E02003607,0,0,0,0,1,0,2,6
E02003608,0,0,1,4,9,3,12,26
E02003609,0,47,20,4,0,3,14,34
E02003610,0,0,0,0,0,0,0,1
E02003611,0,4,11,14,3,1,11,29
E02003612,0,0,0,0,0,1,0,5
E02003613,0,0,0,0,4,5,2,24
E02003614,0,0,0,0,1,0,0,0
E02003615,0,2,5,6,2,2,3,11
E02003616,3,2,0,1,2,1,8,26
E02003617,0,0,0,1,7,4,0,2
E02003618,0,0,1,0,7,2,4,10
E02003619,0,2,1,0,7,5,18,37
E02003620,0,1,2,3,4,3,5,5
E02003621,0,0,0,0,0,1,1,13
E02003622,0,0,0,0,0,1,0,0
E02003623,0,0,0,0,2,2,0,0
E02003624,6,207,19,26,26,13,35,94
E02003625,1,12,7,19,24,21,48,118
E02003626,0,0,0,0,2,0,0,0
E02003627,0,18,5,4,5,9,21,33
E02003628,0,0,1,2,0,0,0,0
E02003629,0,0,1,0,2,2,8,19
E02003630,0,0,0,0,0,0,0,0
E02003631,3,1,0,3,0,7,10,27
E02003632,0,0,0,5,5,0,0,0
E02003633,0,0,4,1,2,0,5,3
E02003635,0,0,0,0,0,0,2,0
E02003636,0,0,2,2,0,0,1,0
E02003637,0,2,0,0,4,1,4,12
E02003638,0,0,0,0,3,5,15,40
E02003639,0,0,0,0,2,5,14,36
E02003640,0,0,0,0,1,3,12,33
E02003641,0,0,0,0,0,0,0,0
E02003642,0,0,0,0,0,0,0,0
E02003643,0,0,0,0,0,0,0,0
E02003644,0,1,1,0,6,9,15,34
E02003645,0,0,0,3,1,3,4,18
E02003646,0,1,0,0,0,0,0,0
E02003647,0,2,0,0,1,9,22,54
E02003648,0,3,2,0,0,0,0,0
E02003649,0,0,1,4,0,1,1,1
E02003650,0,0,0,0,1,1,2,7
E02003651,0,0,0,0,3,4,4,15
E02003719,0,0,0,0,5,11,33,51
E02003720,0,13,22,8,4,0,13,11
E02003721,4,25,0,5,2,6,16,69
E02003722,0,82,32,5,5,1,8,38
E02003723,6,2609,420,34,3,4,1,1
E02003724,0,55,8,0,0,0,0,0
E02003725,11,3279,497,77,15,6,0,0
E02003726,4,299,75,10,1,0,0,0
E02003727,0,149,18,1,0,0,6,8
E02003728,0,178,8,1,0,3,4,14
E02003729,0,0,0,0,0,0,0,1
E02003731,1,268,29,5,0,0,0,0
E02003732,0,0,1,2,3,8,11,41
E02003733,0,0,0,0,0,2,5,9
E02003734,0,0,0,3,2,6,20,44
E02003735,28,42,4,11,6,0,0,0
E02003736,5,0,5,1,3,0,0,0
E02003737,0,0,0,4,8,2,6,20
E02003738,0,0,0,0,0,0,0,0
E02003739,0,0,3,3,7,0,0,0
E02003740,0,0,0,1,7,11,31,75
E02003742,1,1,0,0,1,1,0,0
E02003743,0,0,2,0,1,11,37,68
E02003744,0,13,4,6,11,11,22,39
E02003745,2,0,0,0,0,0,0,0
E02003746,0,2,3,6,3,0,4,8
E02003747,0,0,0,0,2,1,28,67
E02003748,0,0,0,5,1,1,1,0
E02003749,1,0,0,0,0,4,8,8
E02003750,0,0,1,0,6,10,16,38
E02003751,0,0,2,7,9,3,7,17
E02003752,0,0,0,0,0,0,3,40
E02003753,0,1,3,4,2,0,0,0
E02003754,0,0,0,0,0,0,0,0
E02003755,0,0,0,0,0,0,3,9
E02003756,1,0,0,0,1,0,2,6
E02003757,0,0,0,0,2,3,10,22
E02003758,1,21,29,2,1,1,6,40
E02003759,0,0,0,0,0,0,8,14
E02003760,0,2,0,0,0,0,0,0
E02003761,0,0,0,0,2,5,23,58
E02003762,0,22,5,5,4,1,3,13
E02003763,0,0,0,0,0,0,0,0
E02003764,1,6,1,3,5,4,27,49
E02003765,0,0,0,0,1,2,4,12
E02003766,0,0,0,0,0,0,0,2
E02003767,7,9,0,0,0,0,6,13
E02003768,0,0,0,0,1,2,8,32
E02003769,0,0,1,1,2,2,7,18
E02003770,0,1,0,8,6,6,6,13
E02003771,0,0,0,2,0,3,4,11
E02003772,0,1,3,0,0,0,8,12
E02003773,0,0,0,0,0,0,0,0
E02003774,0,0,0,0,1,4,11,59
E02003775,0,0,0,0,0,0,0,0
E02003776,1,0,0,3,2,8,18,29
E02003777,0,0,1,0,1,3,11,15
E02003778,3,2,4,1,8,6,18,26
E02003780,0,0,4,2,1,5,24,55
E02003781,0,1,0,0,0,0,2,0
E02003784,0,0,0,0,0,3,13,30
E02003785,3,11,2,6,0,0,16,21
E02003786,0,0,0,0,0,1,7,34
E02003787,0,0,0,0,0,0,6,5
E02003788,0,0,0,0,0,0,0,0
E02003789,0,0,0,0,3,2,2,17
E02003790,0,0,0,4,2,1,4,15
