Name,Violence against the person,Sexual offences,Criminal damage and arson,Drug offences,Possession of weapons,Public order offences,Miscellaneous crimes against society,Summary offences,Offence not recorded,area,msoa
Bedford,81,20,9,88,13,7,21,32,9,E00183502,E02003625
Bure,22,542,*,*,*,6,26,7,*,E00169872,E02005581
Chelmsford,149,39,42,204,22,22,38,46,6,E00109852,E02006978
Highpoint (North and South),494,4,22,339,45,10,33,11,*,E00169948,E02006283
Hollesley Bay,101,12,*,164,17,*,16,*,1,E00173886,E02006293
Littlehey,33,1077,5,*,*,6,27,12,*,E00173794,E02003769
Mount,398,*,15,263,45,12,38,9,*,E00189378,E02004876
Norwich,183,55,28,165,24,19,39,59,7,E00187940,E02005587
Peterborough (Female),94,9,12,59,9,9,18,19,3,E00187639,E02003246
Peterborough (Male),187,58,17,179,41,31,46,85,4,E00187639,E02003246
Warren Hill,177,33,6,3,3,*,*,*,*,E00173886,E02006293
Wayland,322,*,25,238,31,*,15,8,*,E00169902,E02005512
Whitemoor,255,17,3,12,3,6,*,*,*,E00187623,E02003746
