Prison,Predominant Function,Designation,Postcode,area,msoa,total communal residents,other_prison_service
Bedford,Reception,Dual Designated Prison,MK401HG,E00183502,E02003625,208,208.0
Bure,Cat C,Prison,NR105GB,E00169872,E02005581,573,573.0
Chelmsford,Reception,Dual Designated Prison,CM26LQ,E00109852,E02006978,358,358.0
Highpoint,Cat C,Prison,CB89YG,E00169948,E02006283,1254,1254.0
Hollesley Bay,Open,Dual Designated Prison,IP123JW,E00173886,E02006293,669,669.0
Littlehey,Cat C,Prison,PE280SR,E00173794,E02003769,1113,1113.0
The Mount,Cat C,Prison,HP30NZ,E00189378,E02004876,983,983.0
Norwich,Reception,Dual Designated Prison,NR14LU,E00187940,E02005587,503,502.0
Peterborough (Male),Reception,Dual Designated Prison,PE37PD,E00187639,E02003246,686,686.0
Peterborough (Female),Reception,Dual Designated Prison,PE37PD,E00187639,E02003246,686,686.0
Warren Hill,Cat C,Dual Designated Prison,IP123JW,E00173886,E02006293,669,669.0
Wayland,Cat C,Prison,IP256RL,E00169902,E02005512,856,856.0
Whitemoor,High Security,Prison,PE150PR,E00187623,E02003746,435,435.0
