msoa,staff/owner,staff/owner's relative,temporary/visiting
E02003237,0,0,0
E02003238,0,0,0
E02003239,0,0,0
E02003240,3,0,3
E02003241,0,0,0
E02003242,0,0,0
E02003243,0,0,0
E02003244,0,0,2
E02003245,0,0,0
E02003246,0,4,29
E02003247,0,0,2
E02003248,0,0,0
E02003249,0,0,1
E02003250,1,1,22
E02003251,5,1,3
E02003252,0,0,11
E02003253,0,0,2
E02003254,0,0,0
E02003255,0,0,0
E02003257,0,0,0
E02003258,0,0,1
E02003259,0,0,0
E02003260,0,0,0
E02003261,0,0,0
E02003262,0,0,0
E02003263,0,0,9
E02003264,3,0,0
E02003265,0,0,0
E02003266,0,0,2
E02003267,0,0,0
E02003268,0,0,0
E02003269,0,0,0
E02003270,12,0,2
E02003271,0,0,9
E02003272,0,0,4
E02003273,0,0,0
E02003274,1,0,31
E02003276,2,0,0
E02003277,0,0,0
E02003278,4,1,69
E02003279,0,0,0
E02003280,0,0,2
E02003281,0,0,0
E02003282,0,0,1
E02003283,0,0,0
E02003284,0,0,0
E02003285,0,0,0
E02003286,0,0,0
E02003287,1,1,0
E02003288,0,0,0
E02003289,0,0,0
E02003290,9,1,9
E02003291,0,0,0
E02003292,0,0,4
E02003293,12,0,11
E02003294,1,0,0
E02003295,0,0,0
E02003296,0,0,0
E02003297,0,0,1
E02003298,0,0,1
E02003299,5,5,1
E02003300,0,0,1
E02003301,0,0,0
E02003302,0,0,0
E02003303,0,0,0
E02003304,1,0,0
E02003305,0,0,0
E02003307,0,0,0
E02003308,1,1,0
E02003309,0,0,0
E02003311,0,0,0
E02003312,0,0,0
E02003313,0,0,0
E02003599,0,0,0
E02003600,0,0,3
E02003601,0,0,0
E02003602,0,0,0
E02003603,3,0,4
E02003604,0,0,0
E02003605,0,8,15
E02003606,0,0,0
E02003607,0,0,0
E02003608,0,0,0
E02003609,3,0,2
E02003610,0,0,0
E02003611,0,0,0
E02003612,0,3,0
E02003613,0,0,1
E02003614,0,0,0
E02003615,0,0,0
E02003616,0,0,1
E02003617,0,0,2
E02003618,0,0,0
E02003619,0,9,0
E02003620,0,1,0
E02003621,0,0,0
E02003622,0,0,0
E02003623,0,0,0
E02003624,1,1,12
E02003625,0,0,13
E02003626,0,0,0
E02003627,0,0,2
E02003628,0,0,3
E02003629,0,0,0
E02003630,1,0,0
E02003631,0,0,2
E02003632,0,0,0
E02003633,0,0,1
E02003635,0,0,0
E02003636,0,0,0
E02003637,2,0,0
E02003638,0,0,0
E02003639,0,0,0
E02003640,0,0,0
E02003641,0,0,0
E02003642,0,0,0
E02003643,0,0,0
E02003644,0,0,0
E02003645,0,0,0
E02003646,0,0,0
E02003647,0,1,1
E02003648,0,0,2
E02003649,0,0,0
E02003650,0,0,0
E02003651,7,0,0
E02003719,0,0,0
E02003720,9,0,14
E02003721,2,0,4
E02003722,1,1,14
E02003723,15,3,36
E02003724,1,0,6
E02003725,38,6,49
E02003726,9,0,7
E02003727,0,0,11
E02003728,20,1,12
E02003729,0,0,1
E02003731,1,0,6
E02003732,1,1,0
E02003733,0,0,0
E02003734,1,1,1
E02003735,10,10,5
E02003736,2,0,0
E02003737,1,0,17
E02003738,2,0,0
E02003739,0,0,0
E02003740,0,0,0
E02003742,0,0,1
E02003743,0,0,0
E02003744,2,0,23
E02003745,0,0,2
E02003746,1,5,7
E02003747,1,0,0
E02003748,0,0,0
E02003749,0,0,0
E02003750,2,0,0
E02003751,0,0,0
E02003752,0,0,0
E02003753,0,0,3
E02003754,0,0,0
E02003755,0,0,0
E02003756,0,0,0
E02003757,0,0,0
E02003758,0,0,3
E02003759,0,0,0
E02003760,0,0,0
E02003761,0,0,0
E02003762,0,1,0
E02003763,0,0,0
E02003764,10,0,0
E02003765,2,0,5
E02003766,0,0,0
E02003767,2,0,2
E02003768,0,0,0
E02003769,0,5,45
E02003770,0,2,0
E02003771,0,0,1
E02003772,0,0,0
E02003773,0,0,0
E02003774,0,0,0
E02003775,0,0,0
E02003776,0,0,0
E02003777,0,0,0
E02003778,0,0,0
E02003780,0,0,0
E02003781,9,0,0
E02003784,0,0,0
E02003785,0,0,0
E02003786,6,2,0
E02003787,0,0,0
E02003788,0,0,0
E02003789,0,0,0
E02003790,0,0,0
E02003791,0,0,1
E02003792,0,0,4
E02003793,2,3,2
E02004424,0,0,0
E02004425,0,0,0
E02004426,0,0,0
E02004427,2,0,0
E02004428,0,0,0
E02004429,0,0,0
E02004430,0,0,0
E02004431,0,0,0
E02004432,0,0,0
E02004433,0,0,0
E02004434,2,1,0
E02004435,0,0,0
E02004436,3,0,11
E02004437,0,0,0
E02004438,0,1,1
E02004439,0,0,0
E02004440,0,0,0
E02004441,0,0,0
E02004442,0,0,0
E02004443,11,0,4
E02004444,0,0,0
E02004445,0,0,0
E02004446,0,0,0
E02004447,0,0,0
E02004448,7,0,0
E02004449,0,0,1
E02004450,0,0,0
E02004451,0,1,0
E02004452,0,1,0
E02004453,0,0,0
E02004454,1,0,0
E02004455,0,0,0
E02004456,0,0,0
E02004457,0,0,1
E02004458,0,0,0
E02004459,1,0,0
E02004460,0,0,0
E02004461,0,0,0
E02004462,0,0,0
E02004463,1,1,0
E02004464,0,0,0
E02004465,0,0,0
E02004466,0,1,0
E02004467,8,0,0
E02004468,0,0,0
E02004469,0,0,0
E02004470,1,1,0
E02004471,2,2,0
E02004472,0,0,0
E02004473,0,0,0
E02004474,0,0,0
E02004475,0,0,0
E02004476,0,0,0
