msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02000001,0,24,5,8,6,2,0,0
E02000002,0,0,0,0,0,5,8,16
E02000003,0,0,0,5,4,0,0,0
E02000004,0,7,6,0,3,10,11,33
E02000005,0,1,0,0,0,0,0,0
E02000007,2,1,4,1,2,5,8,27
E02000008,0,0,0,0,2,1,1,0
E02000009,0,0,0,0,0,0,0,0
E02000010,0,0,0,0,0,0,0,0
E02000011,0,0,0,0,4,4,15,31
E02000012,0,0,0,0,4,0,0,0
E02000013,0,0,0,0,0,0,0,0
E02000014,0,0,0,0,0,3,7,17
E02000015,0,0,0,0,0,1,0,0
E02000016,0,0,0,0,0,0,0,0
E02000017,0,2,8,0,2,2,1,0
E02000018,0,0,0,0,0,0,0,0
E02000019,0,0,0,0,5,8,12,1
E02000020,0,0,0,0,0,0,0,0
E02000021,2,0,0,2,7,4,13,14
E02000022,0,0,2,2,3,4,1,0
E02000023,4,4,4,13,4,1,0,0
E02000024,0,0,0,0,11,1,15,39
E02000025,3,1,0,0,0,0,0,0
E02000026,0,0,3,1,4,6,1,0
E02000027,0,0,0,3,20,7,8,21
E02000028,0,0,0,0,0,2,7,2
E02000029,0,0,0,0,0,0,0,0
E02000030,0,0,0,6,5,4,11,37
E02000031,2,0,0,3,10,6,32,60
E02000032,0,0,0,0,4,1,0,0
E02000033,0,0,0,0,2,0,5,13
E02000034,0,0,0,0,2,1,7,19
E02000035,11,4,37,7,9,21,35,69
E02000036,1,0,1,0,6,2,4,8
E02000037,0,0,0,0,0,0,0,0
E02000038,0,2,6,7,22,11,24,84
E02000039,0,0,0,0,0,0,0,0
E02000040,22,66,17,18,12,0,0,1
E02000041,0,0,0,0,0,0,2,34
E02000042,0,0,5,1,9,15,25,61
E02000043,0,0,0,2,16,6,6,12
E02000044,0,0,0,0,0,0,0,0
E02000045,0,0,0,0,0,2,8,19
E02000046,0,0,0,0,0,0,0,0
E02000047,0,0,0,0,2,3,11,21
E02000048,0,0,0,0,0,0,0,0
E02000049,0,0,0,0,0,0,0,0
E02000050,0,0,2,5,2,1,0,0
E02000051,0,0,1,2,1,0,0,0
E02000052,0,0,0,0,0,0,0,0
E02000054,0,0,3,4,9,1,1,0
E02000055,0,44,7,3,0,0,0,0
E02000056,0,0,0,1,1,4,21,34
E02000057,0,0,0,1,2,4,9,8
E02000058,0,0,0,0,0,2,0,1
E02000059,0,0,0,0,0,1,0,0
E02000060,0,0,0,2,7,2,8,68
E02000061,0,0,0,0,2,9,10,40
E02000062,0,10,1,0,2,0,0,0
E02000063,0,0,0,2,1,4,11,22
E02000064,0,32,3,0,4,0,0,0
E02000065,0,0,0,1,4,2,9,13
E02000066,0,0,0,0,0,4,5,9
E02000067,1,0,0,0,0,0,0,0
E02000068,0,0,0,0,0,0,0,0
E02000069,0,0,0,0,2,1,1,10
E02000070,0,0,0,0,0,0,0,0
E02000071,0,0,0,0,0,0,0,0
E02000072,0,2,0,0,0,0,0,0
E02000073,0,0,0,0,0,0,0,0
E02000074,0,0,1,2,0,1,6,9
E02000075,0,0,0,0,0,0,0,0
E02000077,0,0,0,0,0,4,22,30
E02000078,0,0,0,0,0,2,20,25
E02000079,0,0,1,0,1,8,31,85
E02000080,0,0,0,0,0,0,0,0
E02000081,0,0,0,0,0,1,10,28
E02000082,0,0,0,0,0,0,0,0
E02000083,0,2,2,3,2,0,0,0
E02000084,0,0,0,0,0,0,0,0
E02000085,0,0,0,0,0,0,0,0
E02000086,0,0,0,0,2,0,0,0
E02000087,0,0,0,0,0,1,1,3
E02000088,0,0,0,0,0,0,0,0
E02000089,0,0,0,0,3,11,32,49
E02000090,0,92,0,0,2,11,44,99
E02000091,1,1,1,0,2,3,17,21
E02000092,0,0,2,2,0,1,3,13
E02000093,0,2,0,4,0,0,0,0
E02000094,0,0,2,1,3,6,12,10
E02000095,0,0,0,0,0,0,0,0
E02000096,0,0,8,4,4,6,0,3
E02000097,0,0,0,0,0,0,0,0
E02000098,0,0,0,0,10,5,16,43
E02000099,0,0,0,0,0,0,0,0
E02000100,0,193,29,3,3,3,6,7
E02000101,0,2,7,14,15,12,21,46
E02000102,0,0,0,0,0,0,1,0
E02000103,6,10,34,18,2,1,0,0
E02000104,0,0,4,6,8,5,8,25
E02000105,0,0,2,2,7,0,0,0
E02000106,0,0,1,1,3,0,1,0
E02000107,0,0,0,2,4,0,0,0
E02000108,0,0,0,0,0,0,0,0
E02000110,0,0,0,0,3,2,0,0
E02000111,0,2,0,4,5,5,4,13
E02000112,0,0,0,6,4,7,18,22
E02000113,0,0,0,0,0,0,0,0
E02000114,0,0,0,0,0,0,0,0
E02000115,0,6,11,12,2,9,9,20
E02000116,0,0,0,2,0,2,1,1
E02000117,2,0,0,1,4,5,10,9
E02000118,0,0,0,0,0,0,0,0
E02000119,0,3,4,6,18,10,15,19
E02000120,0,0,0,0,0,0,0,0
E02000121,0,0,1,1,0,0,0,0
E02000122,0,0,0,0,2,4,1,0
E02000123,0,1,1,0,0,0,0,0
E02000124,0,1,0,0,1,0,0,0
E02000125,0,0,0,0,0,0,0,0
E02000126,0,0,0,0,0,0,0,0
E02000127,0,0,0,1,1,0,3,15
E02000128,0,0,0,0,5,3,8,13
E02000130,0,0,0,0,1,0,0,0
E02000131,0,0,0,0,0,0,0,0
E02000132,0,2,0,1,1,2,4,17
E02000133,0,0,1,1,5,4,11,41
E02000134,0,0,2,2,0,6,10,14
E02000135,0,0,0,1,8,12,24,59
E02000136,3,10,2,2,1,0,10,54
E02000137,0,0,0,0,1,9,25,58
E02000138,0,0,0,0,0,0,0,0
E02000139,4,20,1,2,8,2,0,0
E02000140,0,0,0,0,0,0,3,12
E02000141,0,0,0,2,2,1,1,0
E02000142,0,0,1,3,13,7,19,49
E02000144,0,8,4,1,0,0,0,0
E02000145,0,0,0,0,0,0,0,0
E02000146,0,0,0,0,0,4,29,82
E02000147,0,0,0,0,0,0,0,0
E02000148,0,0,0,0,0,0,0,0
E02000149,0,0,0,0,0,0,0,0
E02000150,0,4,4,9,4,1,0,0
E02000151,0,0,0,0,0,0,0,0
E02000152,0,0,0,0,0,0,2,7
E02000153,0,0,0,0,0,0,0,0
E02000154,1,0,0,0,0,0,0,0
E02000155,0,0,0,0,0,0,0,0
E02000156,0,0,0,0,0,0,9,41
E02000157,0,0,0,0,0,0,0,0
E02000158,0,0,0,0,0,0,0,0
