Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-106487846,2010-11-26,Y,Wordsley House,North East,Hartlepool,10 Westbourne Road,Hartlepool,TS25 5RE,54.676313,-1.218747,Hartlepool,*,,,Y,,,,Y,Y,,,Y,5,5,E06000001,E02002490,E00060255,8,7.0,90.0,0.95354,1.0,13.6931,0.09874
1-108920052,2010-12-08,Y,Dinsdale Lodge Care Home,North East,Hartlepool,42-44 Station Lane,Hartlepool,TS25 1BG,54.661326,-1.191813,Hartlepool,"Kennedy, Jean",Y,,Y,,Y,,,Y,Y,,Y,5,5,E06000001,E02002493,E00060512,26,20.0,76.0,0.94465,3.0,12.5811,0.04145
1-112230143,2010-12-08,Y,Clifton House Residential Care Home,North East,Hartlepool,94-96 Clifton Avenue,Hartlepool,TS26 9QP,54.683591,-1.228333,Hartlepool,"Gill, Hardeep",,,Y,,Y,,,Y,,,,6,6,E06000001,E02007059,E00060352,28,19.0,68.0,0.96747,5.0,17.1156,0.00982
1-112469305,2010-10-01,Y,Sheraton Court,North East,Hartlepool,Warren Road,Hartlepool,TS24 9HA,54.704818,-1.222607,Hartlepool,"Hall, Antony",,,Y,,Y,,,Y,Y,Y,,3,3,E06000001,E02002484,E00060478,80,79.0,98.0,0.90794,2.0,1.9094,0.07914
1-113569667,2011-03-07,Y,Seymour House (Hartlepool) Limited,North East,Hartlepool,The Front,Hartlepool,TS25 1DJ,54.657824,-1.186875,Hartlepool,"Burini, Vincent",Y,Y,,,,,Y,,,,,6,6,E06000001,E02002493,E00060501,20,20.0,98.0,0.91076,1.0,4.1833,0.09225
1-117131898,2010-12-10,Y,Seaton Hall Residential Home,North East,Hartlepool,10 The Green,Hartlepool,TS25 1AS,54.662846,-1.189224,Hartlepool,*,,,Y,,,,,Y,,,Y,6,6,E06000001,E02002493,E00060509,29,19.0,65.0,0.84628,6.0,20.0376,0.1576
1-125940754,2011-02-02,Y,Lindisfarne Hartlepool,North East,Hartlepool,Masefield Road,Hartlepool,TS25 4JY,54.67247,-1.240344,Hartlepool,"McAlear, Susan",Y,Y,,,Y,,Y,Y,Y,,,5,5,E06000001,E02002491,E00060432,54,52.0,96.0,0.87574,1.0,1.8519,0.117
1-128588922,2010-12-30,Y,Warrior Park Care Home,North East,Hartlepool,Queen Street,Hartlepool,TS25 1EZ,54.661771,-1.193788,Hartlepool,"Southall, Natasha",Y,Y,Y,,Y,,,Y,Y,,,6,6,E06000001,E02002493,E00060512,52,40.0,77.0,0.8729,6.0,10.9745,0.15604
1-129266327,2010-12-20,Y,Rosedale/Rosewood,North East,Hartlepool,5-7 Flaxton Street,Hartlepool,TS26 9JY,54.680442,-1.219258,Hartlepool,"Sheridan, Karen",,,Y,,,Y,,,,,,4,4,E06000001,E02002489,E00060518,6,4.0,75.0,0.91097,1.0,9.6225,0.10328
1-129266592,2010-12-20,Y,Charlotte Grange Care Home,North East,Hartlepool,Flaxton Street,Hartlepool,TS26 9JY,54.680442,-1.219258,Hartlepool,"Sheridan, Karen",,,Y,,Y,,,Y,,,,5,5,E06000001,E02002489,E00060518,46,45.0,99.0,0.92199,1.0,1.1907,0.03127
1-129459533,2010-12-20,Y,Five Penny House,North East,Hartlepool,Westbourne Road,Hartlepool,TS25 5RE,54.676313,-1.218747,Hartlepool,"Cannon, Andrew",,,Y,,,Y,,,,,Y,3,3,E06000001,E02002490,E00060255,6,5.0,89.0,0.87579,1.0,9.6225,0.11075
1-129459610,2010-12-20,Y,Greenfields Lodge,North East,Hartlepool,152A Stockton Road,Hartlepool,TS25 5BQ,54.670622,-1.218345,Hartlepool,"Cannon, Andrew",,,Y,,,Y,,,,,Y,0,0,E06000001,E02002490,E00060451,10,3.0,33.596284198526426,,,,
1-129459734,2010-12-20,Y,Hutton Avenue,North East,Hartlepool,13 Hutton Avenue,Hartlepool,TS26 9PW,54.684696,-1.222355,Hartlepool,"Cannon, Andrew",Y,Y,,,,Y,,Y,,,Y,3,3,E06000001,E02002489,E00060350,9,8.0,89.0,0.89869,1.0,11.1111,0.08287
1-129460119,2010-12-20,Y,South Highnam,North East,Hartlepool,Park Avenue,Hartlepool,TS26 0DZ,54.685133,-1.238757,Hartlepool,"Cannon, Andrew",,,Y,,,Y,,,,,Y,4,4,E06000001,E02007059,E00060417,8,7.0,88.0,0.95976,0.0,0.0,0.07016
1-143411578,2011-02-11,Y,Stichell House,North East,Hartlepool,The Hospital of God at Greatham,Hartlepool,TS25 2HS,54.641011,-1.239614,Hartlepool,"McAnelly, Lawrence",,,Y,,Y,,,Y,Y,Y,,4,4,E06000001,E02006909,E00060358,35,34.0,99.0,0.9357,1.0,1.6496,0.04046
