area,household residents,communal residents,msoa
E00041363,186,0,E02006842
E00041364,418,0,E02006842
E00041366,204,0,E02006841
E00041367,233,0,E02001692
E00041368,307,0,E02001692
E00041369,377,0,E02001692
E00041371,302,49,E02006842
E00041372,248,0,E02001692
E00041377,193,0,E02006841
E00041378,250,0,E02006841
E00041381,222,0,E02006841
E00041382,117,0,E02006841
E00041383,269,0,E02006841
E00041384,397,0,E02006842
E00041385,163,46,E02006841
E00041386,458,0,E02006841
E00041388,341,0,E02001692
E00041389,193,0,E02006841
E00041390,320,64,E02006841
E00041393,290,0,E02001689
E00041394,378,0,E02001689
E00041395,335,136,E02006841
E00041397,258,15,E02001689
E00041399,229,0,E02001689
E00041400,246,55,E02001689
E00041401,277,0,E02001689
E00041402,367,0,E02001689
E00041404,308,0,E02001689
E00041405,146,0,E02001689
E00041406,254,0,E02001689
E00041407,316,0,E02001689
E00041408,242,0,E02001689
E00041409,311,0,E02001689
E00041410,223,0,E02006841
E00041411,120,0,E02006841
E00041413,189,0,E02006841
E00041414,194,17,E02006841
E00041415,226,0,E02001689
E00041416,309,0,E02001707
E00041417,274,0,E02001707
E00041418,267,0,E02001707
E00041419,284,0,E02001707
E00041420,305,0,E02001707
E00041421,335,0,E02001707
E00041422,223,0,E02001707
E00041423,292,0,E02001707
E00041424,324,0,E02001707
E00041425,241,0,E02001707
E00041426,269,2,E02001707
E00041427,278,49,E02001707
E00041429,245,18,E02001707
E00041430,325,49,E02001707
E00041431,232,0,E02001707
E00041432,264,0,E02001707
E00041433,216,0,E02001707
E00041434,255,0,E02001707
E00041435,295,60,E02001707
E00041436,265,0,E02001707
E00041437,252,0,E02001707
E00041438,306,0,E02001707
E00041439,268,0,E02001707
E00041440,321,0,E02001707
E00041441,304,0,E02001707
E00041442,273,0,E02001707
E00041443,271,0,E02001686
E00041444,315,7,E02001686
E00041445,257,0,E02001686
E00041446,257,0,E02001686
E00041447,278,0,E02001685
E00041448,178,0,E02001685
E00041449,242,0,E02001685
E00041450,261,0,E02001686
E00041451,316,0,E02001685
E00041452,288,0,E02001686
E00041453,471,0,E02001685
E00041454,317,0,E02001685
E00041455,302,6,E02001685
E00041456,243,0,E02001685
E00041457,235,0,E02001685
E00041458,309,0,E02001686
E00041459,276,0,E02001686
E00041460,423,1,E02001686
E00041461,383,0,E02001685
E00041462,262,0,E02001685
E00041463,245,0,E02001685
E00041464,310,0,E02001685
E00041465,256,0,E02001685
E00041466,334,0,E02001685
E00041467,295,0,E02001686
E00041468,277,84,E02001686
E00041469,132,0,E02001686
E00041470,233,0,E02001686
E00041471,269,0,E02001686
E00041472,286,0,E02001685
E00041473,303,0,E02007094
E00041474,251,0,E02007094
E00041475,278,0,E02007094
E00041476,241,0,E02007094
E00041477,297,0,E02001703
E00041478,257,0,E02001703
E00041479,180,0,E02007094
E00041480,296,0,E02007094
E00041481,235,0,E02007094
E00041482,275,0,E02007094
E00041483,252,0,E02001703
E00041485,271,0,E02001703
E00041486,265,0,E02001703
E00041487,264,0,E02001703
E00041488,211,0,E02001703
E00041489,312,0,E02001703
E00041490,318,0,E02001703
E00041491,286,0,E02007094
E00041492,301,0,E02001703
E00041493,251,0,E02001703
E00041494,264,1,E02001703
E00041495,314,0,E02007094
E00041496,265,0,E02001703
E00041497,243,0,E02001703
E00041498,429,0,E02007094
E00041499,295,2,E02007094
E00041500,237,0,E02007094
E00041501,239,0,E02007094
E00041502,225,0,E02007094
E00041503,199,0,E02007094
E00041504,282,0,E02001703
E00041505,198,0,E02007094
E00041506,328,0,E02001701
E00041507,386,0,E02001704
E00041508,247,0,E02001704
E00041509,220,0,E02001701
E00041510,287,0,E02001701
E00041511,281,0,E02001704
E00041512,297,68,E02001701
E00041513,271,53,E02001701
