msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02001682,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
E02001683,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02001685,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001686,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6
E02001688,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
E02001689,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
E02001690,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
E02001691,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5
E02001692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02001693,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001696,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
E02001697,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5
E02001698,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02001699,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02001700,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02001701,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
E02001702,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
E02001703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001704,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001706,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02001707,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7
E02001709,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
E02001710,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02001711,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
E02001712,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9
E02001713,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6
E02001714,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
E02001715,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001718,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
E02001719,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001720,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,6
E02001721,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6
E02001722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001723,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001724,2,1,0,0,0,0,0,1,0,1,0,3,0,0,3,3,14
E02001725,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4
E02001726,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001727,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
E02001728,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001729,0,1,2,0,0,1,0,1,0,0,0,6,0,0,0,5,16
E02001732,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001734,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
E02001735,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001740,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001742,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001743,3,12,0,0,0,0,0,0,0,0,0,1,0,0,0,6,22
E02001744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001746,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02001747,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001748,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3
E02001749,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02001750,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001751,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
E02001754,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02001755,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
E02001756,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001759,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,6
E02001760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02001761,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001763,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001764,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001765,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
