msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02001682,0,0,0,0,0,2,7,21
E02001683,0,0,0,0,1,6,19,44
E02001684,0,0,0,0,3,4,9,16
E02001685,0,0,0,0,0,0,0,1
E02001686,1,2,0,0,11,10,16,29
E02001688,0,0,1,0,3,1,8,10
E02001689,0,3,1,5,9,18,13,76
E02001690,0,2,3,5,8,7,17,35
E02001691,0,12,0,1,1,0,4,16
E02001692,0,0,0,0,0,0,0,0
E02001693,0,0,0,0,0,0,2,0
E02001694,0,0,0,0,0,0,0,0
E02001695,0,0,0,0,2,0,0,0
E02001696,0,0,0,0,2,3,11,42
E02001697,0,0,0,0,0,4,20,24
E02001698,0,0,1,6,6,2,0,1
E02001699,0,1,0,0,0,1,0,0
E02001700,0,0,1,1,2,0,0,0
E02001701,4,7,5,1,0,9,23,35
E02001702,0,1,0,4,9,1,9,6
E02001703,0,0,0,0,0,0,0,0
E02001704,0,0,0,0,0,2,3,2
E02001706,0,0,2,0,5,2,6,18
E02001707,0,2,0,8,9,10,29,56
E02001709,0,0,0,0,0,4,12,40
E02001710,0,0,0,1,2,13,14,47
E02001711,0,0,0,0,1,4,30,52
E02001712,11,69,11,4,4,7,16,63
E02001713,0,13,3,1,3,2,3,26
E02001714,0,0,0,1,0,3,12,36
E02001715,0,0,0,0,1,10,14,24
E02001718,0,0,0,2,2,2,1,0
E02001719,2,0,0,0,0,0,0,0
E02001720,3,10,2,1,1,0,4,8
E02001721,1,1,0,0,0,5,21,28
E02001722,0,0,0,0,2,3,7,10
E02001723,0,0,0,0,6,7,13,12
E02001724,0,73,0,7,13,7,15,30
E02001725,0,8,19,5,1,3,2,9
E02001726,0,0,0,0,0,1,10,14
E02001727,0,0,0,0,0,0,0,0
E02001728,0,2,1,0,3,3,3,6
E02001729,8,443,10,1,3,0,11,37
E02001732,0,0,0,0,0,3,6,20
E02001734,0,0,0,0,2,9,28,68
E02001735,0,0,0,0,0,1,16,35
E02001737,2,3,0,0,3,3,10,5
E02001738,0,0,0,0,0,0,0,0
E02001739,0,0,0,3,10,4,13,14
E02001740,0,0,0,0,0,1,1,30
E02001741,0,0,0,0,0,0,0,1
E02001742,0,0,0,0,1,0,15,20
E02001743,0,0,0,1,13,11,18,59
E02001744,0,0,0,0,0,0,6,21
E02001745,0,0,0,0,0,0,0,0
E02001746,0,0,0,2,2,3,2,6
E02001747,0,0,0,0,1,4,1,1
E02001748,0,0,0,0,0,0,0,0
E02001749,0,1,0,0,1,3,7,20
E02001750,0,0,0,0,0,4,19,29
E02001751,0,0,0,0,0,4,12,15
E02001752,0,0,0,0,0,0,0,0
E02001753,0,0,0,0,0,0,0,0
E02001754,0,0,0,0,1,6,8,15
E02001755,0,0,0,12,6,8,15,26
E02001756,0,0,0,0,0,0,14,21
E02001757,0,0,0,0,0,0,0,0
E02001758,0,0,0,0,0,0,0,0
E02001759,0,0,0,0,0,2,14,17
E02001760,0,0,0,0,0,4,7,16
E02001761,0,0,0,0,4,0,11,20
E02001762,0,0,0,0,0,0,0,0
E02001763,1,1,0,0,2,3,3,7
E02001764,0,0,0,0,0,9,13,36
E02001765,0,0,0,1,3,8,21,33
E02001766,0,12,0,0,0,0,0,0
E02001767,0,0,0,2,6,6,16,18
E02001768,0,0,2,2,11,12,15,19
E02001769,0,0,0,0,5,3,2,11
E02001770,0,6,4,1,3,5,15,34
E02001771,0,0,0,6,2,3,15,21
E02001772,0,0,0,0,0,0,4,10
E02001773,0,0,0,0,0,0,0,0
E02001774,0,0,0,0,3,12,20,36
E02001775,0,0,2,1,3,1,0,0
E02001776,0,0,0,0,5,8,13,23
E02001777,0,0,0,3,7,14,21,39
E02001778,0,0,0,0,2,1,15,64
E02001779,0,21,0,0,0,5,9,24
E02001780,0,0,0,0,0,0,0,0
E02001781,0,0,0,0,0,0,0,0
E02001782,0,0,1,1,0,2,7,21
E02001783,0,0,0,0,0,0,0,0
E02001784,0,0,0,0,0,2,3,7
E02001785,0,0,0,0,0,0,0,0
E02001786,0,0,0,0,0,0,0,0
E02001787,0,0,0,0,4,2,1,0
E02001788,0,0,0,0,1,2,8,13
E02001789,0,0,0,0,0,0,0,0
E02001790,0,0,0,0,0,0,0,0
E02001791,0,0,0,0,0,0,0,0
E02001792,0,2,2,2,5,6,20,57
E02001793,0,0,0,0,0,0,0,0
E02001794,0,0,0,0,1,13,35,85
E02001795,0,8,0,0,0,2,17,9
E02001796,0,71,14,8,0,0,0,0
E02001797,0,0,0,0,0,5,14,16
E02001798,1,1,0,4,9,12,9,21
E02001799,0,0,0,0,1,1,17,23
E02001800,0,0,0,0,0,0,0,0
E02001801,0,83,80,59,3,4,10,7
E02001802,0,0,0,0,0,2,0,0
E02001803,2,544,49,7,7,9,17,18
E02001804,0,0,0,0,3,5,30,39
E02001805,0,0,0,3,11,0,14,43
E02001806,2,6,0,5,3,9,9,13
E02001807,0,0,0,0,0,8,14,37
E02001808,0,0,0,0,0,0,0,0
E02001809,0,0,0,1,3,0,0,0
E02001810,0,0,0,0,0,0,0,0
E02001811,0,0,0,0,0,0,0,0
E02001812,2,6,3,9,4,0,18,13
E02001813,0,0,0,0,2,7,10,12
E02001814,0,0,0,2,5,4,20,35
E02001815,0,0,0,0,2,3,6,16
E02001816,0,0,0,0,3,2,5,17
E02001817,0,4,0,0,0,1,8,22
E02001818,0,1,2,4,4,3,10,8
E02001819,0,0,0,0,0,0,0,0
E02001820,0,0,0,0,0,1,4,22
E02001821,0,0,0,0,0,0,0,0
E02001822,0,0,0,1,4,13,31,63
E02001823,0,0,0,0,2,1,9,16
E02001824,0,0,1,1,7,0,7,6
E02001825,0,0,1,0,0,5,34,55
E02001826,0,0,0,0,0,0,0,0
E02002483,0,0,0,0,0,0,0,0
E02002484,0,0,0,1,2,5,31,53
E02002485,2,0,0,0,0,6,10,13
E02002489,0,36,5,2,7,7,23,54
E02002490,2,0,0,0,8,4,0,0
E02002491,0,0,0,0,0,1,14,21
E02002492,2,0,0,0,3,6,19,37
E02002493,0,0,0,0,4,14,20,16
E02002494,0,0,1,0,1,3,11,17
E02002496,0,367,40,15,24,11,17,10
E02002497,0,0,0,0,3,4,4,15
E02002498,1,4,6,0,1,1,10,12
E02002499,0,0,0,0,3,0,14,18
E02002500,0,0,0,0,5,0,17,25
E02002501,0,0,3,2,13,12,8,15
E02002502,0,7,2,2,0,2,11,9
E02002503,0,0,0,0,0,0,0,0
E02002504,0,0,1,2,9,5,17,19
E02002505,0,0,0,0,0,1,0,0
E02002506,0,1,14,12,14,9,22,38
E02002507,0,0,0,0,5,0,0,0
E02002508,0,1,1,1,0,0,0,0
E02002509,0,0,0,0,5,1,11,11
E02002510,0,0,0,0,0,0,0,0
E02002512,0,0,0,0,6,0,1,0
E02002513,3,4,3,2,5,12,42,60
E02002514,0,0,0,1,2,6,31,62
E02002515,0,3,3,18,34,23,31,78
E02002516,3,0,0,0,0,0,0,0
E02002517,0,0,0,0,0,0,0,0
E02002518,0,0,0,0,0,0,0,0
E02002519,0,0,3,5,7,7,14,21
E02002520,0,0,3,3,5,2,0,0
E02002521,0,0,0,0,7,8,52,87
E02002523,0,0,0,0,0,0,0,0
E02002524,0,0,0,3,1,0,5,6
E02002525,0,0,0,0,6,7,23,31
E02002526,0,0,0,0,4,0,0,0
E02002527,0,0,0,0,3,0,7,28
E02002529,0,0,0,0,0,0,0,0
E02002530,0,0,0,1,1,0,0,0
E02002532,0,0,0,2,7,10,28,36
E02002533,0,0,0,0,0,1,11,30
E02002534,0,0,0,0,1,0,17,33
E02002535,0,0,0,0,2,5,15,20
E02002536,2,2,0,2,4,0,0,0
E02002537,0,0,0,0,1,3,12,27
E02002538,0,0,0,0,9,11,19,26
E02002539,6,1,3,4,14,3,7,13
E02002540,0,0,0,0,0,0,0,0
E02002541,0,0,0,0,2,2,0,22
E02002542,0,0,0,0,1,8,8,10
E02002543,0,0,0,0,2,4,8,11
E02002544,0,5,14,9,4,14,21,47
E02002545,0,0,2,2,0,1,0,0
E02002546,0,0,0,0,3,3,13,34
E02002547,0,0,0,0,0,0,0,0
E02002549,0,0,0,0,0,4,8,23
E02002550,0,2,0,2,2,1,11,33
E02002551,0,1,1,3,5,14,19,18
E02002552,0,0,0,0,0,0,0,0
E02002553,0,0,0,1,0,2,6,14
E02002554,0,0,0,1,4,8,13,24
E02002555,0,0,0,0,1,0,7,32
E02002556,0,0,0,1,0,0,0,0
E02002558,0,0,0,0,0,3,19,29
E02002559,0,0,0,0,0,0,0,0
E02002560,0,1,2,4,1,1,1,0
E02002561,0,0,3,0,4,0,0,0
E02002562,0,0,0,0,2,6,13,37
E02002563,0,0,2,0,1,12,23,60
E02002564,0,0,0,0,2,1,0,0
E02002567,0,0,0,0,0,7,11,4
E02002568,1,0,5,1,3,8,13,18
E02002569,0,0,0,0,4,4,7,47
E02002570,0,0,0,2,8,12,36,74
E02002571,0,0,0,0,0,9,15,32
E02002572,0,0,0,0,2,3,0,0
E02002573,0,12,9,3,4,3,13,51
E02004290,0,0,0,0,0,1,9,20
E02004291,0,0,0,0,0,0,3,7
E02004292,0,0,0,0,0,3,9,41
E02004293,0,3,1,0,0,3,18,27
E02004294,0,1,2,2,3,3,11,24
E02004295,0,0,0,0,2,4,6,10
E02004296,0,0,0,1,2,1,3,0
E02004297,0,0,0,0,12,9,11,38
E02004298,2,3,0,1,2,2,21,35
E02004299,0,0,0,2,2,6,14,36
E02004300,0,0,0,0,0,0,0,0
E02004301,0,0,0,0,1,6,22,38
E02004302,0,0,0,0,1,0,5,7
E02004303,0,0,0,1,5,8,13,32
E02004304,0,0,0,0,3,2,22,51
E02004305,0,0,1,1,0,0,0,0
E02004306,0,0,0,0,0,0,0,0
E02004307,0,0,0,0,10,6,12,15
E02004308,0,16,47,109,28,7,11,18
E02004309,0,0,2,0,0,0,4,20
E02004310,0,1,0,2,5,0,4,0
E02004311,0,0,0,0,0,1,10,18
E02004312,0,0,0,0,2,1,9,10
E02004313,0,72,14,7,2,0,0,0
E02004314,7,2887,111,12,9,2,17,12
E02004315,8,607,59,8,4,7,11,34
E02004316,0,0,0,0,0,0,0,0
E02004317,0,1,3,1,0,8,11,24
E02004318,0,0,0,0,1,4,26,46
E02004319,3,0,0,3,0,3,3,6
E02004320,0,0,0,0,1,3,9,5
E02004321,0,0,5,12,10,7,32,43
E02004322,0,0,0,0,1,2,8,18
E02004323,0,0,3,0,7,0,16,24
E02004324,0,0,2,3,3,0,0,0
E02004325,0,1,0,3,10,16,44,60
E02004326,1,3,1,0,3,2,6,21
E02004327,0,0,0,0,3,3,15,23
E02004328,0,0,0,0,0,1,18,23
E02004329,0,0,5,8,2,9,11,13
E02004330,0,0,3,1,12,8,22,37
E02004331,0,0,2,0,5,7,8,14
E02004332,0,0,0,0,0,0,3,13
E02004333,0,0,0,0,0,0,0,0
E02004334,0,0,0,0,9,3,0,0
E02004335,0,0,0,0,0,6,6,12
E02004336,0,0,0,0,0,5,10,14
E02004337,2,0,0,0,0,3,9,16
E02004338,0,0,0,0,1,5,8,11
E02004339,0,1,1,0,0,3,8,15
E02004340,0,0,0,0,1,11,23,25
E02004341,0,1,0,2,0,3,14,22
E02004342,0,0,1,2,7,7,21,37
E02004343,2,1,1,5,4,11,4,15
E02004344,0,0,0,0,0,3,11,17
E02004345,0,0,0,0,0,4,13,11
E02004348,0,0,1,0,0,4,0,21
E02004349,0,2,0,0,0,2,5,13
E02004350,0,3,1,5,7,6,17,41
E02004351,0,0,0,2,15,9,16,16
E02004352,0,0,0,1,0,9,17,40
E02004353,0,0,0,0,1,3,28,44
E02004354,0,0,0,4,8,3,15,5
E02004355,0,0,0,1,2,4,9,10
E02005702,0,10,3,3,0,11,21,29
E02005703,0,1,2,3,7,3,18,27
E02005704,0,0,0,0,3,2,8,14
E02005705,0,0,0,0,4,1,0,2
E02005706,0,0,0,1,0,8,37,84
E02005707,2,0,1,0,0,3,6,26
E02005708,0,0,0,1,2,1,5,10
E02005709,0,0,0,7,19,15,26,40
E02005710,0,2,1,3,0,21,38,67
E02005711,0,0,0,1,0,0,0,0
E02005712,0,0,1,2,5,0,0,0
E02005713,0,0,0,0,0,0,0,0
E02005715,0,0,0,0,3,7,37,86
E02005717,0,0,0,0,3,3,4,15
E02005718,0,0,0,0,0,0,0,0
E02005719,0,0,0,0,0,0,0,0
E02005720,0,1,0,8,12,15,12,16
E02005721,0,0,0,1,4,9,13,32
E02005722,5,1,0,2,0,0,6,8
E02005723,0,0,0,1,0,0,4,21
E02005724,0,0,0,0,0,0,3,26
E02005725,0,10,0,0,3,6,12,52
E02005726,0,14,13,1,0,0,0,0
E02005727,1,0,0,2,1,0,0,0
E02005728,1,0,2,0,2,0,0,1
E02005729,16,1,0,2,0,5,14,20
E02005730,0,0,0,1,4,4,24,84
E02005731,2,5,0,0,0,4,8,22
E02005733,0,0,1,2,3,9,10,24
E02005734,0,3,1,2,6,3,14,18
E02005735,0,0,0,0,0,0,0,0
E02005736,0,0,0,0,1,7,5,6
E02005739,0,0,0,1,2,0,5,8
E02005740,0,0,0,5,8,10,18,35
E02005741,0,1,0,0,2,8,26,58
E02006811,0,0,0,0,0,0,3,37
E02006812,0,0,0,0,0,1,2,0
E02006841,0,429,3,1,4,5,23,36
E02006842,0,0,0,0,2,6,21,33
E02006893,0,0,0,0,0,0,4,17
E02006909,0,0,0,0,0,4,10,39
E02006910,1,0,2,0,5,3,13,10
E02007022,22,14,1,0,3,5,11,65
E02007058,3,1,0,4,0,0,7,9
E02007059,2,0,0,2,3,2,5,15
E02007060,0,0,0,0,9,5,18,31
E02007061,0,18,1,9,6,4,0,0
E02007062,0,0,0,0,1,11,20,55
E02007063,0,0,0,0,0,0,0,0
E02007094,2,0,0,1,4,1,9,16
E02007095,0,1,0,2,4,8,9,26
E02007096,0,0,0,0,0,0,10,21
E02007097,0,1154,28,1,0,0,0,0
E02007098,0,0,2,2,2,4,23,24
E02007099,3,2168,216,9,5,1,0,0
E02007100,0,2426,160,12,2,0,0,0
E02007101,0,0,3,0,4,5,11,8
E02007102,0,887,74,11,6,0,0,0
E02007103,0,26,0,4,14,6,14,9
E02007104,6,6,7,17,3,3,9,30
E02007105,0,0,0,0,2,5,20,30
E02007106,2,1,0,0,0,6,14,14
E02007107,0,1,1,1,6,3,11,34
