msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02001682,0,0,0,0,0,1,4,11
E02001683,0,0,0,0,0,6,13,19
E02001684,0,0,0,0,0,5,2,4
E02001685,3,2,0,0,3,0,0,0
E02001686,2,2,0,0,4,2,8,4
E02001688,0,2,0,0,2,2,1,2
E02001689,0,1,8,14,10,18,29,15
E02001690,0,4,8,10,18,4,5,7
E02001691,0,0,0,2,4,0,6,6
E02001692,0,0,3,0,0,0,0,0
E02001693,0,0,0,0,0,0,0,0
E02001694,0,0,0,0,0,0,0,0
E02001695,0,0,0,0,0,0,0,0
E02001696,0,0,0,1,0,6,5,12
E02001697,0,0,0,0,3,8,10,7
E02001698,0,0,0,5,11,4,0,1
E02001699,0,0,1,0,1,1,0,0
E02001700,0,0,0,4,2,1,0,0
E02001701,3,0,0,6,25,15,19,9
E02001702,0,0,1,4,8,4,1,2
E02001703,0,0,0,0,0,1,0,0
E02001704,3,1,0,0,1,2,2,4
E02001706,0,0,0,9,1,3,5,4
E02001707,0,0,1,4,13,9,21,16
E02001709,2,1,0,0,0,5,9,13
E02001710,0,0,0,2,5,12,16,14
E02001711,0,6,11,4,2,12,10,6
E02001712,3,66,14,5,0,0,2,13
E02001713,0,14,11,10,3,7,9,4
E02001714,0,1,0,1,1,1,3,4
E02001715,0,0,0,0,0,5,12,12
E02001718,0,0,0,5,8,14,2,0
E02001719,0,2,0,0,0,0,0,0
E02001720,2,9,3,4,3,2,4,2
E02001721,2,2,0,0,2,3,11,8
E02001722,0,0,0,0,1,1,2,3
E02001723,0,0,0,0,0,4,4,7
E02001724,0,75,6,12,14,5,12,15
E02001725,0,9,9,0,1,1,2,0
E02001726,0,0,0,1,3,6,5,5
E02001727,1,0,2,1,1,0,0,0
E02001728,2,2,3,2,0,4,6,0
E02001729,2,436,15,6,0,2,4,9
E02001732,0,0,0,0,0,2,4,6
E02001734,0,0,0,0,4,7,18,11
E02001735,0,0,0,0,0,4,8,7
E02001737,4,3,2,0,5,18,13,8
E02001738,0,0,0,0,0,0,0,0
E02001739,0,0,0,2,3,3,6,1
