area,accommodation type,0-4,5-15,16-17,18-20,21-24,25-29,30+
E00041363,Does not apply,6,0,4,0,7,19,127
E00041363,Living alone,0,0,0,0,0,3,3
E00041363,Living in another household type,0,0,0,0,1,0,0
E00041363,all student household,0,0,0,0,0,0,0
E00041363,communal establishment: Other,0,0,0,0,0,0,0
E00041363,communal establishment: University,0,0,0,0,0,0,0
E00041363,parents,0,8,3,3,0,1,0
E00041364,Does not apply,50,1,0,4,18,35,164
E00041364,Living alone,0,0,0,0,0,1,1
E00041364,Living in another household type,0,6,2,0,2,1,8
E00041364,all student household,0,0,0,8,2,0,0
E00041364,communal establishment: Other,0,0,0,0,0,0,0
E00041364,communal establishment: University,0,0,0,0,0,0,0
E00041364,parents,0,106,5,4,2,0,0
E00041366,Does not apply,12,1,0,4,11,26,116
E00041366,Living alone,0,0,0,1,0,0,1
E00041366,Living in another household type,0,0,0,0,4,0,4
E00041366,all student household,0,0,0,0,2,0,0
E00041366,communal establishment: Other,0,0,0,0,0,0,0
E00041366,communal establishment: University,0,0,0,0,0,0,0
E00041366,parents,0,16,3,1,1,0,0
E00041367,Does not apply,10,0,0,4,7,11,168
E00041367,Living alone,0,0,0,0,0,0,0
E00041367,Living in another household type,0,4,0,0,0,0,2
E00041367,all student household,0,0,0,0,0,0,0
E00041367,communal establishment: Other,0,0,0,0,0,0,0
E00041367,communal establishment: University,0,0,0,0,0,0,0
E00041367,parents,0,23,2,3,0,0,0
E00041368,Does not apply,29,0,0,6,11,15,183
E00041368,Living alone,0,0,0,0,0,1,0
E00041368,Living in another household type,0,1,0,0,0,0,6
E00041368,all student household,0,0,0,0,0,0,1
E00041368,communal establishment: Other,0,0,0,0,0,0,0
E00041368,communal establishment: University,0,0,0,0,0,0,0
E00041368,parents,0,41,5,5,0,3,0
E00041369,Does not apply,26,0,0,10,19,27,206
E00041369,Living alone,0,0,0,0,0,0,0
E00041369,Living in another household type,0,0,0,1,2,1,0
E00041369,all student household,0,0,0,0,0,0,2
E00041369,communal establishment: Other,0,0,0,0,0,0,0
E00041369,communal establishment: University,0,0,0,0,0,0,0
E00041369,parents,0,67,9,4,1,0,0
E00041371,Does not apply,11,0,2,6,15,15,242
E00041371,Living alone,0,0,0,0,0,0,0
E00041371,Living in another household type,0,3,0,2,0,0,1
E00041371,all student household,0,0,0,0,0,0,0
E00041371,communal establishment: Other,0,0,0,0,0,0,0
E00041371,communal establishment: University,0,0,0,0,0,0,0
E00041371,parents,0,37,8,5,2,1,0
E00041372,Does not apply,27,0,0,2,18,14,107
E00041372,Living alone,0,0,0,0,0,0,0
E00041372,Living in another household type,0,3,0,0,0,0,1
E00041372,all student household,0,0,0,0,0,1,3
E00041372,communal establishment: Other,0,0,0,0,0,0,0
E00041372,communal establishment: University,0,0,0,0,0,0,0
E00041372,parents,0,60,9,3,2,0,0
E00041377,Does not apply,0,0,0,2,4,3,178
E00041377,Living alone,0,0,0,0,0,0,1
E00041377,Living in another household type,0,0,0,0,0,0,3
E00041377,all student household,0,0,0,0,0,0,0
E00041377,communal establishment: Other,0,0,0,0,0,0,0
E00041377,communal establishment: University,0,0,0,0,0,0,0
E00041377,parents,0,1,0,0,0,0,0
E00041378,Does not apply,7,0,0,1,10,36,166
E00041378,Living alone,0,0,0,1,0,0,1
E00041378,Living in another household type,0,0,0,1,1,0,0
E00041378,all student household,0,0,0,0,2,0,0
E00041378,communal establishment: Other,0,0,0,0,0,0,0
E00041378,communal establishment: University,0,0,0,0,0,0,0
E00041378,parents,0,16,3,3,1,0,0
E00041381,Does not apply,8,0,0,7,10,18,151
E00041381,Living alone,0,0,0,0,0,0,1
E00041381,Living in another household type,0,0,0,0,0,0,2
E00041381,all student household,0,0,0,0,0,0,0
E00041381,communal establishment: Other,0,0,0,0,0,0,0
E00041381,communal establishment: University,0,0,0,0,0,0,0
E00041381,parents,0,20,3,1,0,1,0
E00041382,Does not apply,2,0,0,0,4,8,97
E00041382,Living alone,0,0,0,1,1,1,0
E00041382,Living in another household type,0,0,0,0,0,1,0
E00041382,all student household,0,0,0,0,0,0,0
E00041382,communal establishment: Other,0,0,0,0,0,0,0
E00041382,communal establishment: University,0,0,0,0,0,0,0
E00041382,parents,0,2,0,1,0,0,0
E00041383,Does not apply,14,0,0,6,7,21,179
E00041383,Living alone,0,0,0,1,0,0,1
E00041383,Living in another household type,0,0,0,0,0,0,2
E00041383,all student household,0,0,0,0,0,0,1
E00041383,communal establishment: Other,0,0,0,0,0,0,0
E00041383,communal establishment: University,0,0,0,0,0,0,0
E00041383,parents,0,33,1,4,0,0,0
E00041384,Does not apply,20,0,1,7,33,58,224
E00041384,Living alone,0,0,0,1,6,3,1
E00041384,Living in another household type,0,2,0,1,2,2,1
E00041384,all student household,0,0,0,0,0,0,1
E00041384,communal establishment: Other,0,0,0,0,0,0,0
E00041384,communal establishment: University,0,0,0,0,0,0,0
E00041384,parents,0,24,3,2,0,1,0
E00041385,Does not apply,8,0,1,8,8,20,147
E00041385,Living alone,0,0,0,0,0,2,0
E00041385,Living in another household type,0,0,0,0,2,2,1
E00041385,all student household,0,0,0,0,0,0,1
E00041385,communal establishment: Other,0,0,0,0,0,0,0
E00041385,communal establishment: University,0,0,0,0,0,0,0
E00041385,parents,0,9,2,0,0,0,0
E00041386,Does not apply,28,1,0,1,17,93,251
E00041386,Living alone,0,0,0,0,0,3,2
E00041386,Living in another household type,0,0,0,0,2,7,3
E00041386,all student household,0,0,0,1,3,1,0
E00041386,communal establishment: Other,0,0,0,0,0,0,0
E00041386,communal establishment: University,0,0,0,0,0,0,0
E00041386,parents,0,36,4,2,0,0,0
E00041388,Does not apply,16,0,1,7,14,22,201
E00041388,Living alone,0,0,0,0,0,0,0
E00041388,Living in another household type,0,0,0,0,1,0,2
E00041388,all student household,0,0,0,0,2,2,2
E00041388,communal establishment: Other,0,0,0,0,0,0,0
E00041388,communal establishment: University,0,0,0,0,0,0,0
E00041388,parents,0,57,8,5,1,0,0
E00041389,Does not apply,9,0,0,0,10,15,125
E00041389,Living alone,0,0,0,0,0,0,0
E00041389,Living in another household type,0,0,0,0,1,0,2
E00041389,all student household,0,0,0,0,0,0,0
E00041389,communal establishment: Other,0,0,0,0,0,0,0
E00041389,communal establishment: University,0,0,0,0,0,0,0
E00041389,parents,0,27,1,3,0,1,0
E00041390,Does not apply,14,0,0,6,21,28,245
E00041390,Living alone,0,0,0,0,1,0,0
E00041390,Living in another household type,0,0,0,1,0,0,1
E00041390,all student household,0,0,0,0,2,2,0
E00041390,communal establishment: Other,0,0,0,0,0,0,0
E00041390,communal establishment: University,0,0,0,0,0,0,0
E00041390,parents,0,52,5,3,2,0,0
E00041393,Does not apply,29,0,1,5,16,29,162
E00041393,Living alone,0,0,0,0,0,1,4
E00041393,Living in another household type,0,0,0,1,1,1,1
E00041393,all student household,0,0,0,0,0,2,0
E00041393,communal establishment: Other,0,0,0,0,0,0,0
E00041393,communal establishment: University,0,0,0,0,0,0,0
E00041393,parents,0,36,3,0,0,0,0
E00041394,Does not apply,17,0,0,7,12,25,244
E00041394,Living alone,0,0,0,1,0,0,1
E00041394,Living in another household type,0,2,0,0,2,0,2
E00041394,all student household,0,0,0,0,0,0,0
E00041394,communal establishment: Other,0,0,0,0,0,0,0
E00041394,communal establishment: University,0,0,0,0,0,0,0
E00041394,parents,0,50,6,5,2,0,1
E00041395,Does not apply,19,0,0,7,9,9,187
E00041395,Living alone,0,0,0,0,2,1,0
E00041395,Living in another household type,0,6,0,1,0,0,3
E00041395,all student household,0,0,4,7,0,0,0
E00041395,communal establishment: Other,0,0,87,49,0,0,0
E00041395,communal establishment: University,0,0,0,0,0,0,0
E00041395,parents,0,64,8,5,2,0,0
E00041397,Does not apply,12,0,1,1,11,18,185
E00041397,Living alone,0,0,0,0,0,0,0
E00041397,Living in another household type,0,1,0,0,1,0,2
E00041397,all student household,0,0,0,0,0,0,0
E00041397,communal establishment: Other,0,0,0,0,0,0,0
E00041397,communal establishment: University,0,0,0,0,0,0,0
E00041397,parents,0,26,6,5,3,1,0
E00041399,Does not apply,4,0,1,1,17,26,157
E00041399,Living alone,0,0,0,0,0,0,0
E00041399,Living in another household type,0,0,0,0,2,1,1
E00041399,all student household,0,0,0,0,0,0,0
E00041399,communal establishment: Other,0,0,0,0,0,0,0
E00041399,communal establishment: University,0,0,0,0,0,0,0
E00041399,parents,0,11,6,1,2,0,0
E00041400,Does not apply,17,0,2,5,18,28,196
E00041400,Living alone,0,0,0,0,0,2,0
E00041400,Living in another household type,0,1,0,1,0,1,0
E00041400,all student household,0,0,0,0,2,2,0
E00041400,communal establishment: Other,0,0,0,0,0,0,0
E00041400,communal establishment: University,0,0,0,0,0,0,0
E00041400,parents,0,22,2,0,2,0,0
E00041401,Does not apply,23,0,1,4,20,33,134
E00041401,Living alone,0,0,0,0,0,0,0
E00041401,Living in another household type,0,1,0,0,1,1,1
E00041401,all student household,0,0,0,0,2,2,3
E00041401,communal establishment: Other,0,0,0,0,0,0,0
E00041401,communal establishment: University,0,0,0,0,0,0,0
E00041401,parents,0,36,4,8,3,1,0
E00041402,Does not apply,43,0,0,17,18,26,180
E00041402,Living alone,0,0,0,1,0,0,0
E00041402,Living in another household type,0,7,0,1,0,3,1
E00041402,all student household,0,0,0,0,0,0,0
E00041402,communal establishment: Other,0,0,0,0,0,0,0
E00041402,communal establishment: University,0,0,0,0,0,0,0
E00041402,parents,0,52,8,4,3,0,3
E00041404,Does not apply,12,0,0,7,15,16,212
E00041404,Living alone,0,0,0,0,0,0,0
E00041404,Living in another household type,0,3,0,2,0,0,0
E00041404,all student household,0,0,0,0,0,0,0
E00041404,communal establishment: Other,0,0,0,0,0,0,0
E00041404,communal establishment: University,0,0,0,0,0,0,0
E00041404,parents,0,30,8,1,1,1,0
E00041405,Does not apply,4,1,0,0,1,4,124
E00041405,Living alone,0,0,0,0,0,0,1
E00041405,Living in another household type,0,0,0,0,0,0,0
E00041405,all student household,0,0,0,0,2,2,0
E00041405,communal establishment: Other,0,0,0,0,0,0,0
E00041405,communal establishment: University,0,0,0,0,0,0,0
E00041405,parents,0,4,1,1,1,0,0
E00041406,Does not apply,17,0,0,1,23,22,151
E00041406,Living alone,0,0,0,0,1,0,2
E00041406,Living in another household type,0,0,0,1,1,2,0
E00041406,all student household,0,0,0,0,0,0,0
E00041406,communal establishment: Other,0,0,0,0,0,0,0
E00041406,communal establishment: University,0,0,0,0,0,0,0
E00041406,parents,0,27,6,1,1,0,0
E00041407,Does not apply,34,0,0,7,12,35,153
E00041407,Living alone,0,0,0,1,0,0,2
E00041407,Living in another household type,0,0,0,0,0,2,3
E00041407,all student household,0,0,0,0,6,0,0
E00041407,communal establishment: Other,0,0,0,0,0,0,0
E00041407,communal establishment: University,0,0,0,0,0,0,0
E00041407,parents,0,56,1,2,0,0,0
E00041408,Does not apply,24,0,2,5,18,14,134
E00041408,Living alone,0,0,0,0,1,1,0
E00041408,Living in another household type,0,0,0,0,0,0,0
E00041408,all student household,0,0,0,4,3,1,0
E00041408,communal establishment: Other,0,0,0,0,0,0,0
E00041408,communal establishment: University,0,0,0,0,0,0,0
E00041408,parents,0,29,4,2,2,0,0
E00041409,Does not apply,27,1,0,6,8,16,181
E00041409,Living alone,0,0,0,0,0,0,0
E00041409,Living in another household type,0,3,0,0,0,1,2
E00041409,all student household,0,0,0,0,0,0,0
E00041409,communal establishment: Other,0,0,0,0,0,0,0
E00041409,communal establishment: University,0,0,0,0,0,0,0
E00041409,parents,0,51,8,5,1,0,0
E00041410,Does not apply,0,0,2,3,11,11,184
E00041410,Living alone,0,0,0,0,0,0,0
E00041410,Living in another household type,0,0,0,1,1,1,2
E00041410,all student household,0,0,0,0,0,0,0
E00041410,communal establishment: Other,0,0,0,0,0,0,0
E00041410,communal establishment: University,0,0,0,0,0,0,0
E00041410,parents,0,1,0,0,2,0,0
E00041411,Does not apply,0,0,0,0,5,4,98
E00041411,Living alone,0,0,0,0,0,0,0
E00041411,Living in another household type,0,0,0,0,0,0,1
E00041411,all student household,0,0,0,3,2,0,0
E00041411,communal establishment: Other,0,0,0,0,0,0,0
E00041411,communal establishment: University,0,0,0,0,0,0,0
E00041411,parents,0,5,5,1,0,0,0
E00041413,Does not apply,7,0,0,4,8,15,124
E00041413,Living alone,0,0,0,0,0,0,0
E00041413,Living in another household type,0,0,0,0,1,0,1
E00041413,all student household,0,0,0,2,1,0,0
E00041413,communal establishment: Other,0,0,0,0,0,0,0
E00041413,communal establishment: University,0,0,0,0,0,0,0
E00041413,parents,0,24,1,3,0,0,0
E00041414,Does not apply,32,0,0,3,6,12,92
E00041414,Living alone,0,0,0,0,0,0,1
E00041414,Living in another household type,0,0,0,0,4,0,2
