Name,Remand,Sentenced,Non-criminal,area,msoa
Altcourse,456,661,13,E00176728,E02001351
Buckley Hall,*,443,*,E00172363,E02001136
Forest Bank,561,674,20,E00172963,E02001164
Garth,*,792,*,E00170510,E02005195
Haverigg,*,303,*,E00097466,E02004007
Hindley,*,549,2,E00181441,E02001312
Kirkham,*,491,*,E00174064,E02005205
Lancaster Farms,*,524,*,E00185618,E02005233
Liverpool,184,611,9,E00182973,E02001349
Manchester,22,608,1,E00175942,E02006915
Preston,306,359,14,E00181968,E02005266
Risley,1,907,28,E00188925,E02002590
Styal,91,277,1,E00174371,E02003859
Thorn Cross,*,328,*,E00062779,E02002613
Wymott,*,1010,1,E00170510,E02005195
