msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02000984,0,0,0,0,0,0,0,0
E02000985,0,0,0,0,0,0,0,0
E02000986,0,0,0,0,2,0,3,6
E02000987,0,0,0,1,7,3,9,9
E02000988,2,0,1,3,8,6,10,10
E02000989,0,0,0,0,0,0,0,0
E02000990,0,0,0,4,2,1,0,0
E02000991,0,0,0,0,0,0,1,0
E02000992,0,0,0,0,0,0,9,3
E02000993,0,0,0,0,0,0,0,0
E02000994,0,0,0,0,0,0,0,0
E02000995,0,2,1,4,1,2,0,7
E02000996,6,6,0,0,2,6,13,19
E02000997,0,0,0,0,2,5,11,15
E02000998,0,4,1,5,14,9,10,1
E02000999,0,119,36,16,13,10,26,19
E02001000,0,15,14,23,23,8,11,7
E02001001,47,41,0,3,20,2,15,4
E02001002,0,0,0,0,0,0,0,0
E02001003,0,0,0,0,0,0,0,3
E02001004,0,0,0,0,0,0,1,0
E02001005,0,36,5,0,3,1,10,6
E02001006,0,0,0,0,7,5,5,0
E02001007,0,0,3,1,2,0,0,0
E02001008,0,2,1,1,0,2,11,7
E02001009,0,2,0,0,0,0,0,0
E02001010,1,3,2,3,0,3,0,1
E02001011,0,0,0,0,0,0,0,0
E02001012,0,0,0,0,0,0,0,0
E02001013,0,3,0,0,1,1,8,3
E02001014,0,0,0,0,0,0,1,7
E02001015,0,0,0,4,22,14,17,18
E02001016,0,0,0,0,0,0,0,1
E02001017,0,0,1,2,1,0,0,0
E02001018,0,0,0,0,0,0,0,0
E02001019,79,98,2,0,0,0,0,0
E02001020,0,0,0,0,0,1,0,5
E02001021,0,0,1,2,11,13,16,11
E02001022,2,6,4,6,19,13,16,10
E02001023,0,0,0,0,2,3,2,2
E02001024,3,4,1,12,12,2,1,0
E02001025,0,5,0,0,3,3,6,6
E02001026,0,0,7,7,14,11,5,5
E02001027,4,2,9,11,25,13,16,8
E02001028,0,0,0,0,0,0,5,5
E02001029,0,14,3,5,7,4,1,2
E02001030,0,0,0,0,0,2,1,2
E02001031,0,0,0,0,1,0,0,0
E02001032,0,1,0,1,3,4,13,8
E02001033,0,0,0,0,0,0,0,0
E02001034,0,0,2,3,4,0,2,3
E02001035,0,0,0,0,0,0,0,0
E02001036,0,0,0,0,0,0,0,0
E02001037,0,0,0,0,0,9,11,16
E02001038,0,0,0,0,1,1,0,3
E02001039,0,0,0,0,0,0,0,0
E02001040,0,8,41,37,28,10,3,3
E02001041,0,0,0,0,0,4,7,5
E02001042,0,0,0,3,9,9,0,0
E02001043,0,0,0,0,2,3,6,24
E02001044,0,1,0,1,15,3,0,3
E02001045,0,0,0,0,2,0,0,0
E02001046,0,0,0,2,5,9,9,4
E02001047,0,0,1,3,5,5,12,7
E02001048,0,0,1,9,16,4,4,0
E02001049,0,0,0,0,0,2,4,16
E02001050,0,11,17,17,11,20,4,14
E02001051,0,0,0,0,2,1,5,3
E02001052,0,0,0,12,17,19,6,2
E02001053,0,0,13,7,6,2,0,0
E02001055,0,2,0,6,36,48,39,16
E02001056,0,0,0,0,13,13,15,2
E02001059,0,4,12,30,21,1,2,3
E02001061,6,5,3,1,1,0,0,0
E02001062,2,304,88,11,2,3,1,0
E02001063,0,1274,96,11,0,0,0,0
E02001064,0,0,3,2,11,16,24,12
E02001065,4,4,3,7,4,1,0,0
E02001066,1,528,87,60,33,9,0,3
E02001067,0,0,2,0,0,0,0,0
E02001068,0,0,2,1,0,0,0,0
E02001069,0,229,22,1,0,0,0,0
E02001070,1,1233,49,10,9,4,3,0
E02001072,0,5,16,7,8,11,5,5
E02001073,0,7,7,16,29,5,4,1
E02001074,0,14,24,10,24,14,10,19
E02001075,0,0,4,6,8,0,2,0
E02001076,0,1044,13,5,3,0,0,0
E02001077,0,0,1,0,0,0,0,0
E02001078,0,7,3,4,0,2,0,0
E02001079,0,0,4,6,6,0,4,0
E02001080,0,5,0,0,1,0,0,0
E02001081,0,0,0,0,0,0,0,0
E02001082,0,11,1,0,4,4,3,3
E02001083,0,0,0,0,1,5,11,6
E02001084,0,0,0,0,0,0,4,5
E02001085,0,0,0,0,0,0,0,0
E02001086,0,9,24,7,4,0,14,8
E02001087,0,7,4,4,1,0,0,0
E02001088,0,2,2,9,6,4,16,6
E02001089,0,2,6,0,0,0,0,0
E02001090,0,0,1,1,8,4,0,0
E02001091,0,0,0,0,2,1,0,1
E02001092,0,0,0,0,0,0,0,0
E02001093,0,4,0,0,1,10,19,23
E02001094,0,0,0,0,0,0,0,0
E02001095,0,0,1,3,2,0,0,0
E02001096,0,0,0,0,0,0,0,0
E02001097,0,0,0,0,3,2,12,5
E02001098,0,0,0,0,2,0,0,0
E02001099,0,0,0,0,1,0,0,0
E02001100,0,0,0,0,2,12,10,10
E02001101,0,0,0,0,0,0,0,0
E02001102,0,0,0,0,0,0,0,0
E02001103,4,1,0,0,0,0,0,0
E02001104,0,0,0,4,10,10,10,6
E02001105,0,0,0,0,0,0,2,3
E02001106,0,0,1,2,5,6,9,5
E02001107,0,0,0,0,0,1,0,0
E02001108,0,0,0,1,2,2,10,7
E02001109,4,0,5,8,8,4,5,3
E02001110,0,0,0,0,0,1,4,15
E02001111,0,0,2,7,2,2,2,4
E02001112,0,0,0,0,0,0,0,0
E02001113,0,0,1,1,0,0,0,0
E02001114,0,0,2,0,7,7,16,6
E02001115,0,1,0,0,0,3,4,6
E02001116,0,0,0,0,0,1,10,4
E02001117,0,0,1,1,2,0,0,0
E02001118,0,0,0,0,0,0,6,3
E02001119,0,0,0,0,14,27,20,15
E02001121,0,0,3,5,7,0,1,2
E02001123,0,2,3,7,3,0,0,0
E02001124,0,0,0,0,0,0,0,0
E02001125,1,0,0,0,0,1,4,5
E02001126,0,0,0,1,5,1,3,2
E02001127,0,0,0,0,0,0,0,0
E02001128,0,0,3,1,0,0,0,0
E02001129,0,0,0,0,4,6,14,9
E02001130,0,0,0,0,0,3,2,3
E02001131,0,0,0,0,0,0,0,0
E02001132,0,0,0,0,0,5,12,12
E02001133,0,5,6,0,0,0,0,0
E02001134,0,0,0,2,3,6,13,5
E02001135,0,1,10,11,1,6,1,4
E02001136,0,19,172,151,67,11,3,3
E02001137,0,0,0,1,0,0,0,0
E02001138,0,0,0,0,2,2,11,13
E02001139,0,5,2,5,3,0,0,0
E02001140,0,0,1,3,6,2,4,8
E02001141,0,0,19,17,10,3,0,0
E02001142,0,0,0,3,12,6,15,3
E02001143,0,0,1,2,11,12,6,3
E02001144,0,0,0,7,11,6,1,1
E02001145,1,2,0,0,2,0,1,4
E02001146,0,0,0,3,29,4,9,4
E02001147,0,0,0,2,7,8,11,2
E02001148,0,0,0,0,7,16,12,15
E02001149,0,0,0,0,0,0,0,0
E02001150,0,0,0,1,8,6,8,10
E02001151,0,0,0,0,1,5,18,5
E02001152,0,2,1,1,5,2,4,4
E02001153,0,0,0,0,0,0,2,0
E02001154,0,0,0,0,2,3,4,6
E02001155,4,2,0,0,3,7,8,5
E02001156,0,0,0,0,0,0,0,0
E02001157,0,0,0,0,2,4,7,8
E02001158,0,0,0,0,1,0,2,2
E02001159,0,0,0,0,0,0,0,0
E02001160,0,0,0,0,2,0,1,2
E02001161,0,0,0,0,0,0,1,0
E02001162,0,0,0,0,0,5,0,4
E02001163,0,1,0,0,0,4,3,0
E02001164,0,162,313,282,79,6,3,0
E02001165,0,0,0,0,3,1,0,0
E02001166,6,10,3,2,8,5,9,6
E02001167,0,0,1,1,0,0,0,0
E02001168,0,0,2,6,7,5,8,7
E02001169,0,0,0,0,2,5,4,0
E02001170,0,0,0,0,0,1,9,5
E02001171,0,0,0,0,0,0,2,5
E02001173,0,361,26,21,16,1,0,0
E02001174,0,2,2,3,7,5,4,6
E02001175,0,0,1,1,1,0,0,0
E02001176,0,1,1,6,2,8,15,19
E02001177,0,0,19,21,26,13,3,4
E02001179,0,16,0,1,4,3,2,0
E02001180,0,250,21,26,12,0,0,0
E02001181,0,0,5,7,0,0,0,0
E02001182,0,0,0,1,2,6,4,6
E02001183,0,0,3,4,20,4,3,0
E02001185,0,0,0,0,0,4,3,2
E02001186,0,0,0,0,0,0,0,0
E02001187,0,0,0,0,1,2,0,0
E02001188,0,0,0,0,0,1,1,0
E02001189,0,0,0,0,1,0,2,2
E02001190,0,0,11,9,4,6,24,16
E02001191,0,0,0,0,0,0,3,6
E02001192,2,1,7,6,1,4,13,1
E02001193,0,5,14,4,1,0,0,0
E02001194,1,1,0,0,0,2,1,2
E02001195,0,0,0,0,0,4,11,6
E02001196,0,0,0,0,1,3,15,6
E02001197,4,1,0,0,0,0,0,0
E02001198,0,0,0,0,0,3,9,10
E02001199,0,3,0,0,0,0,0,0
E02001200,0,0,0,0,2,6,11,11
E02001201,0,0,0,0,0,0,0,0
E02001202,0,0,0,0,2,7,6,0
E02001203,0,0,0,0,0,0,1,3
E02001204,0,0,0,0,1,7,7,10
E02001205,2,0,0,4,1,0,0,0
E02001206,0,0,0,1,6,7,4,10
E02001207,3,0,0,5,2,0,0,1
E02001208,0,0,0,0,0,3,4,11
E02001209,0,0,0,0,0,1,6,10
E02001210,5,0,0,0,0,4,2,3
E02001211,2,1,0,5,4,1,2,7
E02001212,1,0,0,0,2,3,13,3
E02001213,6,6,1,1,2,3,15,14
E02001214,0,0,2,0,9,0,0,0
E02001215,0,0,0,1,3,17,9,5
E02001216,0,0,0,0,0,0,0,0
E02001217,6,0,0,0,1,3,8,4
E02001218,0,0,0,0,1,4,6,6
E02001219,0,1,0,0,1,0,0,0
E02001220,0,0,0,0,0,0,0,0
E02001221,0,0,0,1,4,4,6,9
E02001222,0,8,6,9,7,0,0,0
E02001223,0,0,0,0,0,1,4,16
E02001224,0,0,1,1,12,6,12,7
E02001225,0,1,0,0,1,0,0,0
E02001226,10,36,3,4,0,0,0,0
E02001227,0,0,0,0,0,0,1,0
E02001228,0,0,0,0,1,0,6,17
E02001229,0,1,4,12,12,5,6,4
E02001230,0,0,0,0,0,0,0,0
E02001231,0,0,0,0,0,0,0,0
E02001232,6,0,0,0,0,1,4,8
E02001233,0,0,0,0,9,15,25,11
E02001234,0,0,0,0,3,8,25,3
E02001235,0,2,0,0,0,0,4,1
E02001236,0,0,0,0,0,3,11,14
E02001237,0,2,0,0,2,6,8,7
E02001238,0,1,0,2,0,0,0,0
E02001239,0,0,0,0,0,2,5,6
E02001240,0,0,0,0,0,0,0,0
E02001241,0,0,0,0,1,7,1,3
E02001242,0,0,0,0,0,1,0,6
E02001243,4,1,0,0,0,0,0,0
E02001244,0,0,0,0,0,0,0,0
E02001245,0,0,0,0,1,5,4,10
E02001246,3,0,0,0,0,5,13,11
E02001247,0,0,0,0,1,4,5,2
E02001248,0,0,0,0,2,0,0,0
E02001249,0,0,0,0,0,0,0,0
E02001250,0,0,0,0,0,2,5,4
E02001251,3,0,0,0,0,2,2,0
E02001252,0,0,0,0,0,0,0,0
E02001253,0,0,0,0,0,1,7,1
E02001254,0,0,0,0,0,0,1,4
E02001255,0,0,0,0,2,0,0,0
E02001256,0,0,0,0,16,14,24,19
E02001257,5,2,0,0,1,1,3,1
E02001258,0,0,0,0,2,2,14,6
E02001259,0,8,5,9,26,9,1,0
E02001260,0,0,1,2,4,1,0,0
E02001261,0,0,1,2,0,0,0,0
E02001262,0,4,0,3,1,4,0,1
E02001263,0,3,7,4,10,5,9,8
E02001264,0,0,0,0,0,0,0,0
E02001265,0,0,0,0,0,0,6,5
E02001266,0,0,0,0,0,0,3,3
E02001267,0,1,0,0,3,4,5,9
E02001268,0,0,1,5,11,9,15,11
E02001269,0,1,2,1,0,0,1,0
E02001270,0,2,5,1,3,2,5,6
