Name,Not Recorded,area,msoa
Altcourse,20,E00176728,E02001351
Buckley Hall,*,E00172363,E02001136
Forest Bank,4,E00172963,E02001164
Garth,1,E00170510,E02005195
Haverigg,*,E00097466,E02004007
Hindley,*,E00181441,E02001312
Kirkham,*,E00174064,E02005205
Lancaster Farms,*,E00185618,E02005233
Liverpool,2,E00182973,E02001349
Manchester,*,E00175942,E02006915
Preston,2,E00181968,E02005266
Risley,*,E00188925,E02002590
Styal,*,E00174371,E02003859
Thorn Cross,*,E00062779,E02002613
Wymott,1,E00170510,E02005195
