Prison,Predominant Function,Designation,Postcode,area,msoa,total communal residents,other_prison_service
Altcourse,Reception,Dual Designated Prison,L97LH,E00176728,E02001351,682,675.0
Buckley Hall,Cat C,Prison,OL129DP,E00172363,E02001136,428,428.0
Forest Bank,Reception,Dual Designated Prison,M278FB,E00172963,E02001164,896,896.0
Garth,Cat B,Prison,PR268NE,E00170510,E02005195,1779,1779.0
Haverigg,Open,Prison,LA184NA,E00097466,E02004007,295,295.0
Hindley,Cat C,Dual Designated Prison,WN25TH,E00181441,E02001312,497,498.0
Kirkham,Open,Prison,PR42RN,E00174064,E02005205,461,461.0
Lancaster Farms,Cat C,Prison,LA13QZ,E00185618,E02005233,464,464.0
Liverpool,Reception,Prison,L93DF0,E00182973,E02001349,585,585.0
Manchester,Cat B,Dual Designated Prison,M609AH,E00175942,E02006915,656,652.0
Preston,Reception,Dual Designated Prison,PR15AB,E00181968,E02005266,405,405.0
Risley,Cat C,Prison,WA36BP,E00188925,E02002590,940,940.0
Styal,Female,Dual Designated Prison,SK94HR,E00174371,E02003859,336,264.0
Thorn Cross,Open,Dual Designated Prison,WA44RL,E00062779,E02002613,313,313.0
Wymott,Cat C,Prison,PR268LW,E00170510,E02005195,1779,1779.0
