Name,15 - 17,18 - 20,21 - 24,25 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 and over,area,msoa
Aylesbury,*,209,44,*,*,*,*,*,*,E00178390,E02003665
Bronzefield,*,12,42,68,176,129,43,13,5,E00156619,E02006405
Bullingdon,*,74,145,176,349,192,84,34,15,E00169031,E02005936
Coldingley,*,*,37,93,168,84,45,11,5,E00167820,E02006421
Cookham Wood,74,12,*,*,*,*,*,*,*,E00167420,E02003337
Downview,*,*,22,37,82,33,32,5,*,E00170403,E02006376
East Sutton Park,*,*,4,8,24,17,16,7,*,E00123682,E02005084
Elmley (Sheppey cluster),*,62,122,197,375,187,114,30,16,E00189650,E02005120
Ford,*,*,22,59,138,87,56,16,6,E00184735,E02006547
Grendon/Spring Hill,*,*,15,51,133,116,64,19,5,E00169125,E02003661
High Down,*,17,107,229,408,233,106,47,18,E00170403,E02006376
Huntercombe,*,*,42,92,158,107,23,6,*,E00186049,E02005968
Isle of Wight,*,*,36,80,183,121,128,75,23,E00172713,E02003588
Lewes,*,27,56,99,179,87,59,19,10,E00106857,E02004383
Maidstone,*,*,88,144,185,108,30,*,*,E00186663,E02005071
Rochester,*,39,103,138,233,106,44,13,4,E00167420,E02003337
Send,*,*,*,20,70,34,27,11,*,E00155365,E02006344
Standford Hill (Sheppey cluster),*,7,24,66,166,97,71,22,5,E00124937,E02005120
Swaleside (Sheppey cluster),*,*,89,223,313,184,107,33,22,E00124937,E02005120
Winchester,*,36,57,77,158,84,44,11,8,E00184857,E02004833
Woodhill,*,6,72,122,174,87,39,7,*,E00183648,E02007016
