msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02003314,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003317,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02003318,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
E02003319,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
E02003320,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,2,9
E02003321,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003322,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,8
E02003323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02003325,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,5
E02003326,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
E02003327,0,4,0,0,0,0,0,0,0,0,0,2,0,0,6,1,13
E02003328,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,10
E02003329,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
E02003330,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
E02003331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02003332,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
E02003333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003334,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
E02003335,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02003336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02003337,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6
E02003338,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3
E02003339,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
