Name,A Asian / Asian British,B Black / African / Caribbean / Black British,C Mixed / Multiple ethnic groups,D Other ethnic group,E White,F Not recorded,G Not stated,area,msoa
Aylesbury,21,93,33,*,96,*,*,E00178390,E02003665
Bronzefield,20,77,41,8,341,1,*,E00156619,E02006405
Bullingdon,123,120,78,13,730,*,5,E00169031,E02005936
Coldingley,30,124,32,*,251,*,*,E00167820,E02006421
Cookham Wood,*,44,8,*,21,1,7,E00167420,E02003337
Downview,13,30,17,*,155,*,*,E00170403,E02006376
East Sutton Park,*,8,*,*,61,*,*,E00123682,E02005084
Elmley (Sheppey cluster),30,134,42,19,869,*,*,E00189650,E02005120
Ford,39,77,18,*,239,1,*,E00184735,E02006547
Grendon/Spring Hill,43,71,18,*,262,1,*,E00169125,E02003661
High Down,96,273,79,19,685,10,3,E00170403,E02006376
Huntercombe,66,116,20,23,203,*,*,E00186049,E02005968
Isle of Wight,50,74,17,6,494,2,3,E00172713,E02003588
Lewes,21,63,26,11,412,*,3,E00106857,E02004383
Maidstone,59,155,23,39,282,*,3,E00186663,E02005071
Rochester,18,81,29,6,541,2,3,E00167420,E02003337
Send,12,26,*,*,123,1,*,E00155365,E02006344
Standford Hill (Sheppey cluster),42,109,37,6,260,*,*,E00124937,E02005120
Swaleside (Sheppey cluster),67,260,54,23,554,4,9,E00124937,E02005120
Winchester,14,48,19,*,371,20,*,E00184857,E02004833
Woodhill,43,125,43,*,284,1,*,E00183648,E02007016
