msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02003314,0,0,0,0,0,5,10,17
E02003315,0,0,0,0,0,0,0,0
E02003316,0,0,0,0,0,0,0,0
E02003317,0,0,0,1,12,9,12,14
E02003318,3,1,0,0,1,0,1,0
E02003319,0,1,2,6,17,14,14,31
E02003320,0,84,10,2,0,0,0,0
E02003321,0,0,0,1,0,0,0,0
E02003322,0,296,14,6,0,0,0,0
E02003323,0,0,0,0,0,2,7,16
E02003324,0,0,0,0,0,0,0,0
E02003325,0,46,1,0,0,1,0,0
E02003326,0,0,0,0,3,10,3,20
E02003327,10,10,4,2,4,5,3,0
E02003328,2,147,20,2,5,0,0,0
E02003329,0,0,0,4,4,4,6,8
E02003330,0,1,1,0,6,4,5,5
E02003331,0,0,0,0,0,0,0,0
E02003332,0,0,0,1,1,14,43,69
E02003333,0,0,0,0,0,5,12,18
E02003334,0,0,0,0,0,4,12,18
E02003335,0,0,0,1,1,0,0,0
E02003336,0,0,0,0,0,0,0,0
E02003337,0,1,3,2,1,2,16,32
E02003338,0,1,0,0,0,0,0,0
E02003339,0,0,0,1,1,5,37,49
E02003340,0,0,0,0,0,5,11,34
E02003341,0,0,0,0,0,0,0,0
E02003342,0,0,0,3,6,5,7,14
E02003343,0,0,0,0,0,0,0,0
E02003344,0,0,0,0,0,0,0,0
E02003345,0,0,0,0,0,0,0,0
E02003346,0,0,0,0,0,3,6,24
E02003347,0,0,0,0,0,0,0,0
E02003348,0,0,4,0,6,3,15,39
E02003349,0,1,3,1,4,3,7,17
E02003350,2,0,1,0,1,0,0,0
E02003351,0,0,0,0,1,0,0,0
E02003352,5,2,0,0,0,0,0,0
E02003353,18,4,15,15,5,0,5,11
E02003354,0,0,0,0,2,2,4,8
E02003355,0,0,0,0,0,0,0,0
E02003356,101,50,0,0,0,3,7,17
E02003357,0,0,0,3,0,0,1,0
E02003358,0,0,0,0,0,6,12,37
E02003359,0,0,0,0,0,0,0,0
E02003360,0,0,0,0,0,1,0,0
E02003361,0,0,0,0,0,0,0,0
E02003362,0,0,2,3,1,0,0,0
E02003363,165,197,17,29,12,0,22,48
E02003364,0,0,0,0,0,0,0,0
E02003365,10,1,0,0,3,4,4,12
E02003366,0,44,29,6,3,0,0,1
E02003367,40,49,0,1,1,0,0,0
E02003368,0,0,0,0,0,0,0,0
E02003369,25,47,2,4,1,0,1,11
E02003370,0,4,8,6,17,7,1,0
E02003371,0,0,2,0,2,0,0,0
E02003372,0,0,0,0,0,0,1,0
E02003373,312,157,10,7,4,1,5,11
E02003374,0,2,0,1,3,0,0,0
E02003375,0,0,0,0,0,0,4,7
E02003376,0,2,0,3,5,5,8,21
E02003377,125,133,9,7,5,4,1,0
E02003378,0,0,0,0,1,1,9,44
E02003379,0,0,1,0,1,4,21,58
E02003380,0,0,0,1,1,0,0,0
E02003381,0,0,0,1,0,2,2,20
E02003382,0,0,0,0,0,0,11,26
E02003383,0,0,0,0,4,0,0,0
E02003384,0,0,0,0,1,7,3,29
E02003385,2,0,2,4,4,0,4,14
E02003386,0,0,0,0,0,0,6,7
E02003387,0,2,1,4,2,2,10,9
E02003388,3,13,0,0,0,0,1,0
E02003389,0,1,0,0,2,1,0,0
E02003390,0,0,0,0,6,0,0,0
E02003391,86,39,5,0,3,0,12,33
E02003392,0,0,3,4,0,1,0,0
E02003393,0,2,1,0,2,5,5,8
E02003394,0,0,1,0,2,2,19,24
E02003395,0,0,2,1,0,0,0,0
E02003396,0,0,1,4,1,0,0,0
E02003397,0,0,0,0,0,0,1,0
E02003398,0,35,3,2,0,3,0,0
E02003400,0,79,7,0,2,4,28,64
E02003401,0,9,11,12,25,15,14,60
E02003402,1,249,29,3,2,2,0,0
E02003403,0,1,2,4,0,0,0,1
E02003404,13,1100,67,6,2,3,6,15
E02003405,0,0,0,0,2,0,0,1
E02003406,0,0,0,0,0,0,0,0
E02003407,0,0,0,0,0,0,0,0
E02003408,0,0,0,0,0,0,0,0
E02003409,0,0,0,0,0,2,9,15
E02003410,0,2,2,0,0,0,1,0
E02003411,0,0,0,1,0,4,15,28
E02003412,0,0,0,0,3,1,3,0
E02003414,0,0,0,0,0,0,0,0
E02003415,0,0,9,12,6,12,33,43
E02003416,0,0,0,0,0,0,0,0
E02003417,0,0,8,1,8,0,0,0
E02003418,0,0,0,0,3,2,8,10
E02003419,0,0,0,0,0,1,0,0
E02003420,0,0,0,0,0,0,0,0
E02003421,0,0,0,0,1,3,0,0
E02003422,2,1,9,4,9,9,18,40
E02003423,0,0,0,2,2,2,2,0
E02003424,2,0,1,0,4,7,23,57
E02003425,0,1,0,0,1,0,0,2
E02003426,0,0,0,2,1,4,17,61
E02003427,0,0,0,0,0,0,0,0
E02003428,0,0,0,0,0,0,0,0
E02003429,55,42,0,1,1,3,5,18
E02003430,38,12,11,14,11,14,6,1
E02003431,0,0,1,5,1,1,5,13
E02003432,0,2,0,0,0,0,10,23
E02003433,0,0,0,0,0,0,0,0
E02003434,0,0,0,0,0,3,21,82
E02003435,0,0,0,0,0,0,0,0
E02003436,1,2,3,4,0,2,10,24
E02003437,27,49,8,5,3,1,7,18
E02003438,214,152,1,0,5,6,28,67
E02003439,0,0,0,0,1,5,4,21
E02003440,0,0,0,0,1,2,3,15
E02003441,0,0,0,0,0,1,9,46
E02003442,0,0,0,0,0,0,0,0
E02003443,0,0,0,0,0,0,0,0
E02003444,0,0,0,0,0,0,0,0
E02003445,0,0,0,1,0,0,0,0
E02003446,2,856,39,7,1,1,0,0
E02003447,0,0,1,0,5,5,21,45
E02003448,4,0,0,0,0,1,9,16
E02003449,0,0,0,0,0,0,0,0
E02003450,2,0,0,9,5,6,16,33
E02003451,8,3,0,1,1,2,10,51
E02003452,0,0,1,1,1,4,1,0
E02003453,0,0,0,0,0,0,0,0
E02003454,1,4,0,1,0,7,31,86
E02003455,0,0,0,0,0,3,14,24
E02003456,7,8,2,5,4,2,12,15
E02003457,0,0,0,0,0,1,1,16
E02003458,3,0,9,9,18,5,2,4
E02003459,0,0,0,0,0,3,12,20
E02003460,0,0,0,1,0,4,10,29
E02003461,0,0,1,0,4,16,26,37
E02003462,0,0,0,0,1,1,6,12
E02003463,4,0,1,0,1,0,20,13
E02003464,0,0,0,0,2,0,0,0
E02003465,0,0,0,0,1,0,3,1
E02003466,0,0,1,0,1,0,0,0
E02003467,0,0,0,0,3,7,26,70
E02003468,0,0,0,0,0,0,0,0
E02003469,0,0,0,0,0,0,0,0
E02003470,0,0,0,0,0,0,0,0
E02003471,0,0,0,0,0,0,0,0
E02003472,0,18,10,0,0,0,0,0
E02003473,0,0,0,0,0,0,0,0
E02003474,0,0,0,0,0,0,2,3
E02003476,0,19,13,18,9,3,9,20
E02003478,0,0,0,3,14,3,3,9
E02003479,2,0,1,0,3,0,0,0
E02003480,0,0,2,3,1,2,0,0
E02003481,0,0,0,0,0,0,0,0
E02003482,0,0,0,2,0,3,5,49
E02003483,0,0,0,0,3,0,0,0
E02003484,0,0,0,2,5,5,4,1
E02003485,0,0,0,1,1,0,8,14
E02003486,0,0,0,0,4,0,0,0
E02003487,0,0,0,0,0,0,0,0
E02003488,0,7,0,0,0,0,0,0
E02003489,0,0,0,0,0,7,19,40
E02003490,0,0,0,0,1,5,16,31
E02003491,0,0,0,0,1,3,7,22
E02003492,4,2265,96,25,2,1,0,0
E02003493,0,3,2,2,0,3,23,49
E02003494,0,0,0,0,0,0,0,0
E02003495,0,0,0,0,0,0,0,0
E02003496,0,0,0,0,0,0,0,0
E02003497,0,0,0,2,4,0,10,42
E02003498,0,179,10,0,0,1,0,1
E02003499,0,0,0,0,9,7,20,26
E02003500,0,0,1,1,7,4,2,4
E02003501,5,0,2,3,7,2,3,6
E02003502,0,1,3,2,3,1,0,0
E02003503,0,0,0,2,5,8,4,7
E02003504,4,6,19,2,2,1,11,20
E02003505,0,19,5,1,0,0,0,0
E02003506,0,0,0,0,2,3,9,15
E02003507,0,0,0,0,0,9,13,38
E02003508,0,26,0,1,0,0,0,0
E02003509,0,1,2,0,7,11,11,27
E02003510,0,6,13,4,1,6,12,61
E02003511,0,0,0,0,1,1,5,12
E02003512,0,178,3,0,0,0,0,0
E02003513,0,0,3,1,13,5,41,77
E02003514,0,12,5,3,3,0,1,4
E02003515,0,0,0,0,7,0,0,0
E02003516,0,0,0,2,4,0,3,0
E02003517,4,137,8,2,3,0,0,0
E02003518,0,5,12,12,16,12,37,52
E02003519,0,5,4,1,4,0,0,0
E02003520,2,211,15,2,2,1,3,0
E02003521,56,108,11,6,5,2,0,13
E02003522,142,93,10,0,0,0,0,8
E02003523,0,3,0,5,4,2,14,49
E02003524,0,0,0,0,0,0,0,0
E02003525,0,0,0,0,0,0,0,0
E02003526,0,0,0,0,1,7,20,54
E02003527,0,0,0,0,0,0,0,0
E02003529,0,0,0,0,0,1,10,14
E02003530,0,0,2,2,3,0,0,0
E02003531,0,0,0,0,0,0,0,0
E02003532,0,2,2,0,0,1,4,13
E02003533,0,1,0,2,0,0,0,0
E02003534,0,0,1,0,0,0,0,0
E02003535,0,0,0,1,1,2,4,6
E02003536,0,40,4,1,0,0,0,0
E02003537,0,2,2,2,1,0,1,1
E02003538,0,0,1,0,0,3,5,26
E02003540,0,0,0,0,3,4,19,48
E02003541,0,194,17,1,1,3,0,0
E02003542,0,0,0,0,2,0,0,0
E02003543,0,1,0,1,0,4,3,12
E02003544,0,0,0,0,1,0,0,0
E02003545,3,24,2,0,14,5,14,30
E02003546,0,0,0,1,5,1,8,14
E02003547,0,64,5,1,3,2,5,20
E02003548,0,0,2,2,4,16,20,67
E02003549,0,867,20,6,0,0,1,1
E02003550,3,0,2,0,0,0,0,0
E02003551,0,548,20,3,2,0,0,0
E02003552,0,0,0,0,0,0,1,0
E02003553,0,127,24,0,0,0,0,0
E02003554,0,27,2,0,1,3,10,42
E02003555,0,0,0,0,0,0,0,0
E02003556,0,0,0,0,0,0,0,0
E02003557,0,7,0,0,0,2,2,3
E02003558,4,0,1,0,0,0,3,5
E02003559,0,0,0,0,3,2,7,11
E02003560,0,0,0,0,0,0,0,0
E02003561,0,209,39,5,2,2,21,41
E02003562,0,0,0,0,3,1,3,5
E02003563,0,0,0,2,5,0,0,0
E02003564,0,0,0,4,1,1,3,12
E02003565,0,11,3,0,2,11,13,32
E02003566,0,0,0,0,0,0,0,0
E02003567,0,0,4,2,1,0,1,0
E02003568,0,78,4,2,7,8,21,33
E02003569,0,0,0,1,2,0,0,0
E02003570,0,337,63,11,4,1,0,0
E02003571,0,826,87,1,0,4,13,36
E02003572,0,0,1,1,9,5,13,27
E02003573,0,0,1,0,0,0,11,10
E02003574,0,0,0,0,0,0,0,0
E02003575,0,2,0,0,2,0,1,0
E02003576,0,0,0,0,0,1,4,7
E02003578,0,0,0,0,5,2,0,5
E02003579,0,2,0,0,5,10,40,67
E02003580,0,0,0,0,0,1,1,8
E02003581,0,0,0,0,1,9,17,36
E02003582,0,0,0,0,0,2,2,12
E02003583,0,2,0,1,11,9,7,13
E02003584,8,28,13,15,23,12,13,42
E02003585,0,0,0,0,2,2,12,16
E02003586,0,3,5,3,9,11,23,46
E02003587,0,2,0,1,4,4,11,21
E02003588,0,8,4,6,6,11,25,46
E02003589,0,1,0,0,1,0,0,0
E02003590,0,0,0,0,0,2,11,26
E02003591,0,0,0,4,10,5,10,36
E02003592,0,0,0,2,15,16,32,88
E02003593,0,0,0,0,0,0,2,11
E02003594,0,4,7,9,7,6,26,48
E02003595,0,0,0,0,6,1,0,2
E02003596,0,0,2,17,18,13,10,25
E02003597,0,0,0,0,0,0,1,0
E02003598,0,1,0,0,6,3,5,37
E02003652,109,177,6,3,2,6,14,28
E02003653,0,60,0,0,1,1,10,15
E02003654,0,0,0,0,3,2,0,0
E02003655,0,1,0,0,0,1,3,13
E02003656,4,0,1,0,6,1,0,6
E02003657,3,0,0,0,4,4,9,28
E02003658,0,0,0,0,0,4,17,41
E02003659,0,0,0,0,0,1,12,19
E02003660,0,0,0,0,0,0,0,0
E02003661,1,1,0,1,0,0,0,0
E02003662,0,0,0,0,2,2,7,13
E02003663,0,0,0,2,6,7,13,27
E02003664,0,0,2,3,12,9,17,34
E02003665,0,0,2,1,12,0,0,0
E02003666,0,0,0,0,3,1,4,0
E02003667,0,0,0,0,0,0,3,9
E02003668,0,0,0,3,0,0,7,17
E02003669,0,0,2,5,0,1,0,0
E02003670,0,0,0,0,4,2,15,34
E02003671,0,0,0,0,0,0,0,0
E02003672,0,3,3,2,3,6,28,74
E02003673,0,0,0,0,0,3,16,60
E02003674,0,0,0,0,0,0,0,0
E02003675,0,100,29,10,10,3,2,16
E02003676,0,0,0,0,1,0,6,29
E02003677,0,0,4,2,2,0,0,7
E02003678,0,0,0,0,0,3,14,32
E02003679,0,0,0,3,5,3,13,18
E02003680,0,0,0,0,0,0,7,12
E02003681,0,0,2,0,1,1,10,42
E02003682,0,0,0,0,0,0,0,0
E02003683,0,0,0,0,0,0,0,1
E02003685,0,0,3,0,0,0,0,0
E02003686,0,0,2,7,21,12,19,40
E02003687,0,0,0,0,0,0,16,27
E02003688,0,0,0,0,0,0,10,57
E02003689,0,0,2,3,8,6,7,50
E02003690,1,0,0,1,2,0,11,27
E02003691,0,1,0,0,1,5,15,22
E02003692,0,21,0,9,11,2,7,21
E02003693,0,0,0,0,0,3,4,17
E02003694,0,0,0,0,0,3,13,44
E02003695,0,0,0,0,0,2,2,2
E02003696,0,0,0,0,0,1,5,21
E02003697,1,0,0,0,1,0,3,9
E02003698,0,0,0,0,0,0,0,0
E02003699,0,1,0,1,7,3,15,27
E02003701,0,167,4,4,11,0,11,38
E02003702,0,10,19,23,14,0,0,10
E02003703,57,5,5,0,0,0,0,0
E02003704,0,0,2,3,1,0,0,0
E02003705,0,0,0,0,0,0,0,0
E02003706,0,0,0,0,0,0,2,1
E02003707,0,0,0,1,4,4,0,0
E02003708,0,0,0,0,0,0,0,0
E02003709,0,0,0,0,0,0,0,0
E02003710,284,366,19,8,6,8,7,40
E02003711,0,11,4,0,0,3,16,38
E02003712,0,3,3,3,8,3,27,46
E02003713,0,0,0,0,0,0,0,0
E02003714,0,0,0,0,2,0,6,12
E02003715,0,0,0,0,0,0,0,0
E02003716,0,0,1,0,1,0,3,13
E02003717,0,0,0,0,0,5,4,21
E02003718,0,0,0,0,0,1,10,32
E02004356,0,1,2,3,10,2,0,0
E02004357,0,0,0,0,0,0,0,0
E02004358,0,0,1,0,0,3,7,25
E02004359,0,1,1,1,3,4,19,46
E02004361,0,0,1,0,1,4,21,47
E02004362,0,0,0,0,0,2,7,16
E02004363,0,1,5,5,18,16,66,122
E02004364,0,0,2,2,11,2,14,43
E02004365,0,0,0,0,1,0,1,0
E02004366,44,51,11,8,15,7,28,99
E02004367,5,120,4,7,14,5,19,84
E02004368,0,1,1,4,4,4,1,0
E02004369,0,2,13,6,14,13,29,44
E02004370,0,0,0,1,1,1,0,0
E02004371,0,0,0,0,2,2,3,0
E02004372,0,0,0,0,0,0,3,0
E02004373,0,0,1,6,2,3,8,16
E02004374,0,0,0,0,0,2,13,53
E02004375,2,4,2,9,12,6,11,24
E02004376,0,0,0,2,2,0,1,5
E02004377,0,2,2,4,18,40,88,172
E02004378,0,2,0,2,9,8,22,11
E02004379,2,6,4,0,0,0,7,5
E02004380,2,55,4,1,4,18,64,131
E02004381,0,0,0,0,0,0,8,16
E02004382,2,0,0,0,0,2,7,36
E02004383,0,1,1,2,0,1,3,5
E02004384,0,0,0,0,0,6,20,32
E02004385,0,0,0,0,0,0,0,0
E02004386,0,0,0,1,11,0,0,0
E02004387,0,7,1,0,0,0,0,0
E02004388,0,0,0,0,0,2,3,13
E02004389,0,0,4,2,1,8,41,97
E02004390,0,0,0,0,1,0,0,0
E02004391,0,0,0,3,4,9,23,50
E02004392,37,18,29,23,15,10,13,10
E02004393,1,0,0,3,5,0,5,8
E02004394,2,5,1,9,5,11,17,26
E02004395,0,0,0,4,6,0,2,0
E02004396,22,27,3,5,8,3,5,31
E02004397,6,9,0,7,14,11,8,27
E02004398,0,0,0,0,4,3,11,49
E02004399,4,12,6,9,7,9,24,63
E02004400,0,0,1,1,6,7,38,94
E02004401,0,0,0,0,0,3,10,56
E02004402,0,2,3,13,25,15,40,71
E02004403,0,0,0,0,0,0,0,1
E02004404,0,0,0,0,1,0,0,15
E02004405,0,0,0,0,0,0,0,0
E02004406,0,0,2,1,12,5,29,98
E02004407,69,36,3,3,3,2,13,23
E02004408,0,19,22,38,45,32,9,1
E02004409,3,1,5,7,12,12,17,22
E02004410,3,0,0,2,0,4,10,26
E02004411,0,0,0,0,4,0,4,13
E02004412,0,0,1,2,2,3,13,16
E02004413,0,0,0,0,4,10,6,53
E02004414,0,2,0,0,2,0,5,21
E02004415,0,3,1,7,11,6,9,24
E02004416,0,0,1,0,0,0,2,3
E02004417,0,0,0,3,3,5,13,47
E02004418,0,3,0,0,0,4,10,26
E02004419,0,0,1,0,2,9,11,25
E02004420,39,65,0,0,1,12,17,51
E02004421,0,0,0,0,0,0,19,87
E02004422,0,0,0,2,0,0,3,19
E02004423,0,0,2,2,4,1,1,0
E02004675,0,8,12,6,0,0,0,0
E02004676,0,1,0,0,0,1,4,11
E02004677,4,0,1,1,0,1,5,19
E02004678,3,0,0,0,0,0,1,0
E02004679,4,7,1,0,3,2,33,55
E02004680,0,0,0,0,0,0,0,0
E02004681,0,0,0,0,2,4,8,24
E02004682,0,3,2,0,1,0,0,0
E02004683,0,0,0,0,1,8,18,40
E02004684,0,4,9,4,2,5,7,10
E02004685,0,20,10,5,4,0,0,0
E02004686,0,0,1,2,3,1,4,14
E02004687,0,1,0,1,2,4,0,0
E02004688,0,0,1,1,0,0,0,0
E02004689,0,1,0,1,1,1,9,41
E02004690,0,1,1,1,1,2,10,23
E02004691,0,0,0,0,1,10,15,72
E02004692,0,0,1,1,0,0,0,0
E02004693,0,0,0,0,0,0,0,0
E02004694,0,0,0,0,0,1,6,36
E02004695,0,0,0,0,0,0,0,0
E02004696,0,0,0,0,1,1,4,12
E02004697,7,36,5,3,2,7,25,82
E02004698,0,0,0,6,0,2,15,22
E02004699,0,0,0,4,0,1,10,27
E02004700,0,4,1,1,2,0,3,2
E02004702,0,0,0,12,4,1,6,14
E02004703,0,0,0,1,0,2,18,40
E02004704,0,0,0,0,0,0,0,0
E02004705,0,5,6,13,2,0,12,30
E02004706,0,1,9,5,21,9,42,101
E02004707,31,99,4,3,1,5,18,58
E02004708,0,1,0,0,0,0,0,0
E02004709,0,0,4,3,4,0,0,0
E02004710,0,0,0,0,0,0,0,0
E02004712,0,0,0,0,6,1,15,32
E02004713,0,0,0,0,0,1,5,24
E02004714,0,2,1,2,1,1,10,19
E02004715,0,0,0,0,0,0,3,16
E02004716,0,0,0,0,0,0,3,6
E02004717,0,0,0,0,0,2,10,29
E02004718,0,13,3,0,0,0,0,0
E02004719,0,0,5,1,0,3,15,38
E02004720,0,0,1,2,2,5,27,75
