Name,Not Recorded,area,msoa
Aylesbury,1,E00178390,E02003665
Bronzefield,1,E00156619,E02006405
Bullingdon,8,E00169031,E02005936
Coldingley,1,E00167820,E02006421
Cookham Wood,*,E00167420,E02003337
Downview,*,E00170403,E02006376
East Sutton Park,*,E00123682,E02005084
Elmley (Sheppey cluster),6,E00189650,E02005120
Ford,1,E00184735,E02006547
Grendon/Spring Hill,1,E00169125,E02003661
High Down,7,E00170403,E02006376
Huntercombe,*,E00186049,E02005968
Isle of Wight,3,E00172713,E02003588
Lewes,5,E00106857,E02004383
Maidstone,2,E00186663,E02005071
Rochester,*,E00167420,E02003337
Send,*,E00155365,E02006344
Standford Hill (Sheppey cluster),*,E00124937,E02005120
Swaleside (Sheppey cluster),2,E00124937,E02005120
Winchester,7,E00184857,E02004833
Woodhill,*,E00183648,E02007016
