Prison,Predominant Function,Designation,Postcode,area,msoa,total communal residents,other_prison_service
Aylesbury,Cat C,Dual Designated Prison,HP201EH,E00178390,E02003665,216,216.0
Bronzefield,Female,Dual Designated Prison,TW153JZ,E00156619,E02006405,238,238.0
Bullingdon,Reception,Dual Designated Prison,OX251PZ,E00169031,E02005936,559,559.0
Coldingley,Cat C,Prison,GU249EX,E00167820,E02006421,455,455.0
Cookham Wood,Cat C,Dual Designated Prison,ME13LU,E00167420,E02003337,694,693.0
Downview,Female,Dual Designated Prison,SM25PD,E00170403,E02006376,1213,1206.0
East Sutton Park,Female,Dual Designated Prison,ME173DF,E00123682,E02005084,94,94.0
Elmley,Reception,Dual Designated Prison,ME124DZ,E00189650,E02005120,762,2184.0
Ford,Open,Prison,BN180BX,E00184735,E02006547,423,411.0
Grendon,Cat B,Prison,HP180TL,E00169125,E02003661,402,398.0
Spring Hill,Open,Prison,HP180TL,E00169125,E02003661,402,398.0
High Down,Cat C,Dual Designated Prison,SM25PJ,E00170403,E02006376,1213,1206.0
Huntercombe,Cat C,Prison,RG95SB,E00186049,E02005968,396,396.0
Isle of Wight,Cat B,Dual Designated Prison,PO305RS,E00172713,E02003588,758,756.0
Lewes,Reception,Dual Designated Prison,BN71EA,E00106857,E02004383,374,355.0
Maidstone,Cat C,Prison,ME141UZ,E00186663,E02005071,551,551.0
Oakhill STC,STC,Secure Training Centre,MK56AJ,E00183648,E02007016,495,495.0
Rochester,Cat C,Dual Designated Prison,ME13QS,E00167420,E02003337,694,693.0
Send,Female,Prison,GU237LJ,E00155365,E02006344,157,157.0
Standford Hill,Open,Dual Designated Prison,ME124AA,E00124937,E02005120,1422,2184.0
Swaleside,Cat B,Prison,ME124AX,E00124937,E02005120,1422,2184.0
Winchester,Reception,Dual Designated Prison,SO225DF,E00184857,E02004833,332,332.0
Woodhill,Cat B,Dual Designated Prison,MK44DA,E00183648,E02007016,495,495.0
