msoa,staff/owner,staff/owner's relative,temporary/visiting
E02003314,0,0,0
E02003315,0,0,0
E02003316,0,0,0
E02003317,0,0,0
E02003318,0,0,0
E02003319,0,0,0
E02003320,9,0,24
E02003321,0,0,0
E02003322,0,0,33
E02003323,0,0,0
E02003324,0,0,0
E02003325,4,0,5
E02003326,1,0,0
E02003327,3,0,0
E02003328,6,0,16
E02003329,0,0,0
E02003330,0,0,0
E02003331,0,0,0
E02003332,0,0,0
E02003333,0,0,0
E02003334,0,0,0
E02003335,0,0,0
E02003336,0,0,0
E02003337,0,8,40
E02003338,0,0,0
E02003339,0,0,0
E02003340,0,0,0
E02003341,0,0,0
E02003342,0,0,0
E02003343,0,0,0
E02003344,0,0,0
E02003345,1,0,0
E02003346,0,0,1
E02003347,0,0,0
E02003348,0,0,0
E02003349,0,0,0
E02003350,0,0,0
E02003351,0,0,0
E02003352,4,0,0
E02003353,14,4,0
E02003354,0,0,0
E02003355,0,0,0
E02003356,30,6,2
E02003357,0,0,5
E02003358,0,0,0
E02003359,0,0,0
E02003360,0,0,0
E02003361,0,0,0
E02003362,2,0,0
E02003363,1,0,4
E02003364,0,0,5
E02003365,5,0,0
E02003366,2,0,49
E02003367,2,0,1
E02003368,0,0,0
E02003369,6,1,6
E02003370,0,0,0
E02003371,0,0,0
E02003372,0,0,0
E02003373,35,11,4
E02003374,0,0,0
E02003375,0,0,0
E02003376,5,0,0
E02003377,60,16,10
E02003378,0,1,0
E02003379,0,0,0
E02003380,0,0,0
E02003381,0,0,3
E02003382,0,0,0
E02003383,0,0,0
E02003384,2,0,7
E02003385,2,0,1
E02003386,0,0,2
E02003387,2,0,2
E02003388,9,0,2
E02003389,0,0,0
E02003390,0,0,0
E02003391,5,1,3
E02003392,0,0,0
E02003393,0,0,0
E02003394,1,0,0
E02003395,1,0,2
E02003396,0,0,0
E02003397,0,0,1
E02003398,0,0,4
E02003400,4,0,9
E02003401,0,12,7
E02003402,3,0,7
E02003403,0,0,1
E02003404,27,17,29
E02003405,1,0,1
E02003406,0,0,0
E02003407,0,0,0
E02003408,0,0,0
E02003409,0,0,0
E02003410,0,0,0
E02003411,0,0,0
E02003412,0,0,0
E02003414,0,0,0
E02003415,0,0,7
E02003416,0,0,0
E02003417,4,2,6
E02003418,0,0,0
E02003419,0,0,0
E02003420,0,0,0
E02003421,0,0,0
E02003422,13,0,0
E02003423,0,0,0
E02003424,8,0,0
E02003425,0,0,0
E02003426,0,1,0
E02003427,0,0,0
E02003428,0,0,0
E02003429,8,6,2
E02003430,153,90,15
E02003431,0,1,0
E02003432,1,2,0
E02003433,0,0,0
E02003434,0,0,0
E02003435,2,1,0
E02003436,2,3,3
E02003437,46,11,5
E02003438,34,8,3
E02003439,1,0,0
E02003440,0,0,0
E02003441,0,0,0
E02003442,0,0,0
E02003443,0,0,0
E02003444,0,0,0
E02003445,0,0,0
E02003446,0,0,21
E02003447,2,2,3
E02003448,0,0,0
E02003449,0,0,0
E02003450,1,0,0
E02003451,0,0,1
E02003452,4,0,0
E02003453,0,0,0
E02003454,3,0,2
E02003455,0,0,0
E02003456,3,1,9
E02003457,0,1,0
E02003458,10,0,0
E02003459,0,0,2
E02003460,2,0,0
E02003461,0,0,0
E02003462,4,0,0
E02003463,0,0,10
E02003464,0,0,0
E02003465,0,0,0
E02003466,0,0,0
E02003467,0,0,1
E02003468,0,0,12
E02003469,0,0,0
E02003470,0,0,0
E02003471,0,0,0
E02003472,1,0,11
E02003473,0,0,0
E02003474,1,0,0
E02003476,0,0,8
E02003478,0,0,5
E02003479,0,0,3
E02003480,0,0,0
E02003481,2,0,2
E02003482,1,0,0
E02003483,0,0,0
E02003484,0,0,0
E02003485,0,0,0
E02003486,0,0,1
E02003487,0,0,0
E02003488,0,0,0
E02003489,0,0,0
E02003490,0,0,0
E02003491,0,0,0
E02003492,3,2,57
E02003493,0,0,0
E02003494,0,0,0
