Location ID,Location HSCA start date,Care home?,Location Name,Location Region,Location Local Authority,Location Street Address,Location City,Location Postal Code,Location Latitude,Location Longitude,Location Parliamentary Constituency,Provider Nominated Individual Name,"Regulated activity - Treatment of disease, disorder or injury",Service type - Care home service with nursing,Service type - Care home service without nursing,Service user band - Children 0-18 years,Service user band - Dementia,Service user band - Learning disabilities or autistic spectrum disorder,Service user band - Mental Health,Service user band - Older People,Service user band - Physical Disability,Service user band - Sensory Impairment,Service user band - Younger Adults,num_values_found,num_values_found.1,lad,msoa,area,Care homes beds,occupancy_mean,%occupancy_mean,probability_mean,occupancy_std,%occupancy_std,probability_std
1-108820650,2010-11-24,Y,Bridgemead,South West,Bath and North East Somerset,81 St John's Road,Bath,BA2 6PZ,51.387595,-2.356535,Bath,"Bourton, Pamela",Y,Y,,,,,,Y,,,,2,2,E06000022,E02002991,E00072578,32,32.0,98.0,0.86881,1.0,2.2097,0.14743
1-114386039,2010-12-10,Y,Greystones,South West,Bath and North East Somerset,Hayesfield Park,Bath,BA2 4QE,51.375352,-2.366956,Bath,"Kelly-Perkins, Marie",,,Y,,,,,Y,,,,3,3,E06000022,E02002996,E00073137,26,22.0,86.0,0.88809,4.0,15.544,0.13673
1-114398915,2010-12-10,Y,Bathampton Manor,South West,Bath and North East Somerset,Mill Lane,Bath,BA2 6TS,51.399418,-2.326009,North East Somerset,"Kelly-Perkins, Marie",,,Y,,,,,Y,,,,6,6,E06000022,E02002994,E00072593,21,18.0,86.0,0.95511,2.0,7.9682,0.03499
1-115778960,2011-02-04,Y,St Chads House,South West,Bath and North East Somerset,Withies Lane,Midsomer Norton,BA3 2JE,51.283026,-2.487206,North East Somerset,"Page, Elizabeth",,,Y,,,Y,,,,,,2,2,E06000022,E02003011,E00072868,4,4.0,100.0,0.9692,0.0,0.0,0.01828
1-116709256,2011-01-17,Y,Cholwell House Nursing Home,South West,Bath and North East Somerset,Main Road,Bristol,BS39 5DJ,51.326848,-2.551092,North East Somerset,"Trezise, Fiona",Y,Y,,,Y,,Y,Y,Y,Y,,3,3,E06000022,E02003004,E00072832,51,38.0,75.0,0.92226,1.0,1.1321,0.0741
1-117976823,2010-12-22,Y,Stratton House,South West,Bath and North East Somerset,16 Park Lane,Bath,BA1 2XH,51.388648,-2.379192,Bath,"Ryan, Daniel",,,Y,,,,,Y,,,,0,0,E06000022,E02002993,E00072766,33,30.0,91.57330580857452,,,,
1-117991838,2011-01-05,Y,Hillsborough House,South West,Bath and North East Somerset,59-61 Charlton Road,Bristol,BS31 2JQ,51.412593,-2.507304,North East Somerset,"Pope, Ian",,,Y,,,Y,Y,Y,Y,Y,,8,8,E06000022,E02002985,E00072729,14,13.0,91.0,0.94802,1.0,7.3936,0.03489
1-119703008,2011-01-24,Y,Manor Farm Residential Home,South West,Bath and North East Somerset,Church Street,Bath,BA3 3QG,51.290694,-2.447148,North East Somerset,"Tharmakunarajah, Inthumathi",,,Y,,,,,Y,,,,2,2,E06000022,E02003008,E00189597,20,16.0,78.0,0.90586,1.0,3.5355,0.11529
1-120084900,2011-01-12,Y,Greenhill House - Care Home with Nursing Physical Disabilities,South West,Bath and North East Somerset,South Road,Bath,BA2 0ES,51.323668,-2.483102,North East Somerset,"Fenn, Hugh",Y,Y,,,,,,Y,Y,,Y,5,5,E06000022,E02003000,E00073026,38,37.0,98.0,0.79557,1.0,1.4414,0.24029
1-120302216,2010-12-15,Y,RNID Action on Hearing Loss Newbridge Hill,South West,Bath and North East Somerset,51 Newbridge Hill,Bath,BA1 3PR,51.386612,-2.391074,Bath,"Ford, Sharon",,,Y,,,Y,Y,,Y,Y,Y,2,2,E06000022,E02002992,E00072881,6,5.0,83.0,0.94841,0.0,0.0,0.07166
1-120302473,2010-12-15,Y,RNID Action on Hearing Loss Barron Winnicott Home,South West,Bath and North East Somerset,Poolemead Centre,Bath,BA2 1RN,51.380466,-2.400562,Bath,"Ford, Sharon",,,Y,,,Y,Y,,Y,Y,Y,3,3,E06000022,E02002995,E00073034,9,8.0,85.0,0.84196,1.0,6.415,0.22247
1-120302490,2010-12-15,Y,RNID Action on Hearing Loss Gallaudet Home,South West,Bath and North East Somerset,Poolemead Centre,Bath,BA2 1RN,51.380466,-2.400562,Bath,"Ford, Sharon",,,Y,,,Y,Y,,Y,Y,Y,3,3,E06000022,E02002995,E00073034,8,7.0,92.0,0.99924,1.0,7.2169,0.00016
1-120302507,2010-12-15,Y,RNID Action on Hearing Loss Ashley Phoenix Home,South West,Bath and North East Somerset,Poolemead Centre,Bath,BA2 1RN,51.380466,-2.400562,Bath,"Ford, Sharon",,,Y,,,Y,Y,,Y,Y,Y,2,2,E06000022,E02002995,E00073034,9,8.0,89.0,0.79324,0.0,0.0,0.29111
1-120302542,2010-12-15,Y,RNID Action on Hearing Loss Leopold Muller Home,South West,Bath and North East Somerset,Poolemead Centre,Bath,BA2 1RN,51.380466,-2.400562,Bath,"Ford, Sharon",Y,Y,,,Y,Y,Y,Y,Y,Y,Y,2,2,E06000022,E02002995,E00073034,22,18.0,84.0,0.9774,1.0,3.2141,0.00293
1-124160584,2010-12-14,Y,Bath MIND - 82 Lower Oldfield Park,South West,Bath and North East Somerset,Oldfield Park,Bath,BA2 3HP,51.377258,-2.371798,Bath,"Cooper, Paul",,,Y,,,,Y,,,,,3,3,E06000022,E02002996,E00073130,8,8.0,100.0,0.85511,0.0,0.0,0.17915
1-124828047,2010-11-26,Y,Ivybank House Care Home,South West,Bath and North East Somerset,Ivybank House,Bath,BA2 5NF,51.363769,-2.363472,Bath,"Southall, Natasha",,,Y,,,,,Y,,,,6,6,E06000022,E02003001,E00072824,43,32.0,76.0,0.95479,4.0,10.1636,0.04193
1-125862088,2011-02-15,Y,Bloomfield,South West,Bath and North East Somerset,Salisbury Road,Bath,BS39 7BD,51.299394,-2.495125,North East Somerset,"O'Reilly, Michael",Y,Y,,,Y,,,Y,,,,9,9,E06000022,E02003007,E00072937,102,77.0,75.0,0.95978,13.0,12.5115,0.04638
1-127569767,2010-12-15,Y,Priory Radstock,South West,Bath and North East Somerset,Rookery House,Radstock,BA3 3RS,51.290637,-2.455092,North East Somerset,"Cresswell, Rebekah",,,Y,,,Y,Y,,,,Y,5,5,E06000022,E02003010,E00073087,15,9.0,60.0,0.93362,7.0,43.9697,0.07096
1-127583815,2010-12-15,Y,Priory Radstock Satellite,South West,Bath and North East Somerset,42 Redfield Road,Radstock,BA3 2JP,51.283745,-2.491601,North East Somerset,"Cresswell, Rebekah",,,Y,,,Y,Y,,,,Y,6,6,E06000022,E02003011,E00072865,6,5.0,81.0,0.92233,1.0,12.5462,0.11042
1-128712287,2011-01-24,Y,Elm Tree House,South West,Bath and North East Somerset,8 Chandag Road,Bristol,BS31 1NR,51.411079,-2.490593,North East Somerset,"Cresswell, Rebekah",,,Y,,,Y,,Y,,,Y,6,6,E06000022,E02002987,E00072720,8,8.0,94.0,0.96786,2.0,24.6855,0.0623
