area,household residents,communal residents,msoa
E00072563,191,0,E02002991
E00072564,182,3,E02002991
E00072565,193,119,E02002991
E00072566,292,0,E02002991
E00072567,217,0,E02002991
E00072568,269,8,E02002991
E00072569,171,41,E02002991
E00072570,182,0,E02002991
E00072571,157,14,E02002991
E00072572,142,0,E02002991
E00072573,330,0,E02002991
E00072574,234,17,E02002991
E00072575,434,24,E02002991
E00072576,174,5,E02002991
E00072577,228,0,E02002991
E00072578,200,33,E02002991
E00072579,188,0,E02002991
E00072580,204,0,E02002991
E00072581,236,0,E02002991
E00072582,152,0,E02002991
E00072583,216,0,E02002991
E00072584,207,4,E02002991
E00072585,187,0,E02002991
E00072586,198,0,E02002991
E00072587,201,0,E02002991
E00072588,277,0,E02002994
E00072589,278,0,E02002994
E00072590,287,0,E02002994
E00072591,257,0,E02002994
E00072592,229,0,E02002994
E00072593,353,17,E02002994
E00072594,311,0,E02002994
E00072595,300,0,E02002994
E00072596,323,0,E02002994
E00072597,303,0,E02002994
E00072598,300,0,E02002994
E00072599,372,0,E02002994
E00072600,351,0,E02002994
E00072601,253,0,E02002994
E00072602,321,0,E02002994
E00072603,315,25,E02002994
E00072604,373,0,E02002994
E00072605,295,0,E02002994
E00072606,274,0,E02002994
E00072607,333,0,E02002994
E00072608,251,0,E02002994
E00072609,336,0,E02002994
E00072611,146,0,E02002994
E00072613,256,9,E02002994
E00072614,333,0,E02002994
E00072615,221,0,E02002994
E00072616,308,0,E02002994
E00072617,196,0,E02002994
E00072618,358,242,E02002994
E00072619,416,0,E02002994
E00072620,138,0,E02002994
E00072621,281,0,E02002994
E00072622,315,0,E02002994
E00072623,234,0,E02002994
E00072624,322,0,E02003006
E00072625,379,0,E02003006
E00072626,150,0,E02003006
E00072627,248,0,E02003006
E00072628,289,0,E02003006
E00072629,322,0,E02003006
E00072630,178,1194,E02003006
E00072631,252,0,E02003006
E00072632,252,0,E02002996
E00072633,527,0,E02002996
E00072634,265,6,E02002996
E00072635,280,0,E02002996
E00072636,311,69,E02002996
E00072637,245,0,E02002996
E00072638,317,3,E02002996
E00072640,270,60,E02002996
E00072641,284,0,E02003005
E00072642,426,0,E02003005
E00072643,269,0,E02003005
E00072644,270,0,E02003005
E00072645,465,2,E02003005
E00072646,365,0,E02003005
E00072647,207,0,E02003005
E00072648,232,0,E02003005
E00072649,302,0,E02003005
E00072650,252,0,E02003005
E00072651,228,0,E02003005
E00072652,608,0,E02003005
E00072653,508,0,E02003005
E00072654,199,0,E02003005
E00072655,308,0,E02003005
E00072656,364,0,E02003005
E00072657,124,0,E02003004
E00072658,138,0,E02003004
E00072659,327,0,E02003004
E00072660,417,0,E02003004
E00072661,277,0,E02003004
E00072662,301,0,E02003004
E00072663,308,0,E02003004
E00072664,384,21,E02003004
E00072665,376,0,E02003004
E00072666,247,0,E02003002
E00072667,267,0,E02003002
E00072668,205,0,E02003002
E00072669,278,0,E02003002
E00072671,196,0,E02003002
E00072672,259,0,E02003002
E00072673,302,0,E02003002
E00072674,293,0,E02003002
E00072675,255,0,E02003002
E00072676,263,57,E02003002
E00072677,260,0,E02003002
E00072678,365,0,E02003002
E00072680,262,0,E02003002
E00072681,375,0,E02003002
E00072682,333,0,E02003002
E00072683,268,0,E02003002
E00072684,278,0,E02003002
E00072685,323,0,E02003000
E00072686,278,0,E02003000
E00072687,169,0,E02003000
E00072688,272,61,E02003000
E00072689,207,0,E02003000
E00072690,316,0,E02003000
E00072691,423,0,E02003000
E00072692,367,0,E02003000
E00072693,388,0,E02003000
E00072694,328,0,E02003007
E00072695,220,0,E02003007
E00072696,357,1,E02003007
E00072697,312,0,E02003007
E00072698,322,0,E02003007
E00072699,528,0,E02003007
E00072700,373,0,E02003007
E00072701,321,0,E02003007
E00072702,327,0,E02003007
E00072703,306,0,E02002987
E00072704,244,0,E02002987
E00072705,398,0,E02002987
E00072706,258,0,E02002987
E00072707,283,0,E02002987
E00072708,264,0,E02002987
E00072709,386,0,E02002987
E00072710,281,0,E02002987
E00072711,319,0,E02002987
E00072712,324,0,E02002987
E00072713,317,0,E02002987
E00072714,335,0,E02002987
E00072715,359,19,E02002987
E00072716,251,0,E02002987
E00072717,544,0,E02002987
E00072718,249,0,E02002987
E00072719,240,0,E02002987
E00072720,388,6,E02002987
E00072721,298,0,E02002985
E00072722,398,0,E02002985
E00072723,319,0,E02002985
E00072725,305,0,E02002985
E00072726,336,0,E02002985
E00072727,330,11,E02002985
E00072728,344,0,E02002985
E00072729,346,14,E02002985
E00072730,275,0,E02002985
E00072731,283,0,E02002985
E00072732,378,0,E02002985
E00072733,347,0,E02002985
E00072734,395,0,E02002985
E00072736,317,0,E02002985
E00072737,314,0,E02002986
E00072738,268,0,E02002986
E00072739,255,0,E02002986
E00072741,211,21,E02002986
E00072742,311,0,E02002986
E00072743,224,0,E02002986
E00072744,342,0,E02002986
