Prison,Predominant Function,Designation,Postcode,area,msoa,total communal residents,other_prison_service
Ashfield,Cat C,Prison,BS169QJ,E00189531,E02003108,392,392.0
Bristol,Reception,Dual Designated Prison,BS78PS,E00073274,E02003027,278,278.0
Channings Wood,Cat C,Prison,TQ126DW,E00165900,E02004213,641,638.0
Dartmoor,Cat C,Prison,PL206R0,E00180228,E02004231,568,568.0
Eastwood Park,Female,Dual Designated Prison,GL128DB,E00075710,E02003090,273,269.0
Erlestoke,Cat C,Dual Designated Prison,SN105TU,E00184186,E02006639,430,427.0
Exeter,Reception,Dual Designated Prison,EX44EX,E00180166,E02004152,273,273.0
Guys Marsh,Cat C,Prison,SP70AH,E00183057,E02004259,408,408.0
Leyhill,Open,Prison,GL128BT,E00173069,E02003092,482,480.0
Portland,Cat C,Dual Designated Prison,DT51DL,E00171471,E02004288,423,943.0
The Verne,Cat C,Prison,DT51EQ,E00171474,E02004288,521,943.0
