Name,15 - 17,18 - 20,21 - 24,25 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 and over,area,msoa
Birmingham,*,*,148,184,380,165,61,18,13,E00175650,E02001879
Brinsford,*,316,99,*,*,*,*,*,*,E00171615,E02006179
Dovegate,*,*,125,207,437,254,107,21,7,E00168365,E02006136
Drake Hall,*,4,14,35,92,75,35,14,*,E00151321,E02006192
Featherstone,*,*,83,125,250,133,57,*,*,E00171615,E02006179
Hewell,*,*,110,159,355,169,60,22,13,E00181370,E02006709
Long Lartin,*,*,41,81,145,115,72,27,11,E00171600,E02006758
Oakwood,*,*,182,355,692,441,235,100,53,E00171615,E02006179
Stafford,*,*,21,64,144,136,146,120,79,E00179354,E02006196
Stoke Heath,*,13,82,122,267,140,71,*,*,E00187256,E02006020
Swinfen Hall,*,243,234,74,*,*,*,*,*,E00180753,E02006157
Werrington,75,7,*,*,*,*,*,*,*,E00151745,E02006212
