area,household residents,communal residents,msoa
E00045077,322,0,E02001915
E00045078,374,0,E02001915
E00045079,307,0,E02001915
E00045080,381,0,E02001904
E00045081,209,41,E02001904
E00045082,441,0,E02001915
E00045083,360,0,E02001915
E00045084,345,2,E02001915
E00045085,265,31,E02001904
E00045086,435,0,E02001915
E00045087,246,2,E02001915
E00045088,312,0,E02001915
E00045090,345,13,E02001915
E00045091,319,83,E02001915
E00045092,400,0,E02001915
E00045093,290,0,E02001915
E00045094,417,0,E02001915
E00045095,314,0,E02001915
E00045096,239,0,E02001915
E00045097,316,6,E02001915
E00045098,272,0,E02001915
E00045099,275,0,E02001892
E00045100,382,0,E02001893
E00045101,411,0,E02001892
E00045102,444,9,E02001893
E00045103,369,0,E02001893
E00045104,392,16,E02001892
E00045105,400,1,E02001892
E00045106,365,0,E02001892
E00045107,422,0,E02001893
E00045108,326,0,E02001892
E00045109,443,0,E02001892
E00045110,303,0,E02001893
E00045111,383,0,E02001892
E00045112,352,0,E02001893
E00045113,343,0,E02001893
E00045114,354,0,E02001892
E00045115,347,0,E02001892
E00045116,466,0,E02001893
E00045117,326,0,E02001892
E00045118,387,0,E02001893
E00045119,418,1,E02001892
E00045120,443,0,E02001892
E00045121,439,0,E02001892
E00045122,278,0,E02001904
E00045123,246,0,E02001893
E00045124,400,0,E02001892
E00045125,381,0,E02001904
E00045126,453,1,E02001904
E00045127,385,0,E02001904
E00045128,490,0,E02001904
E00045129,511,0,E02001904
E00045130,315,0,E02001902
E00045131,470,0,E02001904
E00045132,227,0,E02001902
E00045133,294,0,E02001902
E00045134,495,0,E02001904
E00045135,352,0,E02001904
E00045136,371,18,E02001904
E00045137,372,0,E02001902
E00045138,371,0,E02001904
E00045139,139,0,E02001902
E00045140,353,0,E02001904
E00045141,284,6,E02001902
E00045142,379,0,E02001904
E00045143,361,0,E02001902
E00045144,332,0,E02001902
E00045145,461,0,E02001904
E00045146,363,0,E02001902
E00045147,305,0,E02001904
E00045148,342,0,E02001915
E00045149,256,0,E02001902
E00045150,323,1,E02001902
E00045151,316,0,E02001902
E00045152,319,0,E02001904
E00045153,396,0,E02001915
E00045154,318,0,E02001915
E00045155,406,0,E02001902
E00045156,272,0,E02001902
E00045157,326,0,E02001902
E00045158,329,29,E02001915
E00045159,306,0,E02001915
E00045160,393,3,E02001915
E00045161,277,0,E02001915
E00045162,388,14,E02001904
E00045163,336,1,E02001915
E00045164,277,0,E02001915
E00045165,370,0,E02001915
E00045166,340,0,E02001866
E00045167,460,1,E02001866
E00045168,457,0,E02001866
E00045169,444,2,E02001867
E00045171,568,0,E02001875
E00045172,533,0,E02001863
E00045173,569,0,E02001863
E00045174,441,0,E02001863
E00045175,487,0,E02001867
E00045176,445,0,E02001866
E00045178,469,0,E02001866
E00045180,378,0,E02001875
E00045181,358,0,E02001867
E00045182,345,0,E02001867
E00045183,516,0,E02001875
E00045184,355,0,E02001866
E00045186,381,0,E02001875
E00045187,390,0,E02001875
E00045188,332,0,E02001876
E00045189,341,2,E02001866
E00045190,552,5,E02001875
E00045191,336,15,E02001867
E00045193,520,0,E02001867
E00045196,223,0,E02001875
E00045197,467,0,E02001867
E00045198,146,0,E02001875
E00045199,527,0,E02001875
E00045200,496,0,E02001876
E00045201,423,0,E02001875
E00045202,370,0,E02001876
E00045204,625,0,E02001875
E00045205,394,0,E02001875
E00045206,448,0,E02001875
E00045207,302,0,E02001876
E00045208,556,0,E02001876
E00045210,334,0,E02001876
E00045212,553,0,E02001876
E00045213,490,0,E02001856
E00045214,323,0,E02001863
E00045215,489,0,E02001856
E00045216,363,0,E02001856
E00045217,380,41,E02001863
E00045218,440,0,E02001856
E00045219,528,0,E02001863
E00045220,414,0,E02001863
E00045221,390,0,E02001863
E00045222,114,0,E02001863
E00045223,344,0,E02001863
