msoa,MC: Care home with nursing,MC: Care home without nursing,MC: Children's home,MC: General hospital,MC: Home or hostel,MC: Mental health hospital or unit,MC: Other home,MC: Other hospital,Other: Approved premises,Other: Defence,Other: Detention centres,Other: Education,Other: Prison service,Other: Religious,Other: Staff/Worker accommodation,Other: Temporary accommodation,total
E02001827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001828,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02001830,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
E02001831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
E02001832,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6
E02001833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02001834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001835,6,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10
E02001836,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4
E02001837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001838,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001839,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001840,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
E02001841,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
E02001842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001843,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
E02001844,5,12,1,0,2,0,1,0,0,0,0,0,0,0,0,3,24
E02001845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E02001846,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5
E02001847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
E02001848,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
E02001849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001850,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001851,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
E02001852,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
E02001855,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
E02001856,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
E02001857,2,12,2,0,0,6,1,0,0,0,0,0,0,0,0,8,31
E02001858,3,6,0,0,0,1,2,0,0,0,0,1,0,0,1,0,14
E02001859,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,7
E02001860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
E02001861,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
E02001862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
E02001863,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4
E02001865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
E02001866,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
E02001867,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
E02001868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E02001869,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
E02001870,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4
E02001871,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001872,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
E02001873,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6
E02001874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
E02001875,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
E02001876,0,0,0,0,0,0,0,0,0,0,0,22,0,0,3,10,35
E02001877,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,5
