Name,A Asian / Asian British,B Black / African / Caribbean / Black British,C Mixed / Multiple ethnic groups,D Other ethnic group,E White,F Not recorded,G Not stated,area,msoa
Birmingham,168,166,61,19,546,2,7,E00175650,E02001879
Brinsford,67,83,42,8,230,*,*,E00171615,E02006179
Dovegate,121,134,79,24,798,2,*,E00168365,E02006136
Drake Hall,14,15,13,*,222,*,*,E00151321,E02006192
Featherstone,101,97,51,5,400,1,5,E00171615,E02006179
Hewell,65,78,41,10,687,4,3,E00181370,E02006709
Long Lartin,46,99,31,5,307,*,*,E00171600,E02006758
Oakwood,281,261,98,22,1392,1,3,E00171615,E02006179
Stafford,42,27,*,6,620,9,*,E00179354,E02006196
Stoke Heath,77,81,45,*,494,*,*,E00187256,E02006020
Swinfen Hall,68,131,58,*,284,*,*,E00180753,E02006157
Werrington,5,20,19,*,38,*,*,E00151745,E02006212
