msoa,Aged 0 to 15,Aged 16 to 24,Aged 25 to 34,Aged 35 to 49,Aged 50 to 64,Aged 65 to 74,Aged 75 to 84,Aged 85 and over
E02001827,0,2,0,0,2,0,7,21
E02001828,0,0,0,0,0,0,3,32
E02001829,0,0,0,0,0,0,0,0
E02001830,0,1,2,2,2,5,12,34
E02001831,0,0,0,0,0,3,3,22
E02001832,0,0,0,0,0,0,0,0
E02001833,0,0,0,0,0,0,0,0
E02001834,0,0,0,0,0,0,0,0
E02001835,0,15,3,9,14,7,27,83
E02001836,0,1,1,5,2,1,1,0
E02001837,0,0,0,0,0,0,6,15
E02001838,0,0,0,0,2,3,8,36
E02001839,0,0,0,0,0,2,7,15
E02001840,0,0,0,0,9,9,15,30
E02001841,0,0,0,0,7,14,10,51
E02001842,0,0,0,0,0,0,0,0
E02001843,0,0,0,4,0,2,3,0
E02001844,2,4,0,8,9,22,62,91
E02001845,0,0,0,0,0,0,0,0
E02001846,0,14,4,3,2,0,0,0
E02001847,1,0,0,0,0,0,0,0
E02001848,0,0,0,0,2,6,28,65
E02001849,0,0,0,2,0,0,0,0
E02001850,0,0,0,0,0,0,0,0
E02001851,0,0,2,6,3,5,11,26
E02001852,0,6,4,1,1,4,0,0
E02001855,0,0,0,0,9,10,25,32
E02001856,0,3,1,5,1,2,4,3
E02001857,0,48,21,53,27,7,16,23
E02001858,0,272,128,15,27,8,3,0
E02001859,0,1,0,0,5,6,13,2
E02001860,0,0,0,0,2,0,0,0
E02001861,0,0,0,7,8,4,0,0
E02001862,0,0,1,0,5,8,8,23
E02001863,0,1,19,3,0,0,0,0
E02001865,0,0,0,0,0,0,0,0
E02001866,2,2,5,7,14,5,0,0
E02001867,1,0,0,0,0,2,0,0
E02001868,0,0,0,0,0,0,0,0
E02001869,0,0,0,0,0,0,0,1
E02001870,0,0,2,1,7,6,12,16
E02001871,0,0,0,2,4,4,6,27
E02001872,0,0,0,0,0,0,6,23
E02001873,3,0,19,13,19,4,1,0
E02001874,0,0,3,4,2,1,0,1
E02001875,0,0,0,2,3,3,0,1
E02001876,24,3819,123,25,5,2,0,0
E02001877,0,30,8,4,7,0,0,0
E02001878,0,27,4,0,0,0,0,0
E02001879,0,0,2,3,4,11,19,47
E02001880,0,0,0,0,0,0,0,0
E02001881,0,0,0,1,0,0,0,0
E02001882,0,0,0,0,3,11,8,31
E02001883,0,0,0,0,0,0,0,0
E02001884,0,4,3,5,0,0,0,0
E02001886,1,13,19,20,12,10,16,11
E02001888,0,0,0,0,1,1,22,33
E02001889,0,0,0,3,13,11,14,22
E02001890,54,70,38,45,10,6,20,13
E02001892,2,2,0,1,3,1,0,0
E02001893,0,3,0,0,4,6,6,20
E02001895,0,2,0,0,1,5,25,60
E02001896,0,0,0,0,0,0,0,0
E02001897,18,28,22,19,0,0,0,0
E02001898,0,0,0,0,0,0,0,0
E02001899,0,1,0,0,0,0,11,17
E02001900,0,53,10,3,0,5,14,31
E02001901,0,0,1,8,3,3,0,0
E02001902,0,0,0,3,0,0,0,0
E02001903,0,0,0,0,2,0,0,0
E02001904,0,0,6,12,15,2,5,10
E02001905,64,2182,63,8,10,5,19,42
E02001906,0,4,0,0,0,0,0,0
E02001907,0,0,3,2,1,1,0,1
E02001908,0,0,2,3,0,0,0,0
E02001909,0,1,1,0,2,0,3,10
E02001910,0,0,0,0,0,0,0,0
E02001911,0,0,0,0,0,0,0,0
E02001913,0,65,28,3,17,4,18,31
E02001914,9,25,7,6,11,6,10,13
E02001915,0,0,0,1,1,6,39,53
E02001916,1,0,5,0,10,3,6,13
E02001918,0,3,36,28,36,23,12,25
E02001919,1,13,4,0,5,3,11,41
E02001920,0,0,0,0,3,0,0,0
E02001921,0,0,0,0,0,0,0,0
E02001922,1,1413,44,0,0,0,1,6
E02001923,0,0,4,9,20,9,0,1
E02001924,0,0,2,0,0,2,0,0
E02001925,0,7,10,7,12,6,10,29
E02001926,0,25,12,12,13,17,37,55
E02001927,0,0,1,1,1,6,28,47
E02001928,0,2,0,2,5,0,6,25
E02001929,9,2,6,7,0,1,0,0
E02001930,0,0,0,0,0,0,0,0
E02001931,0,0,0,0,0,0,0,0
E02001932,0,61,3,0,0,0,0,0
E02001933,0,0,0,0,3,0,12,25
E02001934,0,0,0,0,0,3,5,20
E02001935,0,0,0,0,0,0,1,23
E02001936,0,0,0,1,4,6,4,8
E02001937,0,0,1,0,6,4,4,9
E02001938,0,0,5,2,5,4,7,21
E02001939,0,0,0,0,1,0,23,40
E02001941,0,9,0,0,0,9,20,28
E02001942,0,1,3,3,0,6,15,24
E02001943,0,0,1,3,8,3,2,0
E02001944,0,6,0,1,7,2,1,0
E02001945,0,0,0,0,3,0,2,0
E02001946,3,3,2,5,3,1,1,0
