Name,Violence against the person,Sexual offences,Criminal damage and arson,Drug offences,Possession of weapons,Public order offences,Miscellaneous crimes against society,Summary offences,Offence not recorded,area,msoa
Birmingham,266,65,38,172,57,20,61,67,49,E00175650,E02001879
Brinsford,100,18,4,95,29,9,29,15,1,E00171615,E02006179
Dovegate,619,27,28,123,29,13,19,86,9,E00168365,E02006136
Drake Hall,91,14,12,50,*,*,16,5,*,E00151321,E02006192
Featherstone,205,*,13,140,36,12,34,16,*,E00171615,E02006179
Hewell,226,87,31,135,43,22,55,70,24,E00181370,E02006709
Long Lartin,380,35,5,24,4,13,*,*,*,E00171600,E02006758
Oakwood,539,465,24,344,89,24,98,70,*,E00171615,E02006179
Stafford,18,642,*,*,*,3,27,16,*,E00179354,E02006196
Stoke Heath,245,*,23,109,32,*,32,54,*,E00187256,E02006020
Swinfen Hall,237,80,*,76,20,5,6,7,*,E00180753,E02006157
Werrington,54,3,*,*,4,*,3,3,1,E00151745,E02006212
